X1x17x20	X1x17x21	X1x17x22	X1x18x18	X1x18x19	X1x18x20	X1x18x21	X1x18x22	X1x18x23	X1x19x17	X1x19x18	X1x19x19	X1x19x20	X1x19x21	X1x19x22	X1x19x23	X1x20x17	X1x20x18	X1x20x19	X1x20x20	X1x20x21	X1x20x22	X1x20x23	X1x21x15	X1x21x16	X1x21x17	X1x21x18	X1x21x19	X1x21x20	X1x21x21	X1x21x22	X1x21x23	X1x22x15	X1x22x16	X1x22x17	X1x22x18	X1x22x19	X1x22x20	X1x22x21	X1x22x22	X1x22x23	X1x23x16	X1x23x17	X1x23x18	X1x23x19	X1x23x20	X1x23x21	X1x23x22	X1x24x17	X1x24x18	X1x24x19	X1x24x20	X1x24x21	X1x25x17	X1x25x18	X1x25x19
Erythrocytes_2	0	0	0	0	0	0	0	0.0280540034412731	0	0.0518465919422471	0	0.0206174108724493	0	0	0	0.0599392315493211	0	0	0	0.0276953301402113	0	0	0	0	0	0	0.0194041332621217	0	0	0	0	0	0	0	0	0	0.0327340008342766	0	0	0	0	0	0.0219032733192611	0	0	0	0	0	0	0	0	0	0	0.159713809523471	0	0
Epicardium_derived_cells	0.348335092300576	0.132516967411021	0	0.0915679653954054	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169696794641712	0	0	0	0	0	0	0	0.232742702564021	0	0	0	0	0.130249823857325	0	0	0	0	0	0	0	0	0	0	0.0636911735280869	0	0.197731933074729	0.0360669727207456	0	0.117718704387232	0.0521519509510603	0	0.31290791341897	0.182093627070295	0	0	-8.59122959567526e-21	0.433706303095922	0
Fibroblast_like_1	0	0	0.174735420720628	0	0	0	0	0	0	0	0	0	0.247268635326058	0	0	0	0	0	0.0378721414894367	0	0	0.0569294924066653	0	0	0.42035029613241	0	0.974073094638064	0.226336240340209	0	0	0	0	0.0204166768301389	0.572413784424939	0.962692325892807	0.814171584061585	0.819353096549087	0	0.202875230371273	0	0	0.00174945871388987	0.170925621357798	0	0	0.130737087781519	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595181994288832	0.360574809545702	0	0.00652277209981391	0	0	0	0	0	0.704490322881363	0.263707793241324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast_like_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endothelium_pericytes_adventitia	0	0	0	0	0.0530672717967049	0	0.126978618971039	0.141165758124049	0	0.124964713813889	0	0	0	0	0.189682239766838	0	0	0.207184047281032	0	0.139308402698004	0.109030081953975	0.0819967571208436	0.0954706628966274	0.340336874550412	0.218314204627035	0	0	0.245673771542457	0	0	0	0.156101556276074	0.275093000288498	0.163878422333737	0.0373076741071927	0.100446492738517	0	0.196163787887614	0.167857802943462	0	0.0618369674250129	0.330394937756189	0.0175445478333585	0	0	0	0	0	0	0.141347577864039	0	0	0	0.217781485864491	0	0
Myoz2_enriched_cardiomyocytes	0	0	0	0.0639325067365141	0	0	0	0	0.0136809449004008	0.0162767726423598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00729554577866524	0	0	0	0	0	0	0	0	0	0	0.0603428437443437	0	0	0	0	0	0	0.190269143925631	0	0	0	0	0.0283011529858249	0.0491844113555846	0	0	0.249955071781879
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000760689694853503	0	0	0	0	0	0	0	0	0	0	0.0853819231998976	0.147912902616636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capillary_endothelium	0	0	5.75244963707151e-05	0	0.0869625795315691	0	0.142048122618414	0.285284086040209	0	0.31380756222399	0	0.457770041190408	0.158446754418122	0.253791967803541	0.33368613228546	0.360615270532332	0.340502730119035	0	0.19167445637128	0.282604224770955	0	0.102390833672701	0.0801596736916728	0	0	0	0	0.036979588071814	0	0.194234093522314	0	0.0973146877279416	0	0	0	0	0	0.207662300393188	0.338396132056948	0	0.284870076990914	0.131465514047815	0.12295891678457	0	0	0.529999337044669	0	0	0	0	0	0	0	0	0.164449442948524	0
Erythrocytes_1	0	0.0212540920954616	0	0	0	0	0	0	0.155131902333535	0	0.0525919446040831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0968651748895993	0	0	0.0241851444040829	0	0.124104163025699	0	0	0	0	0	0	0	0	0.0195205607881119	0	0	0	0.0370988280570595	0.0845179961919147	0	0	0.094470558522031	0	0	0	0	0.18249816414812	0	0	0.102229075962997
