X2x10x15	X2x10x17	X2x10x18	X2x10x19	X2x10x20	X2x10x21	X2x11x15	X2x11x16	X2x11x17	X2x11x18	X2x11x19	X2x11x20	X2x11x21	X2x11x22	X2x12x15	X2x12x16	X2x12x17	X2x12x18	X2x12x19	X2x12x20	X2x12x21	X2x13x12	X2x13x13	X2x13x14	X2x13x15	X2x13x16	X2x13x17	X2x13x18	X2x13x19	X2x13x20	X2x13x21	X2x14x13	X2x14x14	X2x14x15	X2x14x16	X2x14x17	X2x14x18	X2x14x19	X2x14x20	X2x14x21	X2x15x13	X2x15x14	X2x15x15	X2x15x16	X2x15x17	X2x15x18	X2x15x19	X2x15x20	X2x16x15	X2x16x17	X2x16x18	X2x16x19	X2x17x15	X2x17x16	X2x17x17	X2x9x17	X2x9x18	X2x9x19	X2x9x20	X2x9x21
Erythrocytes_2	0	0.0346057035835023	0	0	0	0	0	0	0.0764786644464614	0	0.0209591143451976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217261223872013	0	0.0760702913821772	0.0172164268346132	0	0	0.0851960169507237	0	0.105938561217509	0	0	0	0	0	0	0	0	0	0	0.216411895712601	0.0887622342793165	0	0	0.0341949499482542	0.053404316372396	0	0
Epicardium_derived_cells	0	0	0	0	0	0	0	0.0156091107512026	0	0	0	0	0	0	0.237296661330357	0.411757877506636	0	0	0	0	0	0	1.09235759843067e-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157647981836853	0	0	0	0.130483226357587	0.0546289707123655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1439935902058
Fibroblast_like_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153326273139081	0.0951846215292288	0	0.249042369497334	0	0	0	0	0.608375460429638	0.0977399856542369	0.63560903833242	0	0	0	0	0.035062402787009	0.234011874417838	0.310799717782068	0.704081877029718	0.377528326103398	0	0	0	0	0	-2.56032738228962e-19	0	0.201048792730686	0.0347536277593468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346227144403993	0.334888467017304	0.0479046616346966	0.115900376506078	0.00877190802571735	0	0	0	0	0	0.404749368999564	0.195007870525188	0.00407829145941087	0	0	0	0	0	0	0.340862061056986	0	0	0.0810722692859164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast_like_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00157676337205401	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.59973889510922e-19	0	0.326220968514341	0	0	0	0	0	0	0	0	0	0
Endothelium_pericytes_adventitia	0	0.154553128458703	0.0617678741517835	0.11683821874603	0	0	0	0.0972184086250805	0	0.107272439996782	0.204806419570104	0	0	0.609971197477705	0.0486415767005909	0	0	0	0	0	0.149472600676125	0.107832947725456	0.323756201949752	0	0	0	0.0185635972672526	0	0	0.232851795400774	0	0.259583839401482	0.128467821126106	0.0928229353606735	0	0	0	0	0	0	0	0.139225072615255	0	0.102327521291868	0	0	0	0.0090903735848495	0.0389348511408754	0.0632774316014017	0.0430680350806424	0	0	0	0	0	0	0.0351515915344487	0	0
Myoz2_enriched_cardiomyocytes	0	0.0333771486733067	0	0	0	0.285168936791644	0.0600566450603291	1.82366210977067e-09	0.16160862277696	0	0	0	0	0.172502135399992	0	0	0	0	0	0.239407914273366	0	0	0	0.038493133591272	0.0300302542494293	0.260175875075697	0	0	0	0	0	0.0309146812803471	0	0.0399502467620672	0.0672168634457651	0.0689201604178816	0	0	0.296007041371977	0	0.101546213216397	0.163388463630271	0.167414764665836	0.306951245032117	0	0.0660915325606997	0.0781802872278436	0.346887691602829	0	0.142858011512689	0.13471233973446	0.174373093982852	0.0337179982336897	0.0516284051391281	0	0	0.25534455092417	0	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0.103331744136778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214071057847391	0	0	0	0	0	0	0.0451460637820172	0.187675828877542	0	0.246018108141581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capillary_endothelium	0.0535611660786667	0.261160931962349	0.395795586048341	0.443822427160994	0.21941353624919	0.517406019343976	0.318128684217615	0	0.565534455933294	0.17046273965318	0.249667653864575	0.593104189917372	0.515578402573814	0	0.00125223164440702	0.136738605605902	0.147401467633931	0.165774681828916	0.00425094637806192	0.318841261568934	0.213935036705758	0.0866159063707537	0.124566834317146	0.0835390192139226	0	0	0.279779675204969	0.421157358334639	0.42261063234037	0.367466370845731	0.296704190540944	0	0	0	0	0.49008665171263	0.344045052195823	0.377206317706117	0.527730338663533	0.287563095608491	0.0933780604511006	0.222143604451715	0	0	0.165595900710576	0.499278323990036	0.587443002048875	0.303968344435245	0.0815849835422574	0	0.214072843432572	0.229410433295279	0.194265522691808	0.470030670740466	0.0802662922865614	0.162855121432814	0.327903712359651	0.288764312455004	0.320635534526701	0.0459899505632615
Erythrocytes_1	0	0	0.0660216087653845	0.0504731376782861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115340722734315	0	0	0	0	0	0.0714536153101994	0	0	0.0538566612594661	0	0	0	0	0	0.0959876911987924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187142946698824	0.082970592122885	0	0.13308217300748	0.0608152571433701	0	0	0
