X3x13x14	X3x13x15	X3x13x16	X3x13x17	X3x13x18	X3x13x19	X3x13x20	X3x14x13	X3x14x14	X3x14x15	X3x14x16	X3x14x17	X3x14x18	X3x14x19	X3x14x20	X3x15x13	X3x15x14	X3x15x15	X3x15x16	X3x15x17	X3x15x18	X3x15x19	X3x15x20	X3x16x10	X3x16x11	X3x16x12	X3x16x13	X3x16x14	X3x16x15	X3x16x16	X3x16x17	X3x16x18	X3x16x19	X3x16x20	X3x17x10	X3x17x11	X3x17x12	X3x17x13	X3x17x14	X3x17x15	X3x17x16	X3x17x17	X3x17x18	X3x17x19	X3x17x20	X3x18x10	X3x18x11	X3x18x12	X3x18x13	X3x18x14	X3x18x15	X3x18x16	X3x18x17	X3x18x18	X3x18x19	X3x18x20	X3x19x13	X3x19x14	X3x19x15	X3x19x16	X3x19x17	X3x19x18	X3x19x19	X3x20x13	X3x20x14	X3x20x15	X3x20x16	X3x20x17	X3x20x18	X3x21x14	X3x21x15
Erythrocytes_2	0.0424679241849319	0	0	0	0	0.0326036551863009	0	0	0	0	0.0328229922570356	0.030846914786549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170377613896987	0	0	0	0	0	0.0456880310272189	0	0	0	0	0	0	0.0346409222378045	0	0.0658712236038577	0	0	0	0	0	0	0	0	0.110694681855971	0	0	0	0	0	0	0	0.189977620645918	0.165483845359287	0	0	0	0.0629042757157668	0.0813650258259362
Epicardium_derived_cells	0	0	0	0	0	0	0	0	0	0	0	0.062921419991854	0	0	0	0	0	0	0.00138243385936506	0.203433100374446	0	0	0	0	0	0	0	0	0	0.222540778545755	0	0	0	0	0	0	0	0	0.0431958310788712	0	0	0	0	0	0	0	0	0.136509410423291	0.12169628324723	0	0	0	0.0897304669812512	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00220669040023744	0	0.10217550146906	0	0
Fibroblast_like_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0542782911218053	0	0	0	0	0	0	0	0	0	0	0	0	0.146686336759009	0.216841377003797	0	0.120921942793872	0	0	0	0	0	0.429944799944917	0.572573554447783	0.861257562305715	0.391942996624336	0.295634252250182	0	0	0	0	0	0	0	0	0.232883103765954	0.0856452352647869	0	0	0	0	0	0	0.213832891659189	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157498587132883	0	0	0	0	0	0	0	0.307411535753168	0.638275494679536	0.231470234585202	0.00111952343666396	0	0	0	0	0	0	0	0.830469008314912	0.919387846395656	0.564678868208536	0.326520336367379	0	0	0	0	0	0	0.02895536678307	0.151561466489916	0.366420661499181	0	0.25541466645155	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273602286355044	0	0	0	0	0	0	0	0
Fibroblast_like_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170887497924656	0	0	0	0	0	0	0	0	0.168424413761269	0.368608920584643	0.241347959475617	0	0	0	0	0	0.128797665065174	0	0	0	0	0	0	0	0	0	0	0.0920420492253683	0	0	0	0	0	0.123023862852501	0.256708225242676	0	0	0	0.493070050518098	0	0.106183769893425	0	0	0.113475094633692	0	0	0	0	0	0.301378036733129	0	0	0	0
Endothelium_pericytes_adventitia	0	0.174899929209559	0	0.229085578822008	0	0	0.158248183241653	0	0	0	0	0	0.100305539435444	0	0.130715873389764	0.3465291562026	0.249914860587101	0	0.0713142910781324	0	0.010412692196998	0	0	0	0	0.199537824520229	0.209157293744338	0	0.148248842953669	0	0	0.258594758473952	0	0	0	0	0	0	0	0	0.0661157837807854	0.0837997632004577	0	0	0.363067358634138	0	0	0	0.0950014568335926	0.081877444828717	0	0.165261012580091	0	0	0	0	0	0	0.0490834478391822	0	0	0	0	0	0	0	0	0	0.183254056076186	0	0
Myoz2_enriched_cardiomyocytes	0.0273775981106318	0	0	0	0.644648780217289	0.301070270750523	0	0.0115567954614905	0	0	0.693033546270391	0.543388326174217	0	0	0	0	0	0.50304846214978	0	0.0995939044231767	0	0	0	0	0	0	0	0	0	0.227005891699471	0.212354088265285	0	0.691586424418105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.640551852104928	0	0.0750081606071535	0	0	0	0	0	0	0	0	0	0.140010449835986	0.0107304688638968	0	0.318632854695895	0.0886366454162901	0.0239881749644827	0.0624922545698596	0	0.011955003329541	0	0.175790528651517	0.0976332977130683
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0	0	0.121027167869249	0	0	0	0.0359482178572172	0	0	0	0	0.0609424404313212	0	0	0	0	0.0715542183841059	0	0	0	0	0	0	0.0362262055393988	0	0	0	0	0.0806121536043445	0.00537633184654735	0.100906109184838	0.0421698840506637	0.156052926570155	0	0.151782571175128	0	0	0	0	0.060119986109925	0	0	0.0562686868842446	0.0875462298591072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capillary_endothelium	0	0	0.26471285047582	0.259094254058984	0	0	0.227024349228424	0	0	0.138647846590368	0	0	0.364647229159717	0.397371654135987	0.0123333034828958	0	0	0	0.139634731615031	0	0.357640538895452	0.509302965426212	0.320599436080415	0	0.246769674678627	0	0	0.148462999074294	0.0862895474935004	0	0	0.100350227102219	0	0.244979030467669	0	0	0	0	0.00768869153753105	0.207091266877791	0.0730995014276391	0	0.314453725423992	0.139953497405212	0.0679151146609237	0	0	0	0.0268274171578741	0	0	0	0.432152780124099	0.301501270436474	0.592575158708352	0.00366248718734144	0	0	0.0449012915191771	0.497718202245385	0.23735512458663	0.054388972802858	0.0870643682516514	0	0	0	1.57479518011074e-19	0.283665855632013	0	0	0
Erythrocytes_1	0.0585623294087688	0.0198827679963378	0	0.0239703916536241	0.157128074096216	0	0	0	0	0	0	0.0403828734569319	0	0	0	0.0237467638543475	0	0	0	0	0	0	0	0	0	0.0565236022816007	0	0	0	0.062064251270351	0	0	0	0	0	0	0	0	0	0	0.0272064361071927	0	0.0349609936918434	0.172926177987935	0	0	0	0.157067513867923	0	0	0	0	0	0	0	0	0.0511449022051881	0	0.0238922396174308	0	0	0	0.0612942901452286	0.150577619199771	0.361927920543208	0.339684831047949	0	0	0	0.235874639863127	0.0697855748099555
Epicardial_cells	0	0.190407143738144	0	0.0566672083606111	0	0	0	0	0.402982147234554	0	0	0	0	0	0	0	0	0	0.110778180832338	0	0	0	0	0.545959744328109	0	0	0	0.0952480087178518	0.158889161672281	0	0.0174487314529417	0	0	0	0.169530991685088	0	0	0	0	0	0	0.140681333479858	0	0	0	0.813797611272279	0.573459352390894	0	0	0.168920972071298	0	0	0	0.0108701693424937	0	0	0	0.263226796445158	0.132997158218504	0	0	0	0	0	0	0	0.302940249280006	0	0	0	0
