X4x12x13	X4x12x14	X4x12x15	X4x12x16	X4x12x17	X4x12x18	X4x12x19	X4x13x11	X4x13x12	X4x13x13	X4x13x14	X4x13x15	X4x13x16	X4x13x17	X4x13x18	X4x13x19	X4x14x11	X4x14x12	X4x14x13	X4x14x14	X4x14x15	X4x14x16	X4x14x17	X4x14x18	X4x15x12	X4x15x13	X4x15x14	X4x15x15	X4x15x16	X4x15x17	X4x15x18	X4x15x9	X4x16x10	X4x16x11	X4x16x12	X4x16x13	X4x16x14	X4x16x15	X4x16x16	X4x16x17	X4x16x18	X4x16x9	X4x17x10	X4x17x11	X4x17x12	X4x17x13	X4x17x14	X4x17x15	X4x17x16	X4x17x17	X4x17x8	X4x17x9	X4x18x11	X4x18x12	X4x18x13	X4x18x15	X4x18x16	X4x19x11	X4x19x14
Erythrocytes_2	0.0721171434048634	0	0	0	0.0687554952353602	0	0	0	0.040834291114669	0	0	0	0.0501452057063318	0	0.111681422567332	0.0615296448901916	0	0	0	0	0.0684843420415624	0	0	0	0.0638003675822962	0	0	0	0	0	0	0	0	0	0	0.0526902798630326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121933150713493	0	0.120035005692465	0	0	0	0
Epicardium_derived_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast_like_1	0	0	0	0	0	0	0	0	0.35378548942808	0.117209153624672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26112799152897	0	0.0366422815230698	0	0	0	0	0	0.274735335706904	0.719770723776062	0.631248934619286	0.334282463208485	0.131360213619726	0	0	0	0	0	0	0.287884156929444	0.777093261367181	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282944198029422	0.43930213663781	0.104228950377353	0.0279166291849438	0	0	0	0	0	0	0.29726143563232	0.46527551938163	0	0	0	0	0	0	0	0.575845454838665	0.588946888780427	0	0	0	0	0	0	0
Fibroblast_like_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219415241472692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116702486855092	-2.58931070024263e-19	0	0	0	0	0	0	0
Endothelium_pericytes_adventitia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12360856764208	0.081945058164025	0.176000325846585	0.151510947888235	0	0	0	0	0	0	0.396634778186619	0.0914539303451149	0	0.222906738632818	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0.295841414548452	0	0	0	0	0	0.0863830369509389	0	0.304254418488076	0	0	0.00400518446492231	0	0	0.218850548130814	0	0.283374784871343	0.00661170282729748	0.0992668634354119	0	0	0	0	0	0	0.0640920358810695	0	0	0	0	0	0	0	0	0.140041930080474	0.118014176519301	0	0.0604664280857458	0	0	0	0	0	0.0265494182130307	0	0	0.0211469658634573	0.00731527478182424
Cardiac_neural_crest_cells	0	0	0	0	0.101512248992806	0.150502003611749	0	0	0	0	0	0	0	0.0678841496748592	0	0	0	0	0	0	0	0	0.0877134794810844	0	0	0	0	0	0	0	0	0	0	0	0.189323488307535	0.23167708558942	0.187493856345257	0	0	0	0	0	0	0.124688358803421	0	0	0	0	0	0	0	0	0.258766176557953	0	0	0	0	0	0
Capillary_endothelium	0.177661472771277	0.105252701638298	0.290494434172423	0.265124765546974	0.261443062697646	0.193132438160519	0.40420581872137	0.248222859653481	0.0496790276676871	0	0.355429871131682	0.223527147172365	0.420609533316484	0.32420301970057	0.384307158536878	0.492705545500173	0.116099570167834	0.099163944727972	0.112153297446703	0.249609104784919	0	0.204022456648926	0.327585561777802	0.343539357787983	0.287621759786399	0.265919342194715	0.0877357943609668	0.21169738716457	0.284938623568388	0.172846232897652	0.18301645488223	0.25373792226346	0	0	0	0.232620823119811	0.241973224493653	0.157566041965809	0.201415637018375	0.343081346934789	0.150080887459501	0	0.295347316407096	0.182220868305782	0	0.137798112522749	0.335940842356048	0.485141269744275	0.272919401982928	0.339972100151138	0	0	0.146106830813047	0.281232429734624	0	0	0.294175986829755	0	0.140021712511399
Erythrocytes_1	0	0	0.034170230542701	0	0.0404663805163201	0.00480278185011932	0	0	0.177661356684919	0	0.0210756190431878	0	0	0	0	0	0	0	0	0	0	0	-1.04630834025285e-18	0	0	0	0.0302580494795397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114826856561822	0	0	0	0	0	0	0	0	0	0	0	0	0.00240885158407236	0	0	0
