X10x10x10	X10x10x11	X10x10x12	X10x10x13	X10x10x15	X10x10x16	X10x10x18	X10x10x19	X10x10x20	X10x10x21	X10x10x4	X10x10x5	X10x10x6	X10x10x7	X10x10x8	X10x10x9	X10x11x10	X10x11x11	X10x11x12	X10x11x13	X10x11x14	X10x11x15	X10x11x16	X10x11x17	X10x11x18	X10x11x19	X10x11x20	X10x11x21	X10x11x4	X10x11x5	X10x11x6	X10x11x7	X10x11x8	X10x11x9	X10x12x10	X10x12x11	X10x12x12	X10x12x13	X10x12x14	X10x12x15	X10x12x16	X10x12x17	X10x12x18	X10x12x19	X10x12x2	X10x12x20	X10x12x21	X10x12x3	X10x12x4	X10x12x5	X10x12x6	X10x12x7	X10x12x8	X10x12x9	X10x13x10	X10x13x11	X10x13x12	X10x13x13	X10x13x14	X10x13x15	X10x13x16	X10x13x17	X10x13x18	X10x13x19	X10x13x2	X10x13x20	X10x13x3	X10x13x4	X10x13x5	X10x13x6	X10x13x7	X10x13x8	X10x13x9	X10x14x10	X10x14x11	X10x14x12	X10x14x13	X10x14x14	X10x14x15	X10x14x16	X10x14x17	X10x14x18	X10x14x19	X10x14x2	X10x14x20	X10x14x21	X10x14x3	X10x14x4	X10x14x5	X10x14x6	X10x14x7	X10x14x8	X10x14x9	X10x15x10	X10x15x11	X10x15x12	X10x15x13	X10x15x14	X10x15x15	X10x15x16	X10x15x17	X10x15x18	X10x15x19	X10x15x20	X10x15x21	X10x15x4	X10x15x5	X10x15x6	X10x15x7	X10x15x8	X10x15x9	X10x16x10	X10x16x11	X10x16x12	X10x16x13	X10x16x14	X10x16x15	X10x16x17	X10x16x20	X10x16x3	X10x16x4	X10x16x5	X10x16x6	X10x16x7	X10x16x8	X10x16x9	X10x17x10	X10x17x11	X10x17x12	X10x17x13	X10x17x17	X10x17x18	X10x17x20	X10x17x21	X10x17x5	X10x17x6	X10x17x7	X10x17x8	X10x17x9	X10x18x17	X10x18x20	X10x18x21	X10x18x22	X10x19x11	X10x19x12	X10x19x13	X10x19x14	X10x19x15	X10x19x17	X10x19x20	X10x19x22	X10x20x10	X10x20x11	X10x20x12	X10x20x13	X10x20x15	X10x20x16	X10x20x17	X10x20x20	X10x20x21	X10x20x22	X10x21x12	X10x21x13	X10x21x14	X10x21x17	X10x21x20	X10x21x21	X10x21x22	X10x22x13	X10x22x14	X10x22x18	X10x22x19	X10x22x20	X10x7x10	X10x7x11	X10x7x12	X10x7x13	X10x7x18	X10x7x19	X10x8x10	X10x8x11	X10x8x12	X10x8x13	X10x8x14	X10x8x15	X10x8x17	X10x8x18	X10x8x19	X10x8x20	X10x8x7	X10x8x8	X10x8x9	X10x9x10	X10x9x11	X10x9x12	X10x9x13	X10x9x14	X10x9x15	X10x9x16	X10x9x17	X10x9x18	X10x9x19	X10x9x20	X10x9x21	X10x9x5	X10x9x6	X10x9x7	X10x9x8	X10x9x9
Erythrocytes_2	0	0.0116098642759366	0	0	0	0	0.243403275971004	0	0.0474973860495531	0	0	0	0	0	0	0.0359089184292432	0	0	0.0248705839842247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273234851114452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0811986945147693	0	0	0	0	0	0	0	0.139951545897168	0.123522130301363	0	0	0	0	0	0	0	0	0.0532896495081617	0	0	0	0	0	0	0	0	0	0.156854748151743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105371073793883	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0278554558618873	0.190014020954018	0	0	0	0	0	0	0	0.0937395354247533	0.0899145559963901	0	0	0	0	0	0	0	0.16815862855088	0	0.261132548752923	0.029234062208713	0	0	0	0	0	0.165220386877685	0.0694940205132349	0	0.0387117726587935	0	0.0438744909734814	0	0.060257675707507	0	0.0531135399465915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356264429234344	0	0	0	0	0	0	0	0	0	0	0	0	0.0199048949557759	0.183272111093003	0.198512180668091	0	0	0	0	0	0	0
Epicardium_derived_cells	0	0	0	0	0	0.220471704817954	0	0	0.248119932556431	0	0.204496274888075	0	0	0	0	0.196654174872676	0	0	0	0	0	0	0	0.18728143173752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.523720840517693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369795884394027	0.078276771887423	0	0	0	0	0	0	0	0	0	0	0.0598404952767642	0	0	0	0	0	0	0	0.0486209021810172	0.0837894688319544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00317979399961723	0.197864214581153	0	0.100747639034563	0	0	0	0	0	0	0	0	0	0	0.0896660809355901	0	0	0	0.128550969874369	0.0969135917219324	0	0	0	0	0	0	0.282241179592149	0.271886692772465	0	0	0	0.107551592086132	0.0798523628985582	0	0	0.0651410366533888	0.0913687639792798	0	0	0	0	0	0.0947271413163113	0	0.158938374901542	0.0730487189310743	0	0	0	0	0	0.244023860281188	0	0	0	0	0	0.171960027797941	0	0.0674879180424796	0.123245582844856	0.303149776036193	0	0	0	0	0	0	0	0.426819432487167	0	0	0	0	0	0	0	0	0	0	0	0	0	0.541393858634084	0	0	0.106689832105019	0	0.12538295600925	0.141416995378445	0	0	0	0
Fibroblast_like_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189493648821098	0	0	0	0.0741477652590564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229825846063781	0.352843148941907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222446400643033	0.0704972398100798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.976097189855701	0.966125659160618	0.434928859980306	0.231607015559343	0.0353798550349362	0	0.0369037471830903	0	0	0	0	0	0	0	0	0	0	0	0	0	0.748046679590706	0.981458256649497	0.267432971597439	0.27746257200153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0301518296884355	0	0	0	0	0	0	0	0	0	0.0859163353422099	0	0	0	0	0.0711561649557396	0	0	0	0	0	0.103877067962317	0	0	0	0	0	0	0	0	0	0	0.551096409253012	0	0	0	0	0	0	0	0	0.0650150876310217	0.257831904153506	0	0	0	0	0	0.0543295205844054	0	0	0	0	0	0.00265074568431616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0768840382653209	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10131874093406	0	0	0	0	0	0.194629694412576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173452714307872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0495978592917657	0	0	-4.57782492720203e-19	0	0.476278857497105	0	0.717970440324011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172962191987976	0	0	0	0.428045051097506	0.403000236478259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506402389900973	0	0.612626040405696	0.860494543831915	0.673593270348299	0	0	0	0	0	0	0	0	0	0	0.274908043701436	0.150419328603872	0.566664226441942	0	0.0394984860256771	0	0	0	0	0	0	0	0	0	0	0.96695613547886	0.647946996804114	0.56443439870055	0	0	0	0	0	0	0.490161488491447	0	0	0	0	0	0	0	0	0.674239751065482	0.500749551352715	0	0	0	0	0	0	0	0.482692558684012	0.265495058363102	0	0	0	0	0	0.488059125418613	0	0	0.272504831827892	0	0	0.531868669629283	0.571930740738409	0.583972790976427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000764929515556525	0	0	0	0
Fibroblast_like_2	0.0931775402736499	0	0	0	0.0136346066613853	0.000576584203887406	0	0	0	0	0.000196948249780382	0	0	0	0	0	0.0664255297919566	0	0	0.0317558496148662	0	0	0.182492582741348	0.120871495960453	0	0	0	0	0	0	0	0	0	0.103657890840893	0.0171727898016427	0	0	0	-1.17630577676596e-19	0	0.191271390713404	0	0	0	0.0306056202849876	0	0	0.132795670216393	0.0788128967272009	0	0	0	0.059813174527647	0	0	0	0	0.111143982249934	0	0	0.0465001241760458	0.342478304512164	0	0	0.0152721112622805	0	0.0613776345192276	0	0	0	0	0	0	0	0	0	0.0185588899763931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10124908198366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101134355973013	0.142244739871019	0.130547436236211	0	0	0	0	0.139709208856987	0	0.0263268079851943	0.11116289685048	0	0	0	0	0	0.0829724789537444	0.0790568641964297	0.0992438127428739	0.136973084964472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217041464601213	0	0	0.0391307748526981	0	0	0.229299377206356	0	0.0502428775112097	0	0	0.372325913862764	0	0	0	0.0711992052840841	0	0.0539945647360815	0.272136493314683	0.0629239878864929	0	0	0	0	0	0.0409361854550486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0857630656360231	0	0	0
Endothelium_pericytes_adventitia	0	0	0	0	0	0.16377360431069	0	0	0	0	0.100468093711257	0	0	0	0	0	0	0.0182313797607395	0.0204811059047934	0	0	0	0	0	0.0320928728669505	0	0	0	0	0	0	0	0	0	0	0	0.107030063188939	0	0	0	0	0.125151998273865	0	0	0.117931021779228	0	0.0631597798299673	0.043728350180745	0.169970598287795	0.0331959220800463	0	0.0184504257471824	0	0	0	0.00114590287295615	0	0	0	0	0	0.0129818880680598	0.0583259318704364	0.186817142717844	0.0636465079269535	0.103425707825169	0	0.0143717962760907	0	0.00582101358363753	0	0	0	0	0	0	0.0307833053868104	0.0315173603258992	0.00308709407405114	0	0.0682575216140223	0	0	0.132067577922775	0.122203065837477	0.0889669866273122	0.0162304777196733	0	0	0	0	0	0	0	0	0	0	0	0	0.0185417433505035	0.165211710165459	0	0	0	0.123265388654224	0	0	0	0	0	0	0	0	0	0.135974768063847	0.0156563550917393	0.164532275706223	0.126148745842077	0	0.129644427763559	0.0700264742577258	0	0	0	0	0	0	0.0181805576647023	0	0.155268258788392	0	0	0.145570707000744	0	0.0956375639338249	0.149854959146473	0	0.045871463612067	0.000223160365180462	0.000277766545543515	0.065874393060437	0	0	0	0	0	0.0526711379344422	0.171950741213037	0	0.128062243338243	0	0	0	0	0	0	0	0.065403169806359	0.215486149987001	0	0	0	0.0172895764853985	0	0.224628572856352	0.0293829255120512	0	0.0896544123758448	-3.92660210724101e-18	0.0214444078996085	0.0818693226123132	0	0	0	0.0373727339464058	0	0.180681000573932	0	0	0	0	0	0.0206715186600774	0	0.0586963287907376	0	0	0	0	0.258145016374208	0	0	0	0	0	0	0	0.0267173008484491	0	0	0	0	0	0	0.0521892827616263	0	0	0	0
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0	0	0	0	0.0201075274320701	0	0.0209191367118815	0	0	0	0	0	0	0	0	0	0	0	0	0.0182353669238959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0284508150063745	0	0	0	0	0	0	0	0	0	0	0.00752307660911106	0	0	0.0240477232854763	0.0275527101974766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129825968079371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02598761093564	0	0.00917165287710098	0	0	0	0	0	0	0	0	0.0263874580472008	0	0	0	0	0	0	0	0	0.0234293394091664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192673593800964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0410106201004133	0.0243828946975266	0	0	0.0183806441794301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0150057456143128	0	0	0	0	0	0	0	0.278077479201316	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0278334100088222	0	0.033874340839382	0	0	0	0	0	0.194519315835509	0	0	0	0	0	0	0	4.60218370622588e-05	0	0	0	0	0	0	0	0	0.0684069747639749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131915000367924	0.111772823152702	0	0	0	0	0	0	0.165209087573419	0.774784468036022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00338435974142383	0	0	0	0	0	0	0	0.168131531219074	0	0	0	0	0	0.240799137303795	0.058708438412072	0	0	0	0	0	0	0	0.0679895825391048	0	0	0	0	0	0	0	0	0	0.0272634887533931	0	0	0.0448079065179311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capillary_endothelium	0.0842268855351326	0.128907688017966	0.136002958601362	0.0527143723820496	0.0745251296127575	0	0	0.0592308326242467	0	0	0	0	0.0781911659617165	0.0913659981075659	0.103905064418368	0	0.0375469271776466	0.106492170152098	0.189846739652625	0.279484617661505	0	0	0	0	0	0.0626728652091903	0.212275818192367	0.0208819943479309	0.122687133823994	0.0871531193740178	0.16751383374553	0.155542952686104	0.137668092533186	0.0138422165289643	0.0318426350650013	0.0140501578052595	0	0.167354574523765	0.205600238384537	0.176669999682997	0.00739297247802971	0.0210495295464385	0	0.147333220952512	0.00465228359673682	0	0	0.0030792892187147	0	0	0.0544279512883832	0.0611055169517543	0.0458077651500592	0.0988458277839104	0.190032184188776	0.0716823207190129	0.0432032778219339	0	0	0	0.0601041540314626	0.00673494232424182	0.0842294197804416	0	0	0	0.0150296577590889	0.0301203501735854	0.171721253937693	0.178822985160578	0.105538378655358	0.16112091502289	0.057608333475961	0	0.0661385237528476	0	0	0	0	0	0.288762013547524	0	0	0	0.110744591001473	0	0.0160289563865305	0.165142416106313	0.132294531674026	0.218925865664874	0.0206009576113469	0.282050842148523	0.148342387814387	0.116781155461752	0.179868602228421	0.150898353815247	0	0	0	0	0	0	0.101778749782462	0	0	0	0.112485281691397	0.278071318545793	0.196260384868369	0.138513242758773	0.124188752210241	0.0874181092989018	0.079721024457042	0.196160699670739	0	0	0.166441049460028	0	0	0	0	0	0.0571725807240728	0.228220089540063	0.13034467595843	0.108844894544116	0.00785121823530046	-9.23224511921047e-20	0	0	0	0	0	0	0	0	0.0098794117621736	0.00195336226730616	0	0.240474589427272	0.0839476497707304	0	0	0	0.0181080642818222	0.155056914429612	0	0	0	0.112379524515056	0	0	0	0	0.0269667418062428	0.0942240935187922	0.0622093361111001	0	0	0	0	0.00979047854881549	0.247543190348215	0	0.0262396439423422	0.676142829620124	0	0	0.0996100347449069	0.0142679407666901	0	0	0	0	0	0	0	0.0249797537922054	0	0.0744820433407197	0.0887810519337965	0.0751117926132314	0	0	0	0	0	0	0	0	0.0387092437585988	0.064719181496153	0	0.0350978213648715	0.11386801077845	0.0676287307153	0.0239952977339485	0.0444157380855527	0	0.0547235370866239	0	0	0.0705325610830623	0	0	0.121648622105109	0.0361519779000657	0.0671688793152938	0.0447060532374455
Erythrocytes_1	0	0.0905527866788618	0	0	0	0	0.630723548594972	0	0.661069823728198	0	0	0	0	0	0	0.577943257876983	0	0	0.0248455735354717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013823861678032	0	0.029988463547521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00615622794586368	0	0.814726825108802	0	0	0	0	0	0	0	0.579820536362472	0.687621545549623	0	0.0510501727138147	0	0	0	0	0	0.012571494797096	0.00895763950263216	0.0343453789305325	0	0.0351825607559362	0	0	0	0	0	0.060952928336129	0.519699032994276	0.0515116476898084	0	0	0	0	0	0	0.0190664032647011	0	0	0	0	0	0	0	0.0884890316382509	0.649444487847382	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0369184215456769	0.55261653490102	0	0	0	0	0	0	0	0.437852928239269	0.265423769300044	0	0	0	0.0270561657505702	0	0	0	0.119030039579869	0	0.738867451247077	0.0570624843765789	0	0	0	0	0	0.434989555862658	0.481765855744965	0	0.142618621743468	0	0	0	0.641388943426899	0.0180396106675639	0.0619047592759676	0	0	0	0.132465119618034	0	0	0	0	0.0337464968795132	0	0	0	0	0	0	0	0	0.576823138952387	0	0	0	0	0	0	0	0	0	0	0	0	0	0.681750845025058	0.69479798722689	0	0	0	0	0	0	0
