X11x17x10	X11x17x11	X11x17x15	X11x17x16	X11x17x17	X11x17x8	X11x17x9	X11x18x10	X11x18x11	X11x18x12	X11x18x15	X11x18x16	X11x18x17	X11x18x5	X11x18x6	X11x18x7	X11x18x8	X11x18x9	X11x19x10	X11x19x11	X11x19x12	X11x19x13	X11x19x15	X11x19x16	X11x19x17	X11x19x18	X11x19x3	X11x19x4	X11x19x5	X11x19x6	X11x19x7	X11x19x8	X11x19x9	X11x20x10	X11x20x11	X11x20x12	X11x20x13	X11x20x15	X11x20x16	X11x20x18	X11x20x3	X11x20x4	X11x20x5	X11x20x6	X11x20x7	X11x20x8	X11x20x9	X11x21x10	X11x21x11	X11x21x12	X11x21x13	X11x21x15	X11x21x16	X11x21x17	X11x21x18	X11x21x2	X11x21x3	X11x21x4	X11x21x5	X11x21x6	X11x21x7	X11x21x8	X11x21x9	X11x22x10	X11x22x11	X11x22x12	X11x22x13	X11x22x14	X11x22x17	X11x22x18	X11x22x2	X11x22x3	X11x22x4	X11x22x5	X11x22x6	X11x22x7	X11x22x8	X11x22x9	X11x23x10	X11x23x11	X11x23x12	X11x23x13	X11x23x14	X11x23x16	X11x23x17	X11x23x2	X11x23x3	X11x23x5	X11x23x6	X11x23x7	X11x23x8	X11x23x9	X11x24x10	X11x24x12	X11x24x13	X11x24x14	X11x24x15	X11x24x16	X11x24x2	X11x24x3	X11x24x4	X11x24x5	X11x24x6	X11x24x7	X11x24x8	X11x24x9	X11x25x10	X11x25x12	X11x25x13	X11x25x14	X11x25x15	X11x25x2	X11x25x3	X11x25x4	X11x25x5	X11x25x6	X11x25x7	X11x25x8	X11x25x9	X11x26x10	X11x26x11	X11x26x12	X11x26x13	X11x26x14	X11x26x16	X11x26x17	X11x26x18	X11x26x2	X11x26x3	X11x26x4	X11x26x5	X11x26x6	X11x26x7	X11x26x8	X11x26x9	X11x27x10	X11x27x11	X11x27x12	X11x27x13	X11x27x14	X11x27x17	X11x27x18	X11x27x3	X11x27x4	X11x27x5	X11x27x6	X11x27x7	X11x27x8	X11x27x9	X11x28x12	X11x28x13	X11x28x15	X11x28x16	X11x28x17	X11x28x18	X11x28x8	X11x28x9	X11x29x10	X11x29x11	X11x29x13	X11x29x15	X11x29x16	X11x29x17	X11x29x7	X11x29x8	X11x29x9	X11x30x10	X11x30x11	X11x30x15	X11x30x16	X11x30x17	X11x30x8	X11x30x9	X11x31x11	X11x31x15	X11x31x16	X11x31x17	X11x32x15	X11x32x16
Erythrocytes_2	0	0	0.067222969386773	0.0702044677775444	0	0.0228461675825893	0	0	0	0	0	0.188717814635705	0	0	0	0	0	0	0	0	0	0	0.105981425735135	0.0603301569042314	0.0269559539932633	0	0.0221197047905858	0	0	0	0	0	0	0.0637205639564197	0	0	0.0497159684608072	0	0.0282324529676231	0	0	0	0	0	0.134710684764397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0223815534914358	0.0284187489612758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029031758130508	0	0	0	0	0.0922705562906552	0	0	0.136447733029797	0.0988706625340623	0	0	0	0	0	0	0	0	0.245579991871972	0.158702694211569	0.214530892619273	0	0.105883282053938	0.122826868303453	0.0638269904553484	0	0	0	0	0	0	0	0	0	0.206640711608618	0	0	0	0	0.0351469800493951	0	0	0	0	0	0	0	0	0	0	0.0360994763936576	0	0	0	0	0.0615012344456321	0.031249503077811	0	0	0	0	0	0	0	0	0	0.0248560819717904	0	0.0484975716242049	0.0370469456071462	0	0.0429102134348401	0	0.103668955233454	0	0	0	0.108894950192575	0.0935919366070597	0.06191362384652	0	0	0.169926453554218	0	0.070293110884513	0.102862945951003	0.305009970173211	0.193002101824033	0.190078298634767	0.0228278806830178	0	0	0.33966990931153	0.0638858611895423	0
Epicardium_derived_cells	0.236974333043618	0.277120871212576	0	0	0.0204836660873928	0.47759290615802	0.347424287715314	0	0	0.262482330110366	0	0	0	0	0	0	0	0	0	0	0	0.447140242691492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0467882960439255	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606765702013496	0.184972411025544	0	0	0	0.272527478891358	0.0378672986865459	0	0	0	0	0	0	0	0	0	0.275809873138513	0.548846740572393	0.0501440108914489	0	0.543500971537605	0	0	0	0	0	0	0	0	0	0	0.182580210067695	0.0109889055811515	0	0.225340583420811	0	0	0	0	0	0	0	0	0	0	0.146748055522302	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0872458238425253	0	0	0	0	0	0	0.0364800397331869	0	0	0	0	0.169361569681286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139222362013355	0.185133633351492	0	0	0	0	0.26352730249856	0	0	0.0132836167271148	0	0.0682981047891713	0.0356350000369393	0.250361945921831	0	0	0	0	0.379379603974339	0.0160940643022895	0	0	0	0	0	0	0	0	0	0	0	0	0	0.279740895168061	0	0	0	0	0.220793964811032	0	0	0	0
Fibroblast_like_1	0	0	0.288435914593125	0	0	0	0.00513434462440036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0807413937346708	0	0	1.50606789434454e-19	0	0	0	0	0	0	0	0	0	0	0.405538170947656	0	0	0.297568028979685	0	0	0	0	0	0	0	0	0	0	0	0	0.210916354620737	0.628652493661228	0.000779030734947576	0.724190126861488	0.0316063049469616	0	0	0	0	0	0	0	0	0	0	0.0338760270322337	0.830214000801777	0.630030870201089	0.56420083519822	0	0	0	0	0	0	0	0	0	0	0	0.406472143365632	0.753999812657104	0.149912405274507	0	0	0	0	0	0	0	0	0	0	0	0.421955402821442	0.617846154153027	0.213655053556169	0	0	0	0	0	0	0	0	0	0	0.0309562346556484	0	0.0459928841540624	0	0	0.0322842508817054	0	0	0	0	0	0	0	0	0	0	-9.78517648731725e-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0862654870934727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0.311975400201466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0653683827502514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223211192631557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.95696651771462e-20	0	0	0	0	0	0	0	0	0	0	0	0.16370907032557	0	0	1.99613068937552e-19	0	0	0	0	0	0	0	0	0	0.150311917050426	0.00445462016616876	0.483798844913349	0	0.311086462524211	0	0	0	0	0	0	0	0	0.14073342585873	0.0562643128742184	0.234744290924508	0.944114359720084	0.664337489682814	0	0	0	0	0	0	0	0	0	0.00830084010614439	0	0.380789412231933	0.831903261348602	0	0	0	0	0	0	0	0	0	0	0.39665979880948	0.0260377347668597	0	0.748348378028707	0.70041065268659	0	0	0	0	0	0	0	0	0	0.0549598686132004	0	0	0	0	0.769211275701647	0.577470932444041	0	0	0	0	0	0	0	0	0	0.599446013433915	0.644487384342323	0.667894059492936	0.376415468311068	0	0	0	0	0	0.577130462501172	0.508237573919626	0.626311867324714	0	0	0	0	0	0.0657516931264798	0.499976988026991	0.362315356539634	0	0	0	0.339301064513465	0.606091237878118	0	0.648932137590423	0.237428080177305
Fibroblast_like_2	0	0	0	0	0	0	0.234766446601182	0	0.232626652805878	0.338835953737062	0	0	0	0.0481933208396004	0.269886891881279	0	0	0.0976459969590913	0	0.0539437087879828	0.0299397962455339	0	0	0	0	0	0.446659597561518	0.163946200989034	0.0962281799568859	0	0	0	0	0.119993676165532	0	0	0.343155673132626	0	0	0	0.000903620370110511	0	0	0.125481295173288	0.113863799758224	0	0	0	0.0228982070516325	0	0	0	0	0	0	0.158627088525869	0	0	0	0	0	0.113279646506074	0.300606605215247	0.0618232607323752	0	0.0621728333716643	0	0	0	0	0	0.0318802132368569	0	0	0	0	0.166771506009028	0	0.0597916120474744	0	0	0	0	0	0	0.0750782503676943	0	0	0	0	0	0.0626597879939162	0.344206980573919	0	0	0	0	0	0.090104493718868	0	0	0	0	0	0	0	0	0.00395165683416066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171693393963946	0	0	0	0	0	0	0	-1.22370257157785e-17	0.0236102505879235	0.0028168558120002	0	0.0376423821478739	5.19652532464802e-18	0	0	0	0	0	0.136459212623027	0	0	0	0	0	0.0451492765285302	0	0	0	0	0	0	0	0	0.0698494363961994	0.01028884150956	0	0	0	0	0.132882835841168	0.243122285873529	0	0.0653090505627204	0
Endothelium_pericytes_adventitia	0.0804369741980614	0.246290823960328	0.046709147325961	0.0757890388575253	0.0338010441851262	0.291109986094261	0.255430508869582	0	0.00702015268721336	0.148881429906785	0	0	0.0540574612254049	0.125462275648015	0	0.104738332580264	0	0.0110285868981558	0	0	0	0.169169362295721	0	0.0425327040264941	0.0381834905962598	0	0.415737179648836	0.126634095669786	0.0252287316026256	0	0	0	0.00387924598002718	0.0237549636993241	0	0	0.230163283250503	0	0.0366910953163914	0	0.100541698208934	0	0	0	0	0.0127755982477791	0	0	0	0	0.064044145285283	0	0	0	0	0.447917580999033	0	0	0	0	0.0373718478826204	0	0	0	0.141964223154053	0	0	0	0	0	0.116878613396794	0.0252811001644934	9.58069121522543e-19	0.0549100307502261	0.0967302190976328	0.078652095414558	0.0364027852767103	0.0259264867209846	0	0.0741127896289234	0	0.170521813456472	0.267628705997084	0	0.251936827056957	0	0.0983091371509797	0.00299630556493403	0	0.115979119782482	0	0.0113623333343506	0	0.033621077665137	0.0825051095899893	0	0	0.110702563345922	0.128299813801348	0	0	0	0	0	0	2.84192473161329e-18	0	0	0.105221872555748	0.0501936862182791	0	0.0543516036996525	0.051061184760616	0.01337492272571	0	0	0.0873535491192538	0	0	0	0.103094274937867	0.125634018899552	0.173911803290386	0.0483597760782423	0.0610999997189822	0.115065197084371	0.0579532915986948	0.166664184645114	0.118778424481338	0	0.0460071368010889	0	-7.59952511386328e-19	2.09046240936364e-19	0.0598791326566939	0.122070212935283	0.116078159030779	0	0	0.0664593725971045	0	0.0361972526899675	0	0.171561801198555	0.0249113047858884	0.121713800190317	0.00286846855637678	0.0488704560894192	0.05150595215485	0.030383696800657	0	0.182539641077205	0.0193124852391188	0	0.203912899217808	-7.75514801655364e-19	0	0	0.163811030984291	0.091298408890713	0.0920551999115266	0	0.128817415519261	0.0712910143307015	0	0	0	0	0.243002913197765	0	0.0406407468673486	0	0	0	0	0	0	0	0
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0.0213885844287886	0	0.0246235101258133	0	0	0	0	0	0.00191309562177088	0	0.0239229828311215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0162942992535565	0	0.02531456234298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00944048051507228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0279329691126806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129490144438199	0	0.0270261564590988	0	0	0	0	0	0.0294483918432138	0	0	0	0	0
Cardiac_neural_crest_cells	0.0167025333050826	0	0	0.03068921868262	0	0.0489925979660087	0	0	0	0.112964280125179	0	0.0307816949319836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00939832715350721	0	0	0.106965586480581	0	0	0	0	0	0	0	0.0202087901698539	0	0	0	0	0	0.0316221237215356	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146514072467826	0	0	0	0	0	0.0203921056671862	0	0	0	0	0	0	0	0	0.0956732095692998	0.114419955664991	0.0396392169566144	0.0644839422878468	0	0	0	0	0	0	0	0	0	0	0.00552231610160358	0.107230764878689	0.0711680838814861	0	0	0	0	0	0	0.0814267476294281	0	0	0	0.120771823164691	0.0486502748693878	0.0526541759383137	0.0582727049771146	0	0	0	0	0	0	0	0	0	0	0	0.183608039290235	0	0	0	0.129616788174999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199539221220542	0	0	0	0	0	0	0	0	0	0	0.0850443780025566	0.23111197028655	0.072334295183418	0	0	0	0	0	0	0.104014901714144	0.190336751994719	0	0	0	0	0	0	0.138811367598865	0	0.0299446776537523	0	0	0	0	0	0	0.0330192600813169	0.211942705814554
Capillary_endothelium	0.07612019381735	0	0	0	0.041929543308576	0	0	0	0	0	0.137391048051461	0	0	0.0538436068877704	0	0.0761925176107584	0.153115924632033	0	0.145253175097398	0.030232872588126	0.0307948913247104	0.0718973877888383	0.045219568337386	-1.24842750811314e-18	0	0.169335669410486	0.00413363794630742	0	0	0.0636440724589779	1.04432266087628e-19	0	0.0795053142370215	0.250418604503839	0.0100042584023782	0.298881694170974	0	0.0356516616599561	0.0548746512262587	0.248761406736911	0	0.166635220117481	0.0137125604447193	0	0.128082396328511	0.124553936956341	0.168628421658224	0.188431925606449	0.606674348787949	0	0	0.100934466717368	0.0280152333332801	0.0548010932927591	0.0270509186388074	0.00627307157501859	0.0810625726651177	0.085453552367805	0.0655631136282709	0.0797960384027407	0	0	0	0	0	0	0	0	0.140268679716267	0.245452984253367	0	0	0.0936085634444222	0	0	0.00314548802106642	0.0340771942255423	0.0633915317135209	0	0	0	0	0.0515167727722768	0.113151083993826	0	0.0557590535400167	0.0083195483244205	0.0568226147573379	0.0329463957723378	0.187598038068762	0.0465213508100745	0	0.0198650546188476	0	0	0.267758805813074	0	0	0	0.22302848885763	0.135935299815268	0.101045382633814	0	0	0	0.0111277835105092	0.0843178911534935	0.0589682972477912	0.0759526338584942	0	0	0	0.186658272407933	0.338701582630919	0.104148115791464	0.0487826400563397	0.0843491797118193	0	0	0	0	0	0	0	0	0	0	0.00364082576111884	0	0.0325507580388103	0.0759497161738165	9.29191879871246e-20	0.092935145878402	0.0335016247602091	0	0	0	0	0	0.0873221882254159	0	0	0	0	0	0	0	0	0	0	0.0437180171266958	0	0	0	0	0	0	0	0	0	0	0	0	0.0853159818858848	0.0497905938957339	0	0	0	0.273689561052361	0	0	0	0	0	0	0	0	0	0
Erythrocytes_1	0	0	0	0.32993733527906	0	0	0	0	0	0	0.0202380394454934	0.422478511544313	0.0403144606959925	0	0	0	0	0	0	0	0	0	0.207152189638488	0.139498988476314	0.0407884848283002	0	0	0	0	0	0	0	0	0.201592955622221	0	0	0	0	0.130902792069093	0.0427589138396617	0	0	0	0	0.0879398559637799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056519071153638	0	0	0.145657445730191	0.191399179240553	0	0	0	0	0	0	0	0.0233788590831394	0.565959010985058	0.26842500575286	0.707084316519615	0	0.236827277497829	0.207176568587103	0.0844981730390694	0	0	0	0	0	0	0	0	0	0.260431462561796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214336812177676	0	0	0	0.0298168163152991	0.195368104173758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0383342547239564	0	0.446038306169932	0	0	0	0.192530723893079	0	0.157570420118949	0	0.089298873542696	0.473944777363712	0	0.138601917743816	0	0.262089248766055	0.676450347834158	0.65775125634061	0.119012287922488	0	0	0.66033009068847	0	0
