X12x17x15	X12x17x16	X12x18x10	X12x18x11	X12x18x14	X12x18x15	X12x18x16	X12x18x17	X12x18x5	X12x18x6	X12x18x7	X12x18x8	X12x18x9	X12x19x10	X12x19x11	X12x19x12	X12x19x14	X12x19x15	X12x19x16	X12x19x17	X12x19x3	X12x19x4	X12x19x5	X12x19x6	X12x19x7	X12x19x8	X12x19x9	X12x20x11	X12x20x12	X12x20x13	X12x20x15	X12x20x16	X12x20x17	X12x20x18	X12x20x2	X12x20x3	X12x20x4	X12x20x5	X12x20x6	X12x20x7	X12x20x8	X12x20x9	X12x21x10	X12x21x12	X12x21x13	X12x21x15	X12x21x16	X12x21x17	X12x21x18	X12x21x2	X12x21x3	X12x21x4	X12x21x5	X12x21x6	X12x21x7	X12x21x8	X12x21x9	X12x22x10	X12x22x12	X12x22x13	X12x22x15	X12x22x16	X12x22x17	X12x22x18	X12x22x2	X12x22x3	X12x22x4	X12x22x5	X12x22x6	X12x22x7	X12x22x8	X12x22x9	X12x23x10	X12x23x11	X12x23x12	X12x23x13	X12x23x15	X12x23x16	X12x23x17	X12x23x2	X12x23x3	X12x23x5	X12x23x6	X12x23x7	X12x23x8	X12x23x9	X12x24x10	X12x24x11	X12x24x12	X12x24x13	X12x24x14	X12x24x15	X12x24x16	X12x24x2	X12x24x3	X12x24x4	X12x24x5	X12x24x6	X12x24x7	X12x24x8	X12x24x9	X12x25x10	X12x25x11	X12x25x12	X12x25x13	X12x25x14	X12x25x15	X12x25x2	X12x25x3	X12x25x4	X12x25x5	X12x25x6	X12x25x7	X12x25x8	X12x25x9	X12x26x10	X12x26x11	X12x26x12	X12x26x13	X12x26x14	X12x26x15	X12x26x16	X12x26x17	X12x26x2	X12x26x3	X12x26x4	X12x26x5	X12x26x6	X12x26x7	X12x26x8	X12x26x9	X12x27x10	X12x27x11	X12x27x12	X12x27x13	X12x27x14	X12x27x17	X12x27x18	X12x27x2	X12x27x3	X12x27x4	X12x27x5	X12x27x6	X12x27x7	X12x27x8	X12x27x9	X12x28x12	X12x28x13	X12x28x15	X12x28x16	X12x28x17	X12x28x18	X12x28x4	X12x28x5	X12x28x6	X12x28x7	X12x28x8	X12x28x9	X12x29x10	X12x29x11	X12x29x13	X12x29x15	X12x29x16	X12x29x17	X12x29x8	X12x29x9	X12x30x10	X12x30x11	X12x30x15	X12x30x16	X12x30x17	X12x30x18	X12x30x8	X12x30x9	X12x31x10	X12x31x11	X12x31x12	X12x31x15	X12x31x16	X12x31x17	X12x31x8	X12x31x9	X12x32x16
Erythrocytes_2	0.0496272706327824	0.0313018587907123	0	0	0	0.0300913845266504	0.0685513382997255	0.0331056682828146	0	0	0	0	0	0	0	0	0	0.0159468527378953	0.0230671031832702	0.0222957671491483	0	0	0	0	0	0	0	0	0	0.0767281915989199	0.118819308641019	0.0326094294006221	0.0990005846139425	0.0212404326268505	0	0	0	0	0.0412299466831014	0	0.0456107847783465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237805060769965	0	0	0	0	0.0406888376622672	0	0	0	0	0	0	0	0.0332438295009331	0.137362773198508	0.256244184237967	0	0	0	0.16654801915997	0.155737373894802	0.180558666814072	0.0529073913413865	0	0	0	0	0	0	0	0.0459010631654395	0.12473754798624	0.36065261230469	0	0	0	0.025306073134565	0	0	0	0	0	0	0	0	0	0.0173464412800286	0	0.0245113385973579	0	0	0	0	0.0397662404042378	0.0337526807933526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0623384587468365	0.188553473298128	0	0	0.128301796450359	0	0	0.0434979738819101	0.0257497535282938	0	0	0.147624484473744	0.102231957572221	0.0304263658491375	0	0	0	0	0	0.0576398843202275	0
Epicardium_derived_cells	0	0	0	0.213862681130043	0	0	0	0	0	0	0.00668132409042085	0.100620373408792	0.0355191828779779	0	0.117891429025506	0	0	0	0	0	0.00634558355177609	0	0	0	0	0	0	0.03641059387398	0.0571056817434467	0.215573498168871	0	0	0	0	0	0	0	0	0	0	0	0	0.159997312047228	0	0.2847030801092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412739687763231	0	0.214054807130605	0	0	0.382916095580148	0	0	0	0	0	0	0	0	0	0	0.666100524793549	0	0	0	0	0	0	0.062015499526288	0.0274230037862531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0404593665631294	0	0	0	0	0	0	0	0.102380329829948	0	0	0	0	0	0	0	0	0	0.457469975036924	0.144481748468038	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14615756491798	0.132140741056008	0	0	0	0	0.0418459580634723	0.123850912687589	0	0.043271589113376	0	0	0	0	0	0	0	0	0	0.241359348320441	0.17068177616957	0.0204367292560265	0.206546218720197	0.212151672568387	0.081480327328925	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0184986287638008	0	0	0	0	0	0	0	0	0.235965142892346	0	0	0.0691347685566775
Fibroblast_like_1	0	0	0	0	0	0	0	0	0	0.00853315936610972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0399509677509475	0	0	0	0.0469186969981161	0.122992650046972	0	0	0	0	0	0	0	0	0	0	0	0	0.0631099494862227	0.179777057910572	0.585505904772991	0.0502085419899077	0.402186368950441	0	0	0	0	0	0	0	0	0	0	0	0	0.102612963101461	0.871853263909072	0.424563080771141	0.121657376930223	0	0	0	0	0.0688680276579906	0.00290308023371412	0	0	0	0	0	0.626850575688931	0.790276616632508	0.942658300216472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557905777299224	0.222588423570283	0	0	0.0455310825600758	0	0	0	0	0	0	0	0	0.123641741332662	0.0100572514912006	0	0	0	0	0	0	0	0	0	0	0.032657641979751	0	0	0.101282851151228	0	0	0	0.226719402105117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0152724232667605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.350754536399665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355317872617736	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029500150379256	0.00621308022224772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146644820873819	0.00178830614243663	0.90332962304772	0.698147527128122	0.483448388906685	0	0	0	0	0	0	0	0	0	0	0	0	0.617068081841727	0.66964196163296	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151957254325258	0.614588959834258	0.583111308206603	0	0	0	0	0	0	0	0	0	0.0532139163124081	0	0	0	0.235218677858935	0.232203422911683	0	0	0	0	0	0	0	0	0	0	0.890475369393485	0.641710016451705	0.740694037634368	0.524829204820656	0	0	0	0	0	0.0294679187683554	0	0	0	0.706777676709107	0.673449265571402	0.578073578588456	0	0	0	0	0.473593850410815	0.644771404673443	0.424245306286726	0.223512764592953	0	0	0	0	0	0.503649736283079	0.500035191730268	0.198876467629782	0	0	0.420180821204579
Fibroblast_like_2	0	0	0.220157228772039	0	0	0	0	0	0	0	0	0	0	0	0	0.0698987352087437	0	0	0	0	0.206092170068776	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0368921195630716	0	0	0	0	0	0	0	0.00829080520348239	0	0.237302455821058	0	0	0	0	0	0	0	0	0	0	0.115563405148623	0	0	0	0	0	0	0	0	0.0962042973508147	0	0	0.0931898508900369	0	0.0606937270197545	0	0.0671780666731925	0	0	0	0	0	0	0	0.139155524949616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0400314857614203	0.0402976847823806	0	0	0	0	0.147861420908117	0.330742520079456	0	0	0	0.0340011838577705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0489084671836072	0.174621646292929	0	0	0	0	0	0	0	0.30279566794048	0.0517945655380752	0.0176019317932561	0	0	0.182289666916308
Endothelium_pericytes_adventitia	0	0	0	0.109214081763313	0	0	0	0	0	0.116561421262417	0	0	0	0.126020195181149	0.22933982304594	0.148666898325017	0	0	0	0	0.0355882850830651	0	0	0	0	0	0	0	0.0912981343252804	0.00221624508573991	0	0	0	0	0	0	0	0.0428329583481986	0.0388546905875474	0	0	0	0.0194755611543906	0	0.206384360052159	0	0	0	0	0	0	0.016486849348006	0	0	0	0.00713927885270956	0.00255402723553534	0.0323803113108822	0	0.0895664365912875	0	0	0	0	0.233402146601167	0	0	0	0	0.0386729718956627	0.0562423655521857	0	0.0523915058471381	0	0	0	0	0	0	0.0206211198782638	0	0.0255628636473911	0	0	0.0281659225810356	0	0	0	0	0	0.0590565679326362	0.11839907131563	0.0482951367812514	0	0	0.0312757217214737	0	0	0	0	0.00783594387488831	0	0	0	0	0.00579253003283675	0.0571574893198718	0	0.0334671494249923	0	0.0355770225194409	0	0	0	0	0	0	0	0.0564058195716899	0.0590088300650026	0.0628090576522513	0.0497932453134897	0.113653111200207	0.0415857558593644	0.0327519264942005	0.000668647949485778	0	0	0	0	0.018041399925141	0.01889877932482	0.302828973961942	0.0677141406861025	0	0	0	0	0.0331402633907274	0.0308282188298832	0.0929756474434458	0.0764639317962997	0	0.0376462626423474	0.0143353673919639	0	0	0	0.109524630606515	0.0574753502639659	0	0.11613892818122	0	0.234274618801028	0.0237872992808572	0	0	0.134643853469279	0	0	0	0.194128022566074	0.0636886582459563	0	0	0	0	0	0	0	0.422959576791307	0	0	0	0	0	0	0	0.153955868753007	0.171836221993353	0	0	0
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0.0206920131237752	0.0851092603483713	0	0	0	0	0.0171563508920478	0	0	0	0	0.02125113061539	0	0.0261300553224946	0.20389396175951	0	0	0	0	0	0	0	0	0	0	0	0	0.214875517145631	0.111255676563613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265756705514361	0	0.020557957349318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283196031512538	0.0459374787735951	0	0	0	0.0294011145221016	0.1098371061128	0	0	0	0	0	0	0	0	0	0.0971385124836979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0278925147614618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038781895157281	0	0	0.0401218375142545	0	0	0	0	0	0	0	0.0638677551646061	0	0	0	0	0	0.0279324336590531	0
Cardiac_neural_crest_cells	0	0	0.0047951273294959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0457529771109939	0	0.020662881387226	0	0	0	0.0165166992384732	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0137335734199444	0	0	0	0	0	0	0	0	0	0	0	0.0261234635850487	0	0	0	0.0686961847308446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132899232868619	0	0	0	0	0	0	0	0	0	0.0458523347589096	0	0	0	-3.93702534982775e-20	0	0	0.0640904094829882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0429871263985558	0	0.0536066346590456	0.0828994810931842	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0583002323888417	0	0	0	0	0	0	0	0	0	0	0	0	0.0799468900092973	0.0988489763449667	0	0.0654120262201154	0	0	0	0	0	0	0	0	0	0.15349434599785	0	0	0	0	0	0	0	0	0.000398487683201256	0	0	0	0	0	0	0	0	0	0	0.0595683899436204
Capillary_endothelium	0	0	0.0419082713725498	0	0.081440896010784	0.12493100063539	0.0741837056350316	0.0615167855951296	0.0732380658101987	0	0	0	0	0.15617861655593	0	0	0.0617453868913816	0.0263222876820345	0.103112639207999	0.0769966708281777	0	0.0667478706515488	0.0722170325326959	0.066574585110769	0	0	0.0653026264621093	0	0	0	0.116518069218506	0.0881710078477028	0.0598445993815088	0.219995105507266	0.0662331942623376	0.107766426044259	0	0.358372380660723	0.0723321322474283	0.0347154709354251	0.0437965358121914	0.192437384514011	0.417342251481482	0.147106195592906	0	0.0526433268772196	0.272086674481465	0.219171622371017	0	0.0799149945235695	0.0565214848538579	0.0320591508523786	0.0725377346168729	0.037123174361538	0.0289139344952087	0.0849853441813305	0.134517125743742	0.17060573693795	0	0	0	0.0656238831898813	0.0621877786412714	0.0810968907135295	0.0395386673689877	0.023202269535845	0.0682593327920855	0.0489868278673896	0.0736017305485925	0	0	0.0361668756693851	0	0.0425901750896102	0	0	0	0.0474033632698535	0.0743567495099138	0	0.0802945723921179	0.0881037472477185	0.0285370583877219	0.00755251538842511	0	0.0261884342813141	0	0	0	0	0.0376138090196438	0	0	0.0956900371837957	0.106323693360598	0.158381566412042	0.127628960893292	0	0	0	0	0.0255207021448333	0	0.179734597911266	0.163238976574841	0.154550964555153	0	0.0970328626393907	0	0.073104167910753	0.0697995880182864	0.0132592681374524	0.0976809352122524	0.0952324553043938	0.0393225018499594	0	0	0	0	0	0	0	0	0	0	0.0436449755835764	0.291180238091741	0	0.00648856803699992	0.0633017254614988	0.0303009065067136	0	0.00256232439800684	0	0	0	0	0	0	0.0503405695780488	0	0	0.0453997119143199	0.0383753529618039	0	0	0	0	0	0	0	0	0	0	0.00965157977579567	0	0.0256907792704109	0	0	0	0	0.000203513370359575	0	0	0.13726346530772	0	0	0	0	0	0	0.0850406590361909	0	0	0	0	0.0460545481632926	0.061232446899208	0.0632757970157492	0	0.0343464634144397	0.0666306724178639	0
Erythrocytes_1	0	0	0	0	0	0.095129907138487	0.0802228150213756	0	0	0	0	0	0	0	0	0	0	0	0.0797336309744014	0.0867500606709547	0.0406119371444573	0	0	0	0	0	0	0	0	0.0100449126972546	0.227184142973203	0	0.165113708285095	0.0459051336605656	0	0	0	0	0.116398916879312	0	0	0.0320263662896982	0.0185674649499985	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051205797161871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198038723422055	0.0640392565131487	0	0	0	0	0.216457954892731	0.0244651840369579	0	0	0	0	0	0	0.0615913009406722	0.523544581756113	0.581442298148067	0	0	0	0.609914372884271	0.734425519992398	0.552998036052272	0.143037716867596	0	0	0	0	0	0	0	0.390455937249166	0.431995600063202	0.513308167980398	0	0	0	0.0245509515495702	0	0	0	0.0345351736530784	0	0	0	0	0	0.0618682237226661	0	0.0169603376428185	0	0	0	0	0.350479926879494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133763025564474	0.1182632139884	0	0.749564361659047	0	0	0.0691161976216803	0	0.0429911227936815	0	0.712814827783866	0.598690148186627	0.108373095846046	0	0	0	0.193228336913183	0	0.316174482842372	0
