X13x12x14	X13x12x15	X13x13x14	X13x13x16	X13x14x10	X13x14x11	X13x14x14	X13x14x17	X13x14x6	X13x14x7	X13x14x8	X13x14x9	X13x15x10	X13x15x11	X13x15x12	X13x15x14	X13x15x16	X13x15x17	X13x15x2	X13x15x4	X13x15x5	X13x15x6	X13x15x7	X13x15x8	X13x15x9	X13x16x10	X13x16x11	X13x16x12	X13x16x13	X13x16x14	X13x16x16	X13x16x17	X13x16x18	X13x16x2	X13x16x3	X13x16x4	X13x16x5	X13x16x6	X13x16x7	X13x16x8	X13x16x9	X13x17x10	X13x17x11	X13x17x12	X13x17x13	X13x17x14	X13x17x16	X13x17x17	X13x17x18	X13x17x2	X13x17x3	X13x17x4	X13x17x5	X13x17x6	X13x17x7	X13x17x8	X13x17x9	X13x18x10	X13x18x11	X13x18x12	X13x18x13	X13x18x14	X13x18x16	X13x18x17	X13x18x18	X13x18x2	X13x18x3	X13x18x4	X13x18x5	X13x18x6	X13x18x7	X13x18x8	X13x18x9	X13x19x10	X13x19x11	X13x19x12	X13x19x13	X13x19x14	X13x19x15	X13x19x16	X13x19x17	X13x19x18	X13x19x2	X13x19x3	X13x19x4	X13x19x5	X13x19x6	X13x19x7	X13x19x8	X13x19x9	X13x20x10	X13x20x11	X13x20x12	X13x20x13	X13x20x14	X13x20x15	X13x20x16	X13x20x17	X13x20x2	X13x20x3	X13x20x4	X13x20x5	X13x20x6	X13x20x7	X13x20x8	X13x20x9	X13x21x10	X13x21x11	X13x21x12	X13x21x13	X13x21x14	X13x21x15	X13x21x17	X13x21x2	X13x21x3	X13x21x4	X13x21x5	X13x21x6	X13x21x7	X13x21x8	X13x21x9	X13x22x10	X13x22x11	X13x22x12	X13x22x13	X13x22x14	X13x22x15	X13x22x16	X13x22x2	X13x22x3	X13x22x4	X13x22x5	X13x22x6	X13x22x7	X13x22x8	X13x22x9	X13x23x10	X13x23x11	X13x23x12	X13x23x13	X13x23x14	X13x23x15	X13x23x16	X13x23x3	X13x23x5	X13x23x6	X13x23x7	X13x23x8	X13x23x9	X13x24x10	X13x24x11	X13x24x12	X13x24x14	X13x24x15	X13x24x3	X13x24x4	X13x24x5	X13x24x6	X13x24x7	X13x24x8	X13x24x9	X13x25x10	X13x25x11	X13x25x12	X13x25x13	X13x25x14	X13x25x15	X13x25x16	X13x25x7	X13x25x8	X13x25x9	X13x26x10	X13x26x11	X13x26x14	X13x26x15	X13x26x16	X13x26x7	X13x26x8	X13x26x9	X13x27x14	X13x27x15	X13x27x7	X13x27x8	X13x27x9	X13x28x12	X13x28x14	X13x29x13
Erythrocytes_2	0	0.015256989628938	0	0	0	0	0.0793908033011947	0	0	0	0	0	0	0	0	0.0306410178222469	0	0	0	0	0	0	0	0.0333801699758817	0	0	0	0	0	0	0.0709754803680715	0	0	0	0	0	0.0114802969018686	0	0.0346005858544376	0.0711093925723118	0	0	0	0	0	0.0365618965071691	0.0268488445716576	0	0	0	0	0	0	0	0.0187031738812404	0	0	0.0562079528730478	0.128362283560784	0.194486752651272	0	0.0463685978007993	0	0	0.160978456718149	0	0	0	0	0	0.0319681983269792	0	0	0.0191614174007073	0	0	0	0	0.0186106033407326	0	0.0931285444211406	0	0	0	0	0.0344910814770276	0	0	0	0	0	0	0	0	0	0	0.0423775494817524	0	0	0	0	0	0.0805135944716569	0	0.0216041196761515	0	0	0	0	0	0	0	0	0	0	0	0	0.114048078215501	0.17318280769966	0.149901268674646	0.171357440745683	0	0	0.0969054860865432	0.283710166657296	0	0	0	0	0	0	0	0	0	0	0	0	0.0705826267006076	0	0.127150102751365	0.0569368919991496	0.0614499221288704	0	0	0	0	0	0	0	0	0.333176036870093	0	0.0641300154104775	0.0802260898374778	0	0	0	0	0	0	0	0.0187971662698423	0.188340473793286	0.254190254922573	0.292185065766311	0	0.0581418786812747	0	0.0462578133250318	0.0971335727109458	0.0654244360437795	0.0593864411700157	0	0	0	0	0.205073806216837	0.124889925701723	0.18223641380788	0.0553741089700106	0	0	0	0	0.0437155591762803	0.0615113209276915	0.105625374891748
Epicardium_derived_cells	0	0	0	0	0.385973537963504	0.420652375237692	0	0	0	0.231031012024529	0	0	0	0.0337427278353858	0	0	0	0	0	0	0	0	0	0	0	0.0501965855251204	0.0278248455305059	0.403883099698724	0.175644659530029	0	0	0	0	0.0526534025613595	0	0	0	0	0	0	0	0.0687384431579119	0	0	0	0	0	0	0	0.0682037897577366	0	0	0	0.00680802765872324	0	0.285105778958283	0	0	0.0647310176333721	0	0	0	0	0	0	0.0339740333997065	0.0750237901392816	0	0	0	0	0.0882885463256365	0	0.0776844377624289	0.0207222444230683	0	0	0	0	0	0	0	0.0461366658586741	0	0	0	0	0	0	0.0469738327623881	0	0	0.250458033680947	0	0	0	0	0	0	0	0	0.00705626000559651	0	0	0	0	0	0	0	0	0	0.0545720557928641	0	0	0	0	0	0.0568788632685917	0	0.263314465841727	0	0	0	0.118864112724717	0	0	0	0	0	0	0	0.018054410080129	0	0	0.0327874429846991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.324454058217338	0	0.279249679532707	0	0	0	0	0	0	0.0748280150723201	0	0.0512880339067027	0	0	0	0	0	0	0	0	0.0612834469216858	0	0	0	0	0	0	0.173405312721397	0	0	0.029806371479941	0.235463175639786	0	0
Fibroblast_like_1	0	0	0	0	0	0	0	0	0.0831751947862773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00535522180465656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637372524780127	0	0	0	0	0	0	0	0	0	0	0	0	0	0.733921093538029	0.64233482998402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.507313401991709	0.831294432008627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763618249754663	0.714083123175761	0	0	0	0	0	0	0	0	0	0	0	0	0.133230105591415	0	0.821280612479421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.47005272535167e-18	0	0	0	0	0	0	0	0	0	0	0.221131290000275	0	0.0733132623421697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102874351427835	0	0	0	0	0.159836957833687	0	0	0	0	0.0629517674402349	0	0	0	0.0646674743441137	0	0.151723325724178	0	0	0	0	0	0	0	0	0.332726472695216	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0.0758488700436821	0.086607928189319	0	0	0	0.0524619471540591	0	0	0	0	0	0	0	0	0.196402850380585	0	0	0	0	0.0156565323720951	0	0	0	0	0	0	0	0	0.545659773878626	0	0	0	0.0219063516759405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0315044557803714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0943989392038305	0	0	0	0	0	0	0.0420138882420694	0	0	0.0468805806095864	0.0190880742116128	0.104387116074442	0	0	0.132184921143752	0.0843917358747443	0	0	0	0	0	0	0	0	0.00136638508071608	0	0.092965220557924	0	0.0218908334989021	0	0.122444888051001	0	0	0	0	0	0	0	0	0	0	0	0	0.104309812121436	0.829582650445294	0.595502874242689	0	0	0	0	0	0	0	0	0	0	1.19067444780034e-19	0	0.315754154705456	0.646397091020159	0.720318834209002	0	0	0	0	0	0	0	0	0.0675903136763473	0.383907981729201	0	0	0	0.250307674378723	0.137421500458372	0	0.0896085028418009	0.317857148443589	0	0	0	0	0.410749929768795	0.583027018414228	0.709410860365204	0	0	0	0	0	0.174063228534284	0.49135530600659	0.74052942194994	0	0	0	0	0.640729896796515	0	0	0	0	0.371388295879711	0
Fibroblast_like_2	0	0	0	0	0	0	0	0	0.0805573210051946	0	0.253601687402307	0.0711775771637706	0	0	0	0	0	0	0.0011353034924224	0.210039550783117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126332879417221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00265149920381069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043771670857052	0	0.0730769669148273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238593162421024	0.10456190768184	0	0	0	0	0	0	0	0	0	0.0743758413472547	0	0.0452665292882333	0.315669193333135	0	0.210259152568432	0.0464561743669892	0	0	0	0	0	0	0.142144127099675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128017288167284	0	0	0
Endothelium_pericytes_adventitia	0.0851785992722463	0	0	0	0	0.0843657087322757	0	0	0	0.0686935214123974	0	0.132464412947582	0	0.149104430897857	0.22018564749885	0	0	0	0.0578364992195661	0	0	0	0	0	0	0.0546978685741095	0	0.292630754190007	0	0	0	0	0	0.0872787024263195	0.0718312913971299	0.0648761655369273	0.0323433295239703	0	0	0	0	0.100427816565826	0	0	0	0	0	0	0	0.254160593263784	0	0	0	0.0324842724069011	0	0.0360985533163465	0	0	0	0	0	0	0	0	0.134584217073694	0.0379853203246874	0	0.212282126755017	0.0458185280866876	0	0	0.0103284647923258	0	0.0545150847957397	0.219647782309271	0	0	0	0	0	0	0	0.0945198690770382	0	0	0	0	0	0	0.109803052086177	0.0488249873156689	0	0.104363093773595	0	0	0	0.183552356821951	0	0.048262040343063	0.0440405824007908	0	0	0	0	0	0	0.0787292583019735	0	0	0	0	0.169826249434873	0.221254952885371	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0645487221829615	0.158988627845755	0	0	0	0	0	0.0133620321019279	0.0909259608140642	0	0	0	0	0	0	0	0.0635610374868641	0.0580949624227334	0.10328274540687	0	0	0	0	0.150817731459082	0	0	0	0	0.218576231150692	0.191334383475471	0	0	0	0.071628272031059	0.265602618351839	0	0	0	0	0.0797133809467045	0.105396851995476	0	0	0	0	0	0	0	0	0.0589188407425217	0	0	0	0	0	0	0	0.082332216606413	0.0674548618438135	0.0987030157119188	0
Myoz2_enriched_cardiomyocytes	0	0	0.0455504420147425	0.0190101982137002	0.0194370138438289	0	0.0106165497279375	0.0210050445357654	0	0.0226705630249402	0	0	0.0298146741190937	0	0	0	0.0194401612454358	0	0	0	0	0	0	0	0	0	0.0243162194157747	0	0	0	0	0	0	0	0	0.0192985278781258	0	0	0	0	0	0	0	0.0203740639224185	0.226708662465894	0	0	0.0183702578720195	0.0169758767990313	0	0	0.0228449956247803	0	0	0	0.00670440045705301	0	0	0	0	0	0	0.0287234481969584	0	0.14670303200131	0	0	0	0	0	0	0	0	0	0.116700437694643	0	0	0.0153847691502563	0	0	0.0103478049991296	0.0433376330016548	0	0	0	0	0	0.00074551456446833	0.410988858680761	0	0	0	0.0682881719295477	0	0	0	0	0	0	0	0	0	0	0.0225578049595595	0	0	0	0	0	0	0	0	0	0.0079993995693937	0.00697149337173098	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222780752540165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014322226310124	0	0	0.0225809067582481	0	0	0.109775796377655	0	0	0.000285309241421367	0.186531018022226	0	0	0	0	0	0.0118958486882181	0	0	0	0	0	0	0	0	0	0.0307860859702461	0.0423447982353498	0	0	0	0	0.0207339770537293	0	0	0	0	0.0296121377721971	0	0	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0.022510002229644	0	0	0	0.0764136034329643	0.00549463355129285	0.0171858305788577	0	0	0	0	0	0	0	0	0	0	0	0	0.00228396754383971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87044278407253e-19	0.19964594344716	0	0	0	0	0	0	0	0	0	0	0.0408079804666489	0.0143880387782359	0.0808116374662385	0.0182575660591017	0	0	0	0	0.0139520365712833	0	0	0	0	0.0221303156184471	0	0	0	0.0374186471222178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0604847500630747	0.0984684586544375	0.151177703478183	0.0720163171676542	0.0869104108048143	0	0	0	0	0	0	0	0.0406073235353717	0	0	0	0	0	0	0	0	0.00691401195157531	0	0	0	0	0	0	0	0.0256761865308012	0.0175652660890413	0	0	0.123279533251693	0	0	0	0	0	0.0641679040202355	0	0	0	0.129070078906798	0	0.122746861243249	0.0262832394826346	0	0	0.0634961487270429	0	0	0	0.247048916774891	0.0562796927625792	0	0.0421726255806511	0	0	0	0	0	0	0.0201277107008797	0	0.325963625767246	0.0262548186364368	0	0	0	0	0	0	0	0.118725601216983	0	0	0.0476796078195625	0	0.0174875814136812	0	0.0706803186267877	0.121898454560696	0.012748679468251	0	0	0.0798489942717589	0.0471134014772823	0.101844860032897	0	0	0	0.0728833202999642	0	0	0	0	0	0
Capillary_endothelium	0	0.0165720391479794	0	0.0767537691852091	0	0.070751428629893	0.085037663611127	0	0	0	0.0294920960867492	0	0	0	0	0.0245014895401553	0.0907839555255696	0.128501029121424	0	0	0.101342127255532	0.0972426116427075	0.242803162183955	0.243792193572485	0.110543189853789	0.209223216736326	0.0388438712570437	0.190005341764568	0	0	0.314295905478452	0.0783388439207356	0	0	0.000258668763761542	0.0275942124900799	0	0.0311037541648411	0.318123335566204	0.350410460178827	0.114750332990948	0	0	0	0	0.114960279128916	0.0994797310307843	0	0.277698063499514	0	0.139088093102517	0.0564329402091803	0.126930361478588	0.120192351220833	0.0513344227864595	0.069788606820031	0.0128568337956326	0.120856416384215	0.0609257588540823	0	0	0.235873184055347	0.2373215665981	0.0847450187101185	0.0694523979117322	0	0	0.0234365313381602	0	0.0194951028550302	0.0351518687998995	0.0295517859704722	0.00605061307664041	0	0.17412958067479	0	0	0.193766029378764	0.227005730653682	0	0.0916343576615104	0.0813422363419275	0	0.0295694107630969	0.0551530631434641	0.197620775096875	0.0454851529085441	0.0340514115898791	0.0480126617306709	0.0446415647527934	0	0	0	0.0292321533087326	0.250815661884526	0.0762722569455815	0	0	0.0874541133172292	0.294542411058787	0.0467724286353854	0	0.113686986888425	0.344571505210709	0	0.0541056192597871	0	0	0.173036692185663	0.361096603548922	0	0	0	0.173165251851948	0.0206126218335366	0.0756626126810197	0.0797770352444405	0	0	0	0	0.0355697333727702	0.176923519925399	0.597644683874142	0.4854778399933	0	0	0	0	0.221428305781418	0.0647986336811109	0	0.1367026952366	0.060542784168277	0.0589996811895343	0.0673129377789198	0.0963480619752198	0.0875601908066052	0	0.00547544581638166	0	0	0	0	0	0	0	0.136439747094937	0	0	0	0.0860251318871075	0	0	0.000960827528781344	0	0.22129555553424	0	0	0	0.0107508212953702	0.0646171435832499	0	0	0.177381552595194	0.193285523906825	0	0	0.204282291620988	0.00316291492832855	0.13569728766381	0	0	0	0	0	0	0.10237855045046	0.0822779646167992	0.285621632924618	0.0917102757427165	0.0481013760088371	0.0603163151972367	0.117694151408452	0	0.116639414384686	0.0991323663270587
Erythrocytes_1	0	0	0	0	0	0	0.0582898051732967	0	0	0	0	0	0	0	0	0.117190329673718	0	0.234986259641993	0	0	0	0	0	0.0958614863850705	0	0	0	0	0	0	0.129106425224702	0	0	0	0	0	0	0	0.0995889844884151	0.126061801651557	0	0.0241648811477475	0.166897464123762	0	0	0.0387460229586957	0.0917853773369034	0	0	0	0	0	0.0428914353851009	0	0.171820957384771	0.0225415043800186	0	0.180600800758717	0.745980939951761	0.805513247348728	0	0.136548831333277	0	0	0	0	0	0	0	0	0	0	0	0	0.273297731574705	0	0	0	0.0402977869907237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103504460932591	0.0272483397467414	0.19396183096557	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0937807824130776	0.803396871985106	0.809251926211299	0.586784265483627	0.828642559254318	0	0	0.186585717314598	0.230811993349404	0	0	0	0	0	0.0210419700914581	0.00967651689607389	0	0	0	0.0171656082212904	0	0.705047771423575	0	0.135435285008635	0	0	0	0	0	0	0	0	0	0	0.666823963129907	0	0	0.166481874750103	0	0	0	0	0	0	0	0.0744629379952053	0.618105909917411	0.682857977637192	0.479145347731792	0	0	0	0.202026988436592	0.67729986800976	0	0.019809357121964	0	0	0	0	0.693081333750266	0.128158348332265	0.402759148880105	0.111289789899105	0	0.102671501321855	0	0	0	0	0.157842603273207
