X5x10x21	X5x11x18	X5x11x19	X5x11x20	X5x11x21	X5x11x22	X5x11x23	X5x11x24	X5x12x17	X5x12x18	X5x12x19	X5x12x20	X5x12x21	X5x12x22	X5x12x23	X5x12x24	X5x12x25	X5x13x17	X5x13x18	X5x13x19	X5x13x20	X5x13x21	X5x13x22	X5x13x23	X5x13x24	X5x13x25	X5x13x26	X5x14x17	X5x14x18	X5x14x19	X5x14x20	X5x14x21	X5x14x22	X5x14x23	X5x14x24	X5x14x25	X5x14x26	X5x14x28	X5x15x16	X5x15x17	X5x15x18	X5x15x19	X5x15x20	X5x15x21	X5x15x23	X5x15x24	X5x15x25	X5x15x26	X5x15x28	X5x15x29	X5x16x16	X5x16x17	X5x16x18	X5x16x19	X5x16x20	X5x16x21	X5x16x22	X5x16x23	X5x16x24	X5x16x25	X5x16x26	X5x16x28	X5x16x29	X5x17x16	X5x17x17	X5x17x18	X5x17x19	X5x17x20	X5x17x21	X5x17x22	X5x17x23	X5x17x24	X5x17x25	X5x17x26	X5x18x17	X5x18x18	X5x18x19	X5x18x20	X5x18x21	X5x18x22	X5x18x25	X5x18x26	X5x18x27	X5x18x29	X5x19x25	X5x19x26	X5x19x27	X5x19x29	X5x19x30	X5x20x26	X5x20x27	X5x20x29	X5x20x30	X5x21x26	X5x21x27	X5x21x29	X5x21x30	X5x22x27	X5x22x28	X5x22x30	X5x23x26	X5x23x27	X5x23x29	X5x23x30	X5x23x31
Erythrocytes_2	0.0228903801086567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105632748956812	0.212292534104671	0	0	0	0	0	0	0	0	0	0	0	0.0675914109320015	0.171302674984691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153601578400532	0	0	0	0	0	0	0	0	0	0	0	0	0.0192637300655142	0	0.0203278590625258	0	0	0	0
Epicardium_derived_cells	0.02018987375058	0.124029934127461	0	0	0	0	0	0.0890481900385437	0.0719886078249894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.268869442509801	0.00249104762340771	0	0	0	0	0	0	0	0	0	0	0.159747226167515	0	0	0	0	0	0	0	0	0	0	0	0.106593124762009	0	0	0	0	0	0	0	0	0	0	0	0	0.0460811821239198	0	0.0310500784813146	0	0.0623333271135899	0	0	0	0	0	0	0.0535550675944463	0	0	0	0	0.270259857958595	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265437959757765	0	0	0	0	0	0	0	0	0	0.0123958059224941	-2.67759707740163e-18
Fibroblast_like_1	0	0.166106286228002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61477494485082e-18	0	0	0	0	0	0	0	0	0	0	0.132556952512552	0	0	0	0	0	0	0	0	0	0	0	0.00187218774857578	0	0	0	0	0	0.000625519662106745	0	0.129222652864466	0	0	0	0	0	0	0	0	0	0	0	0	0.750957609962679	0	0	0	0	0	0	0	0	0	0	0	0.704694490711089	0.872431068816954	0	0	0	0	0	0	0.763434369079977	0.857341560623414	0	0	0	0.264358123768047	0	0	0	0	0	0	0.300358281653646	0	0	0	0	0	0	0	0	0	0	0	0.0744473213322573
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263998083306999	0	0	0	0	0	0	0	0	0	0	0.0445472431961776	0	0	0	0	0	0	0	0	0	0	0	0	0.0148938445693073	0.0544869369684847	0	0	0	0	0	0.218289435721373	0	0.826320627993327	0.61491238127922	0.688799935024256	0	0.655363749302313	0.440078662124485	0.841348657947051	0.565358821961848	0.807908480514432	0.746232757254603	0	0.39768446679959	0.6277536452953	0.296467004608172	0.780059748363326	0	0	0.539615774287452	0	0	0	0.641346012401049	0.119482144651078
Fibroblast_like_2	0.596173279470521	0	0	0.0640342033046324	0	0	0.178437585463283	0.190657610081559	0	0.167339949627648	0.0205319192586534	0.0217157947941209	0	0.0673299000766664	0	0	0.154466714388541	0.238945698146132	0	0	0	0	0	0.0435160266783263	0.0527109728758675	0	0	0.153059400901326	0	0.0219762391456423	0	0	0	0	0.0198114814472747	0	0.0889186324051965	0	0.376568345901437	0	0.00655240391891989	0	0	0	0	0	0	0	0	0	0.387935582005271	0	0	0	0.0525569530201044	0.0248116430933946	0	0.0718107579332865	0.13149493771544	0	0	0	0	0.216039544381513	0	0	0.123722570492301	0.0225790594996005	0	0.0825628003496587	0.177641515261029	0.0369466179684029	0	0	0.273787477687425	0.199970856588013	0	0	0.0598986663729157	0	0	0	0	0.119197714554876	0.130628475736564	0.0761018230281717	0	0	0	0	0	0	0	0	0	0.200811209517585	0	0	0	0	0	0	0.322467039995328	0	0
Endothelium_pericytes_adventitia	0	0	0.0503531120747544	0.181476891493244	0	0.0182459610332373	0.0247917742173117	0.114854314396335	0.0208357755066367	0.0964619726683676	0	0	0	0	0.0321730245179478	0	0.0976664499264647	0.239675815991852	0	0	0	0	0	0	0	0	0.137513880880606	0	0.0256881116246827	0	0	0	0	0	0	0	0.0471420664453264	0	0	0.317493966062106	0.0966597644826403	0	0	0	0	0.0712530289223021	0	0	0	0	0.074310994771881	0.0865823270305263	0.0126605796115522	0.0403803850672689	0.0248374784120422	0	0	0	0	0	0.118760029813022	0	0	0.0693902719093533	0.294509500144563	0.0423958477466688	0.0940791197742762	0.143331374403005	0.139225045148934	0.0875002843070547	0.150456962144228	0	0.0505519584501012	0	0.148642552542935	0.168458894328959	0	0.0974403619810303	0.0218163783211181	0.203261624207686	0	0.123349532032952	0.0504176900736965	0.117590666424686	0	0.0309579930247743	0.0650767359652003	0.530658693428789	0.10924949735287	0.0881171432083319	0.0682566767961709	0	0	0.147694364855256	0.0194308729543071	0	0	0	0	0.109199780879734	0	0	0	0.191945028692802	0.0557117680062282
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0298092276970073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233697229887426	0	0	0	0.01780513948553	0	0	0	0	0	0	0	0	0	0.0219200518540084	0	0	0	0	0.0252521622712032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0230819506929301	0	0	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0	0.000452825015738448	0	0	0	0	0	0	0	0.0516841828862674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226707603979494	0	0	0	0	0	0	0	0.10611126614693	0.0669934011423846	0	0	0	0	0	0	0	0	0	0	0	0.147988028845108	0.0123259365264705	0.0275011307289072	0	0	0	0	0	4.84678729227115e-19	0	0	0	0	0	0	0	0	0	0	0.0811693597491868	0	0	0.000343894369352596	0.0156731883694635	0	0	0	0.175036550232559	0	0	0	0	0
Capillary_endothelium	0	0	0	0	0	0	0.0160787118974741	0	0	0	0.0464319379795214	0.0763351967691536	0.0715606741755073	0.367646387379488	0.0673215341383107	0	0	0	0.143541028865638	0.0590225185847603	0.0746310415321825	0.124548541304861	0.0822189249521561	0.0530372123049851	0.201989148233964	0	0.053249910998261	0	0	0.0544635144008301	0.167686140935954	0.0345221375036069	0.072684530510532	0.0797439233309868	0.242235754824384	0	0.0431294977348637	0	0	0	0	0.116327316222452	0.128928829963748	0.236334365990081	0	0.14087177835999	0.0703683018981397	0	0.0539756618237756	0.0462697078834797	0	0	0	0	0	0.089214877092187	0.0331108540226782	0	0.0590357127732008	0.0370409857913843	0	0	0	0.0518358706193953	0	0	0	0	0	0.117507184340158	0	0.0382309147098769	0	0	0	0	0	0	0	0.0561968373896761	0	0.0107408155166927	0	0	0	0	0	0	0	0.0378125448056591	0	0.0660389990522304	0.113348568387854	0	0	0.000142724479623188	0	0	0	0	0	0	0.214522186354296	0	0.154760462886603
Erythrocytes_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0226386719642638	0	0	0	0	0	0	0	0	0	0.0152184231181293	0.10484755577421	0.464927836240769	0	0	0	0.0095935958974216	0	0	0	0	0	0	0	0.0877203066364161	0.557344918195514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417906560037613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
