X6x12x18	X6x12x19	X6x13x16	X6x13x17	X6x13x18	X6x13x19	X6x13x20	X6x13x21	X6x14x15	X6x14x16	X6x14x17	X6x14x18	X6x14x19	X6x14x20	X6x14x21	X6x14x22	X6x14x23	X6x15x15	X6x15x16	X6x15x17	X6x15x18	X6x15x19	X6x15x20	X6x15x21	X6x15x23	X6x15x24	X6x16x15	X6x16x16	X6x16x17	X6x16x18	X6x16x19	X6x16x20	X6x16x21	X6x16x22	X6x16x23	X6x16x24	X6x16x25	X6x16x26	X6x17x15	X6x17x16	X6x17x17	X6x17x18	X6x17x19	X6x17x20	X6x17x21	X6x17x22	X6x17x23	X6x17x24	X6x17x25	X6x17x27	X6x18x14	X6x18x15	X6x18x16	X6x18x17	X6x18x18	X6x18x19	X6x18x20	X6x18x21	X6x18x22	X6x18x23	X6x18x24	X6x18x26	X6x18x27	X6x19x15	X6x19x16	X6x19x17	X6x19x18	X6x19x19	X6x19x20	X6x19x22	X6x19x23	X6x19x24	X6x19x25	X6x20x16	X6x20x17	X6x20x18	X6x20x19	X6x20x20	X6x20x23	X6x20x24	X6x20x25	X6x20x27	X6x20x28	X6x21x24	X6x21x25	X6x21x26	X6x21x27	X6x21x28	X6x22x24	X6x22x25	X6x22x26	X6x22x28	X6x22x29	X6x23x25	X6x23x28	X6x24x25	X6x24x26	X6x24x27	X6x24x28	X6x24x29	X6x25x25	X6x25x26	X6x25x28	X6x25x29
Erythrocytes_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150037561362372	0.0352705553150268	0	0	0	0	0	0	0	0	0	0	0	0.149948931100216	0.204120920363276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125462268305962	0	0.0357823733514314	0	0	0	0	0	0	0	0.040221427086512	0	0.0357931400404807	0	0	0	0	0	0	0
Epicardium_derived_cells	0.278182830847629	0.140410921405609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180599615937137	0	0	0	0	0	0	0	0	0.349527825103083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206204654271843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164254128829812	0	0	0	0	0	0	0	0.474153200924478	0.444945303128848	0	0	0	0	0.129299742474192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0322508023921692	0
Fibroblast_like_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.608425746466918	0	0	0	0	0	0	0	0.0482304935468698	0.403077105701941	0.706709478385605	0.673856131020562	0.00529579565262203	0	0	0	0.027821700490139	0	0.229483007212779	0.626183918895247	0.0374228842845002	0	0	0.0570452481755704	0	0.0844433439970965	0	0	0.0351647578099376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	1.29320572782829e-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0701141255714907	0	0	0	0	0	0	0	0	0	0.0940974925995577	0	0.0362664157997699	0	0	0	0	0	0	0	0	0	0	-2.8873987636138e-19	0	0	0	0	0	0	0	0	0	0.0128615905756581	0.170447771457864	0.392555186934777	0	0	0	0	0	0.353162495940879	0.0150516162261603	0.787021847021502	0.845589830863619	0.525254656362742	0.727044027286074	0	0.648328970482461	0.746114605830476	0.780786365228791	0.609952002237714	0.749801362207368	0.682388031129792	0.519436794085276	0.745555373314554	0.453984675703832	0.596086816513734	0.138052967310994	0	0	0.743820535050166	0.609283833694353	0	0	0.662531130108664	0.275469849296959
Fibroblast_like_2	0.117976490264513	0	0.0392899600357255	0.186918290491609	0.164901153473078	0	0	0	0.208507152464733	0.220900150520295	0	0	0	0	0	0.264021764220756	0.0846132199265021	0.189257257374234	0	0	0	0	0	0	0.00387471243518386	0	0.235861186220951	0	0	0	0	0	0	0	0	0	0	0.0520463408312122	0.0380936630843683	0.0570766658537476	0	0	0	0	0	0	0	0.199180802509748	0	0	0.272439050439091	0	0.176517466224715	0.123230451444763	0.113205079644725	0	0	0	0	0	0	0	0	0.108707508538155	0.142714097918559	0.17693929024136	0.136782610507196	0.0814549626841172	0.0108126305543045	0	0	0	-1.47991285175056e-18	0	0.0979492740495502	0.0683977290097243	0.185561969973319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152044844239438	0	0	0	0.431957977181421
Endothelium_pericytes_adventitia	0	0.0568383287624185	0.166830770559875	0.022723844660876	0	0	0	0.209591036746146	0	0	0	0	0	0	0	0.0388660976109345	0	0.247482370955913	0	0	0	0	0	0	0.0686073852199803	0.160489797839186	0.0299881702030786	0	0	0	0	0	0	0	0	0.0989115511173739	0	0.0460001921989897	0.084001174871893	0.0610893564176676	0.0783540365336843	0	0	0	0	0	0	0.0482871562918016	0	0	0.0490935085181074	0.161409262592755	0.0548619034221273	0.103489189973979	0.0740964467658056	0	0	0	0	0	0.0277538678207803	0	0	0.100410929859618	0.0856095840358991	0	0.069457527412412	0.160224618471469	0.0860883703608336	0	0	0	0.0634757754332287	0.130767346342953	0	0.0324927256494701	0	0.130514228584464	0.0651563006897748	0	0.0469305037886152	0.154410169136381	0.127932349695856	0.0549623855982206	0	0	0	0.0618928750656899	0.305425299842717	0.0586490953930608	0.04841567046941	0	0.0887445568343836	0	0.173461674606506	0	0	0	0.113271263066575	0	0	0	0.0249224787375975	0
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.61320124265907e-19	0	0	0	0	0	0	0	0.0238171255761765	0	0.0702239165735606	0	0	0	0	0	0	0	0	0.0584307893991318	0	0	0	0	0	0.050208244505584	0.0152469788329125	0	0	0	0.0919710199646919	0	0	0	0.153197271394353	0	0	0	0.10782811732711	0.0373429880921379	0	0	0.218133761357194	0.0620953853797251
Capillary_endothelium	0.0370892048474775	0	0	0	0	3.68667061684808e-20	0.0351198494736517	0	0	0	0.100234265131367	0.286293146614061	0.191842247045176	0.112291285528284	0.149347373981419	0	0	0	0.112469863904055	0.0317732521379813	0.166821945102071	0.0209539334950847	0.0569873024663083	0	0	0	0	0.0317260872109699	0.119541234623198	0.0629163811495611	0.0331174126585072	0.0813966035613244	0.287267504035328	0.0668547142327621	0.00756555126676842	0.0815585695267848	0	0	0	0	0	0.04081413452284	0.101729642163891	0.0493434969912589	0.0412181277110549	0	0.0716832669356587	0	0	0	0	0	0	0	0	0	0.153719322502284	0.0438473760819582	0	0	0	0	0	0	0	0	0	0	0	0	0.117150056684916	0.0661708053308585	0.0437258933107488	0	0	0	0	0.0289590860796507	0	0.0605256262653616	0	0	0	0	0	0.00694054767291561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythrocytes_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160858679419506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328911835654062	0.046647116029088	0	0	0	0	0	0	0	0	0	0	0	0.533505172325768	0.642545577605996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466155319172312	0	0	0	0	0	0	0	0	0	0	0	0.12098124029763	0	0	0	0	0	0	0
