X7x10x10	X7x10x11	X7x10x12	X7x10x13	X7x10x15	X7x10x16	X7x10x17	X7x10x18	X7x10x19	X7x10x21	X7x10x22	X7x11x10	X7x11x11	X7x11x12	X7x11x13	X7x11x14	X7x11x15	X7x11x16	X7x11x17	X7x11x18	X7x11x19	X7x11x21	X7x11x22	X7x11x23	X7x11x9	X7x12x10	X7x12x11	X7x12x12	X7x12x13	X7x12x14	X7x12x15	X7x12x16	X7x12x17	X7x12x18	X7x12x19	X7x12x20	X7x12x21	X7x12x22	X7x12x23	X7x12x24	X7x12x9	X7x13x10	X7x13x11	X7x13x12	X7x13x13	X7x13x14	X7x13x15	X7x13x16	X7x13x17	X7x13x18	X7x13x19	X7x13x20	X7x13x21	X7x13x22	X7x13x23	X7x13x24	X7x13x9	X7x14x10	X7x14x11	X7x14x12	X7x14x13	X7x14x14	X7x14x15	X7x14x16	X7x14x17	X7x14x18	X7x14x19	X7x14x20	X7x14x22	X7x14x23	X7x14x24	X7x14x8	X7x14x9	X7x15x10	X7x15x11	X7x15x12	X7x15x13	X7x15x14	X7x15x15	X7x15x16	X7x15x17	X7x15x18	X7x15x20	X7x15x21	X7x15x23	X7x15x24	X7x15x8	X7x15x9	X7x16x10	X7x16x11	X7x16x12	X7x16x13	X7x16x14	X7x16x15	X7x16x16	X7x16x17	X7x16x18	X7x16x19	X7x16x20	X7x16x21	X7x16x22	X7x16x23	X7x16x24	X7x16x9	X7x17x10	X7x17x11	X7x17x12	X7x17x13	X7x17x14	X7x17x15	X7x17x16	X7x17x17	X7x17x18	X7x17x19	X7x17x20	X7x17x21	X7x17x22	X7x17x23	X7x17x24	X7x17x9	X7x18x10	X7x18x11	X7x18x12	X7x18x13	X7x18x14	X7x18x19	X7x18x21	X7x18x22	X7x18x23	X7x18x24	X7x18x25	X7x19x20	X7x19x22	X7x19x23	X7x19x24	X7x19x25	X7x20x19	X7x20x20	X7x20x21	X7x20x22	X7x20x23	X7x20x24	X7x20x25	X7x21x18	X7x21x19	X7x21x20	X7x21x21	X7x21x23	X7x21x24	X7x21x25	X7x22x18	X7x22x23	X7x22x24	X7x9x12	X7x9x13	X7x9x14	X7x9x15	X7x9x16	X7x9x17
Erythrocytes_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144173655570425	0	0	0	0	0	0	0.0418468109104808	0	0.156945494554272	0.0950995665347541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201108916253129	0.198956156622437	0.223416543834146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103650445080772	0	0.0449929006896419	0	0	0.0480848471983438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0616226457145231	0	0	0.0158828824625984	0	0	0	0	0	0	0	0	0	0	0	0	0.0646567635302506	0	0	0.024743699267802	0.026508653611577	0	0	0	0	0	0	0	0.0817737217336344	0	0	0.0193499989354306	0	0	0	0	0.023076407597059	0.0239970868365478	0	0	0	0	0	0.0272747063116053	0	0.17034901185393	0	0.0608208716718313	0	0	0	0.127744207914172	0	0.0338686115613351	0	0	0	0	0	0	0
Epicardium_derived_cells	0.0978457959415295	0	0	0	0	0	0	0.170380700302669	0.289174179743996	0.0263462295400427	0	0	0	0.0176131019734897	0	0	0	0.0210979045651214	0	0	0	0	0	0.157197202196783	0.00749464792042108	0	0.0626737394241049	0	0.0138284742857554	0	0	0	0	0.0399933268515499	0	0.399611361972929	0	0	0.031769129150832	0	0.360374035964876	0	0	0	0	0.0650613363674606	0	0	0	0	-1.15328046122199e-18	0.0666368222833143	0	0	0	0	0.199833801866316	0	0	0	0	0.0512265494823256	0.0180105926000524	0	0	0	0	0	0	0	0.08794168389382	0	0	0.0392916227849371	0	0	0	0.00186727122099932	0.00186451954862606	0	0	0	0	0	0	0	0.0431220973365489	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250012897911465	0	0	0	0.0283904931611188	0.0657357872339084	0	4.33608285293685e-22	0	0	0.00480978415735628	0.682277123363425	0	0	0	0	0	0	0	0.0956422002064331	0.208222575858386	0.014987841407905	0.0355868951532128	0.0995841885181692	0.00570979677882123	0	0	0	0	0	0	0	0	0	0	0	0.243974505037991	0.113863155108551	0	0	0	0	0	0	0	0	0	0.110212464315972	0	0	0	0.0890633479356528	0	0.0761130802121659	0	0	0	0	0.10460161250651
Fibroblast_like_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241129542180454	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667424378861796	0.603481351231629	0.234501742174002	0	0	0	0	0	0	0	0	0	0	0	0	0.865419926586688	0.421781800281183	0.312346396166522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106726228092032	0.0134974893550126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0574127876112763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0.0672400137296378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110682916145139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142807724168672	0.128530853432859	0.609440447183284	0.375429581289306	0	0	0	0	0	0	0	0	0	0	0.0344908616357606	0.164327318361914	0.135371892073847	0.889922477726029	0	0.480256059747749	0.691885923532452	0	0	0	0	0	0	0	0	0.0525891176195857	0.407619719215463	0.500713892850731	0.530566283080672	0.50397924888601	0.726426093308429	0.548482509328064	0.367009460555524	0	0	0	0	0	0	0.758555454873031	0	0.74457712995142	0.871979761739067	0.481174179121074	0.571637119782121	0.840505698156962	0.52482492332486	0.909168798508206	0.501071035623378	0.733393039530796	0	0	0.494367301658255	0.685351956087937	0.548423736437624	0.411879381679827	0.577038834526505	0	0	0	0.336690771552742	0.616334970737439	0.773015058480317	0	0	0.481209318590086	0.478864879485734	0	0	0	0	0	0
Fibroblast_like_2	0	0.297992467078171	0.151228521531155	0.0743175317672232	0.0703068106260386	0.0627251734858883	0	0.0583492322023574	0	0	0.101835001857656	0.227512946273377	0.0353666290385295	0.0408113693216106	0.0231941399241523	0	0	0	0.0347365895774761	0.00113593717291741	0.24651804249563	0	0	0	0	0.112802366477455	0	0.0239901622034876	0	0	0.0198819121667384	0	0	0	0.250896846495216	0.133586484083877	0	0	0	0	0	0.0545736920297855	0.113998108637002	0	0	0	0.136858270987871	0	0	0	0.101339461548433	0.089754662086639	0	0	0	0	0	0.193780650249179	0.0678588046009959	0.194491148104021	0.208867187331963	0	0	0.0132415016709263	0	0.16590661454843	0	0	0	0	0	0.239707107160763	0.0367783339519836	0.0239912490392875	0	0	0.0532125757693428	0	0.0545210681965739	0.206215023347486	0.0789319060857571	0	0	0	0	0.0402675154506113	0.158664918170956	0.146654873888522	0.12084212230379	0	0	0	0	0	0.160788808733565	0.0302421093287107	0	0	0	0	0.0777439935611555	0	0	0.194992366837526	0.0777898793027157	0	0	0.06449879314027	0.121506328675664	0.0191534122781398	0.126207418585497	0	0.0919269724095633	0	0	0	0	0	0	-2.01775492407273e-18	0	0.27238374906457	0.0555476198234986	0	0.323581976486442	0	0	0	0	0	0.00981235368218167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0246874210970327	0	0	0	0.103672225225318	0.248611437458906	0.0945284480623019	0.0641119381860978	0.137560625817862	0.100188185677623	0.215107606751491	0
Endothelium_pericytes_adventitia	0.0891720943342401	0.051291828260297	0	0	0	0.0357611702861241	0.0399831081150635	0.0929358515691542	0	0	0	0.0426733248621917	0	0.0434900852571656	0.0182797201025132	0.019841640895303	0	0	0	0	0.126436363463778	0	0	0	0.050612766928735	0	0	0	0	0	0	0	0	0	0.0861481174420842	0	0	0	0	0	0.241064158819719	0.030527314161307	0.0157767987510124	0	0	0	0	0	0	0	0	0.0500933361993756	0	0	0	0	0.354763755411338	0.164576421577727	0.0238479114890782	0.0684971241044158	0.0105557296783676	0	0	0	0	0	0	0.0758224042902516	0	0	0	0.358435216761287	0.0929558019135313	0.0314208977715908	0	0	0	0	0.0684548054312698	0	0	0	0.043488082600176	0.0900428169862669	0.135669566825596	0.0781985071062384	0.0755544300873723	0.0560196072757827	0.0346581670052627	0	0	0.00285989627864204	0	0	0.0192794915818754	0.0663362585629702	0	0.080703886047842	0	0	0	0.167762014628697	0.0330017061373619	0.159678539284772	0.158087028731631	0	0.0196375464391018	0	0	0.0478075725755628	0.208994163746604	0.121139475499929	0.0887628639210725	0.174020351918089	0	0.0492263130771117	0.0520896658012853	0.187530271141409	0.216021594845598	0.240260791794797	0.0804910040159889	0.0463226146622027	0.112761819337641	0.14182195488237	0.0117550103426761	0.0608865839050206	0	0	0	0.0267953150714495	0	0	0.143074418071825	0.0450373390575658	0.231753954633751	0	0	0	0.169267567755387	0.163447967913092	0.0750060509519496	0.14389912334193	0	0	0	0	0	0.0271366399121736	0	0	0	0	0.0456077246866463	0.104810905238694	0.167522796881713	0.0565879038276273	0.214524518071727	0.0606149432516604	0
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0	0	0	0	0.0500421019332988	0	0	0	0	0	0	0	0	0	0	0	0.0222025572975397	0	0.0307305265497715	0	0	0	0	0	0	0	0	0	0	0	0	0.0202942589184391	0	0	0.0641579430376752	0	0	0	0	0	0	0	0	0	0	0	0	0.0666233471283875	0	0.0218843010022021	0.019915288866162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0399958961914621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267515974880823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00710564862982971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0112700342489234	0	0	0	0.0887783356733479	0	0	0	0	0	0	0	0.0206275360127278	0	0	8.63609156389325e-05	0.0377017745718591	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0366304569903039	0	0.032309588229567	0	0	0.0657086226917621	0	0	0	0	0	0	0	0	0.0691873583066916	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125784064407996	0	0	0.0267525621477707	0	0	0	0	0.0817636055611231	0.0990093730630558	0	0	0.0246509115487158	0.107011323243766	0	0	0	0	0	0
Capillary_endothelium	0	0	0.265120992898403	0.246825686442119	0.198339397904162	0.0698284413262752	0.197623768011894	0	0	0.0457956961356072	0.0860463846713185	0.0980963038765576	0.231058480705136	0.31405871423394	0.255335180724607	0.199998500225072	0.15461658936209	0.165245721179016	0.0252335218621294	0.179483401253498	0	0.14112373087643	0.186547428802103	0.0204954054172176	0.0415311352519462	0.23322916125056	0.126239581796146	0.228571614160558	0.164569187725828	0.216160532120406	0.0814267871272361	0.16526894244655	0.188918406460303	0.0568625873487506	0	0	0.116908158240097	0.0543145554640161	0.0233221938581293	0.0695494553928768	0	0.12890498032327	0.0800691604505623	0.173273869457269	0.165836546851511	0.165944558760678	0.0513168613205533	0.041466588092514	0	0	0	0	0.0452103785358047	0.322139823471666	0.154074454800981	0.0342373097475546	0	0	0.0262637707489699	0.00415306056280472	0	0.0927046558213836	0.139791100481806	0.0871955447737742	0.381580230684846	0.177471555449237	0.136323068835396	0.0119121366984288	0.101866641435754	0.145838841909443	0.102015801098746	0	0	0.154275545627491	0.236673154032994	0.213578464066143	0.091296809872943	0.272651084453853	0.0257835215892858	0.0270818857852826	0.0375674401132173	0	0	0	0	0	0.00685060924860389	0	0.0308486356271065	0.0937122017949212	0.291298717105811	0.0990196716566678	0.0947293370078307	0.0463832259596729	0	0.0552903907525258	0	0.241656995488953	0.292633717768137	0	0.00735279299489006	0.174600724477726	0	0	0	0.0143423066817584	0.0364982965102068	0	0	0	0	0	0.116189298206365	0.129196057728772	0.174133769280679	0.00342762519310336	0.0377495786938154	0.000200024158552495	0.00232381989339321	0	0	0	0	0	0.0292130413782987	0	0.234073415282767	-6.90262983598526e-20	0.0652109418998901	0.253669756414908	0.0734099457052323	-8.42432480838697e-19	0	0	0.00334660235062744	0.0718314319104571	0.0419465327896302	0.0678724689342664	0.0833449740531812	0	0	0.134079492094079	0	0	0.189701910569291	0.0529284345159768	0	0.0214490409265021	0	0.167609006009053	0.112227193023745	0.0475323245909589	0	0	0	0.106604906097919	0	0	0.000149766495784991
Erythrocytes_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380693059315436	0	0	0	0	0	0	0.251742302721931	0	0.39260442501977	0.368283951927597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628180677143905	0.687768917140123	0.633299854016594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230040112489556	0	0.336663151307979	0	0	0.154539281307522	0.0558868884103482	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297782178154343	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112176965527991	0	0	0.0212138370028783	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283214848409936	0	0.0772324822913447	0.153819089606257	0	0	0	0	0	0	0	0.515061839381383	0	0	0.111261600102593	0.112615263194668	0	0	0	0.0438235894033448	0.0884691531709689	0	0	0.0366961282798321	0	0	0.0782832446123681	0.0521973089274182	0.544710850570371	0.0346673450429848	0.0647350736869966	0	0	0	0.550283607172191	0.121914329446876	0	0	0	0	0	0	0	0
