X8x11x13	X8x11x14	X8x11x15	X8x11x16	X8x11x17	X8x11x18	X8x11x19	X8x11x22	X8x12x11	X8x12x12	X8x12x13	X8x12x14	X8x12x15	X8x12x16	X8x12x17	X8x12x18	X8x12x19	X8x12x20	X8x12x22	X8x12x23	X8x12x24	X8x13x10	X8x13x11	X8x13x12	X8x13x13	X8x13x14	X8x13x15	X8x13x16	X8x13x17	X8x13x18	X8x13x19	X8x13x20	X8x13x21	X8x13x22	X8x13x23	X8x13x24	X8x13x25	X8x14x10	X8x14x11	X8x14x12	X8x14x13	X8x14x14	X8x14x15	X8x14x16	X8x14x17	X8x14x18	X8x14x19	X8x14x20	X8x14x21	X8x14x22	X8x14x23	X8x14x24	X8x14x25	X8x14x26	X8x15x10	X8x15x11	X8x15x12	X8x15x13	X8x15x14	X8x15x15	X8x15x16	X8x15x17	X8x15x18	X8x15x19	X8x15x20	X8x15x21	X8x15x23	X8x15x24	X8x15x25	X8x15x26	X8x15x9	X8x16x10	X8x16x11	X8x16x12	X8x16x13	X8x16x14	X8x16x15	X8x16x16	X8x16x17	X8x16x18	X8x16x19	X8x16x20	X8x16x21	X8x16x23	X8x16x24	X8x16x25	X8x16x9	X8x17x10	X8x17x11	X8x17x12	X8x17x13	X8x17x14	X8x17x15	X8x17x16	X8x17x17	X8x17x18	X8x17x19	X8x17x20	X8x17x21	X8x17x22	X8x17x24	X8x17x25	X8x18x10	X8x18x11	X8x18x12	X8x18x13	X8x18x14	X8x18x15	X8x18x16	X8x18x17	X8x18x18	X8x18x19	X8x18x20	X8x18x21	X8x18x22	X8x18x23	X8x18x24	X8x18x25	X8x18x26	X8x19x10	X8x19x11	X8x19x12	X8x19x13	X8x19x14	X8x19x15	X8x19x16	X8x19x17	X8x19x18	X8x19x19	X8x19x20	X8x19x22	X8x19x23	X8x19x24	X8x19x25	X8x19x26	X8x20x11	X8x20x12	X8x20x13	X8x20x14	X8x20x15	X8x20x16	X8x20x17	X8x20x21	X8x20x22	X8x20x23	X8x20x24	X8x20x25	X8x20x26	X8x21x13	X8x21x14	X8x21x15	X8x21x21	X8x21x22	X8x21x23	X8x21x24	X8x21x25	X8x21x26	X8x21x27	X8x22x20	X8x22x21	X8x22x22	X8x22x23	X8x22x24	X8x22x25	X8x22x26	X8x22x27	X8x23x18	X8x23x19	X8x23x20	X8x23x21	X8x23x22	X8x23x23	X8x23x24	X8x23x25	X8x23x26	X8x23x27	X8x24x18	X8x24x19	X8x24x20	X8x24x21	X8x24x24	X8x24x25	X8x24x26	X8x25x20	X8x25x24	X8x25x25
Erythrocytes_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273539664085743	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07902164794842	0.05106114504167	0.035565506847955	0	0	0	0	0	0	0.229512369735538	0.134424818429409	0.167283249934436	0.17957500511562	0	0.0182024342822086	0	0	0	0	0.0316194612387035	0	0	0	0	0	0	0	0.0990743253481582	0.205694470663491	0.265398704287374	0.119014955063392	0	0	0	0.0277351055531942	0.0904811709618985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0334074795201419	0.0477304757234008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0522836388501454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0152652437825253	0	0	0.0818938091884608	0	0	0	0.06256597374891	0	0	0	0	0	0	0	0.131094866336474	0	0	0.346630090670337	0	0.0297601211218636	0	0	0.022056641663658	0	0.142373480897454	0	0	0.0863408060117639	0.0294741189860501	0	0.0475184700061116	0	0	0	0.0341180806582522
Epicardium_derived_cells	0.158245513217015	0	0.0352790608621941	0	0	0.143506492368224	0.26908712209328	0	0	0	0	0.0247563746462255	0	0	0	0	0.077857028626158	0.153747224971451	0	0	0	0.239091269860595	0.0862455574380868	0	0	0	0	0.00833515222838952	0	0	0	0	0.401206558797373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036826043005039	0	0	0	0	0	0	0.117362638292331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117732344300025	0	0	0	0	0	0	0	0	0	0	0	0.122765641101754	0	0	0	1.21036969345191e-19	0.0402274732316353	0	0	0	0	0	0	0	0	0	0	0	0.25398523962346	0.0415099621036211	0	0.122619585657574	0.0114473801776263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115128070090091	0.0973541775541088	0	0	0	0	0	0	0	0.173875714689301	0.143009789111862	0	0	0	0	0	0.154531821913959	0	0.0819989513353182	0	0	0	0.021564845497981	0	0	0	0	0	0	0.128411575276659	0.132540021765317	0.215011733949502	0	0	0.139323382709979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0702624698687706	0	0	0	0	0	0	0.131958026258386	0	0	0	0	0
Fibroblast_like_1	0	0	0	0	0	0	0.0290068850932469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0436371299164492	0	0.169607188056933	0	0.064672698523002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0939454522587894	0.499412400798116	0.65381093557173	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261263690517523	0.290610014257086	0	0	0	0	0	0.0207368935153435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23690436551428e-18	0	0	0	0	0	0.00480940690110665	0	0	0	0	0.0302721093397534	0	0	0	0	0	0	0	0	0	0	0.282765192034689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0.0347096316977407	0	0	0	0	0.00374552303450707	0	0	0	0	0	0	0	0	0	0.00134350834847039	0	0.0677821543850932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0620861990505104	0.0747324935700061	0	0	0	0	0.0339599239614504	0.0341619327861021	0.076164269686481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170815699787634	0	0	0.0807000773520768	0	0	0	0	0.0520584519056564	0.0226831195812021	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033532391109573	0	0	0	0	0	0	0	0	0	0	0	0	0.0270547188934804	0.107028563300557	0.1435675658355	0.0487033060175559	0.886021498929348	0.714284280340899	0	0	0	0	0	0	0	0	0	0.102388965898273	0.101333309982863	0.665671944805365	0.700210426187913	1	0.520541087985925	0.699591236691281	0.727985938990293	0	0.0188579332463693	0	0	0	0	0	0	0	0	0.224876712444163	0.967652813601898	0.580835945415098	0.998070469120756	0.54250316589585	0.847095261488679	0	0	0	0	0	0	0.0684206096518128	0.977834738890298	0.669506935849938	0.62184276308214	0.694196089700659	0.903846405654982	0.797381579912615	0	0	0	0.735344415362591	0.949489769077776	0	0.890250809655326	0.930582741325102	0.884067439515892	0.502726633884186	0	0.0327874288394255	0.119666534659897	0.608919392240012	0.5245078115384	0.71764659071253	0.843772027192077	0.403510910033966	0.0888990709341131	0	0.0857399582242159	0	0	0.229851453611267	0.410414842975596	0.410874113004438	0.740476231803351	0.19512815375828	0.0398793892072632	0.0186756489518386	0.088601381355811	0.0667116917028855	0.407933177324331	0.699019795436625	0.620761603159599	0.0688538696495013	0.115574515005723	0.417444252375959
Fibroblast_like_2	0	0.23871976024426	0	0.170083907696241	0.211602804411728	0	0	0	0.292545137714577	0	0	0	0	0.0659867609679458	0	0	0.121424905628744	0.189143367938163	0	0	0	0	0.000917238227601114	0	0.0346272331857697	0	0	0	0.0222781838559921	0	0	0.129317432737624	0	0	0	0	0	0	0.0340245059636428	0	0	0.046388052770607	0	0	0	0	0.0102800079762696	0	0.0314805865690274	0	0	0	0	0	0	0	0	0.0915073171131321	0	0	0	0	0	0	0.0410604972830072	0	0	0	0	0.089690857106235	0.15980622710554	0	0.146407535828017	0.129478723591665	0.143187119807663	0.143277040984731	0	0.125707842284954	0.159213531650813	0	0	0.146364303991142	0	0	0	0	0	0.0899173801292021	0.00028001398474353	0	0	0	0	0.0805979471965381	0.000678092636299805	0.0520180252505845	0.0800023286590378	0	0	0	0.0199592715846512	0	0.0555710856514096	0	0	0	0	0	0	0.0128166115201784	0.0464613708263123	0.17507883782164	0.0633324738257064	0	0	0	0	0	0	0	0.113854288637862	0.000277359288916204	0.0176351818809657	0	0	0	0.0631025407538021	0.0538855308692198	0	0.179525190646034	0	0	0	0	0	0.0568036602233759	0.122603452975109	0.0661883643198084	0.122429134991171	0.143623970920755	0	0.0800614771362656	0	0	0	0	0	0	0.178999330003835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071209277703957	0	0	0	0	0	0	0	0	0	0.0659491816815521	0	0	0	0	0	0	0.163929608392413	0.102740091183279	0.215538472243051	0	0	0.376346600574661
Endothelium_pericytes_adventitia	0.16137050270916	0.0579488724890633	0.167833738893844	0.15086003721225	0.0760390005304487	0.194511679898371	0	0	0	0.0632051374622422	0.036124301571414	0.00277855443724614	0	0	0.0170956418778794	0	0.0198578690288607	0.0350336291030466	0	0	0	0.0445269818883979	0.0548421364506169	0	0.00346590991403901	0	0	0.0106707199038137	0	0	0.0192674918189833	0.125754655912008	0.0434972682138525	0	0	0	0	0	0.0497754351592619	0.00240345946881829	0.0548942186344799	0.00405969067129896	0	0	0	0	0	0	0.0868858666316428	0	0	0	0	0	0.223151709721228	0	0.0457824392464658	0.0164397899308606	0	0	0	0	0	0	0.0211845818801852	0.0845252229275635	0	0	0	0.0436423619604112	0.0651768245974222	0.163724977096187	0.125425373340269	0.0383160301484856	0	0.112736687962313	0.0651970578942174	0	0	0	0	0.0444496398123395	0	0	0	0	0.137071748582453	0.161516629027059	0.0467711844031173	0	0	0	0	0	0	0.0284986458009092	0.127383754684175	0	0.0784592147060866	0.169140311386525	0.0525092673823799	0.107315374765502	0.103806411873609	0.0691923335109376	0.0662050772315618	0	0	0	0.0387702584288409	0	0.0638992762918374	0.0835130471402162	0.041099758812472	0	0.252885960685407	0	0.00502810847785596	0	0.0366136451525974	0.227165776429888	0.0532848822894533	0	0.0277897432354383	0	2.01468885982102e-20	4.29871564694027e-19	0.0824101616116762	0.214561186174094	0.217688227184051	0.142496765883021	0	0.153000214825297	0	0	0.0253523958917815	0.185795828158603	0.118034947615846	0.112503571026771	0.0166692012313634	0.0485982513766211	0.0906095935028061	0.0693982393764008	0.0221652611097024	0.165412871253271	0.111735054303077	0.0523764343886397	0.0658814850052647	0.0476257702342154	0.154324851602288	0.0595026407536682	0.135705445962455	0.100779868489449	0	0.0563786553269872	0	0.0232746641927133	0.0449346183848712	0	0	0	0	0.0371604760387541	0.105581714109374	0.0849929349970784	0	0	0	0	0	0	0	0	0	0.104820327633287	0	0	0	0	0	0	0	0.0126761408812487	0.0384209838718618	0	0	0.0754115595096042
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0214031798732261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0140852613065757	0.0150080574304091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0209473356814428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061602188806442	0.0305251059994842	0.0353099146079885	0.095061325298124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141593364436562	0.0759124516955374	0	0.22687589201714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164852453547879	0	0	0.0865276819718928	0	0	0	0	0	0	0	0	0	0.029739513148133	0.150498723377914	0	0.0275551511313181	0	0	0	0	0	0	0	0.0461425944821844	0	0.00113971830423154	0	0	0	0	0	0.101380743248688	0	0	0	0	0	0	0	0	0	0.088103733231641	0.121314174182464	0	0	0	0.0431309552350729	0	0	0	0.0247078137255123	0	0	0
Capillary_endothelium	0	0	0	0	0	0	0.0459202814629624	0.0765915108181551	0	0.116696653999636	0.222960166884186	0.156557540528464	0.224786715987278	0.0986091382134738	0.197060015520068	0.11540377047703	0	0	0.12211873708309	0.0809272771580662	0.0287840670057403	0	0.069317864664105	0.159305868523446	0.123313292566458	0.339422698316158	0.123113585279152	0.0633801228517253	0.0891668603101178	0.215626123832022	0.0340642004124129	0	0	0.23377723893675	0.15710302375355	0.0184464538943588	0	0	0.14844638520272	0.336961494896804	0.105457308518147	0.114162686087558	0	0	0	0	0	0.302836752796038	0	0	0.254847867495615	0.187727229396052	0.165758170087269	0.050002071634434	0	0.195713980563072	0.107961011425903	0.0956460840595152	0.118817634783945	0.180422935229235	0	0	0	0	0	0.0484770038687448	0.122919287090505	0.247089045751487	0.1249828281159	0	0	0.0771974243809199	0.0337543175705057	0.0675691587704055	0.0717759596779823	0.0828572457519652	0	0.106031185208499	0.0484116821663425	0.0931877017242226	0.0670964502554947	0	0	0.150090750811315	0.163655352762114	0.0169110616216657	0	0.0655435912545177	0.205015805303522	0.156973142414898	0.246287991291923	0.180268449388145	0.223141223082295	0.143787355971656	0.110240638951583	0	0	0	0	0.0443800050921542	0	0	0.0489162471287728	0.121910002293138	0.214785490916883	0.302320710285395	0.156748738611304	0.123168217308501	0.105895944083284	0	0	0	0	0	0	0	0.269455830253135	0	0.0700834053813821	0	0.0965136140864713	0.193219255231448	0.254099964544019	0.128492089152589	0.053789531961235	0.0902910084598491	0	0	0.0300904359302071	0	0	0.0121214184174513	0	0	0	0	0.00891123933407695	0	0.0259246417333006	0	0	0	0	0.0972616253273472	0.0863118980092625	0	0	0	0	0	0.00416355069487615	0	0	0.238299067559734	0	0	0	0.0167597801400103	0.0266309953267291	0	0.0159363385784257	0.0149898687452965	0	0	0.0477474664461688	0	0.0221205310991834	0.205797350141281	0	0.0602138340093112	0.19383043505417	0	0	0.0621256403175472	0.0351881053555717	0	0.067290772319978	0.219559364208871	0	0	0.0436158366389534	0.0748232354987514	0.0802122398767041	0	0	0
Erythrocytes_1	0	0	0	0	0	0	0	0.0222646989366038	0	0	0	0	0	0	0	0	0	0	0	0.0623267867289358	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165145399921302	0.13229492152363	0.0678262535217638	0.0241425494453778	0	0	0	0	0	0.67492551749657	0.800888142785005	0.721242565771095	0.725363669586256	0	0	0	0	0	0	0.039552703612878	0	0	0	0	0	0	0	0.588516610427645	0.718393077640971	0.734601295712626	0.573409075567391	0	0	0	0.0757778743768036	0.094487042424254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11315435435441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252678287585318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405213195254004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46539422362956	0.0240501801752785	0.0594818499156211	0.567629951105447	0	0.081851018447589	0	0	0	0	0.662498365344266	0	0.0347056630441423	0.781926857397352	0.17146587736009	0	0	0	0.0239309731103064	0	0
