X9x16x10	X9x16x11	X9x16x12	X9x16x13	X9x16x16	X9x16x17	X9x16x18	X9x16x6	X9x16x7	X9x16x8	X9x16x9	X9x17x10	X9x17x11	X9x17x12	X9x17x13	X9x17x14	X9x17x16	X9x17x17	X9x17x18	X9x17x19	X9x17x20	X9x17x3	X9x17x4	X9x17x5	X9x17x6	X9x17x7	X9x17x8	X9x17x9	X9x18x10	X9x18x11	X9x18x12	X9x18x13	X9x18x14	X9x18x16	X9x18x17	X9x18x18	X9x18x19	X9x18x2	X9x18x20	X9x18x3	X9x18x4	X9x18x5	X9x18x6	X9x18x7	X9x18x8	X9x18x9	X9x19x10	X9x19x11	X9x19x12	X9x19x13	X9x19x14	X9x19x15	X9x19x16	X9x19x17	X9x19x18	X9x19x19	X9x19x2	X9x19x20	X9x19x3	X9x19x4	X9x19x5	X9x19x6	X9x19x7	X9x19x8	X9x19x9	X9x20x10	X9x20x11	X9x20x12	X9x20x13	X9x20x14	X9x20x15	X9x20x16	X9x20x17	X9x20x18	X9x20x19	X9x20x2	X9x20x20	X9x20x21	X9x20x3	X9x20x4	X9x20x5	X9x20x6	X9x20x7	X9x20x8	X9x20x9	X9x21x10	X9x21x11	X9x21x12	X9x21x13	X9x21x14	X9x21x15	X9x21x16	X9x21x17	X9x21x18	X9x21x19	X9x21x2	X9x21x20	X9x21x21	X9x21x3	X9x21x4	X9x21x5	X9x21x6	X9x21x7	X9x21x8	X9x21x9	X9x22x10	X9x22x11	X9x22x12	X9x22x13	X9x22x14	X9x22x15	X9x22x16	X9x22x17	X9x22x18	X9x22x19	X9x22x2	X9x22x3	X9x22x4	X9x22x5	X9x22x6	X9x22x7	X9x22x8	X9x22x9	X9x23x10	X9x23x11	X9x23x12	X9x23x13	X9x23x14	X9x23x15	X9x23x16	X9x23x17	X9x23x18	X9x23x19	X9x23x2	X9x23x20	X9x23x3	X9x23x5	X9x23x6	X9x23x7	X9x23x8	X9x23x9	X9x24x10	X9x24x11	X9x24x12	X9x24x13	X9x24x14	X9x24x15	X9x24x16	X9x24x17	X9x24x18	X9x24x19	X9x24x2	X9x24x20	X9x24x3	X9x24x4	X9x24x5	X9x24x6	X9x24x7	X9x24x8	X9x24x9	X9x25x10	X9x25x11	X9x25x12	X9x25x13	X9x25x17	X9x25x18	X9x25x3	X9x25x4	X9x25x5	X9x25x6	X9x25x7	X9x25x8	X9x25x9	X9x26x10	X9x26x11	X9x26x17	X9x26x18	X9x26x19	X9x26x20	X9x26x21	X9x26x6	X9x26x7	X9x26x8	X9x26x9	X9x27x12	X9x27x13	X9x27x14	X9x27x17	X9x27x18	X9x27x19	X9x27x20	X9x27x21	X9x28x10	X9x28x11	X9x28x12	X9x28x13	X9x28x15	X9x28x18	X9x28x19	X9x28x20	X9x28x21	X9x29x11	X9x29x12	X9x29x13	X9x29x14	X9x29x15	X9x29x18	X9x29x19	X9x29x20	X9x29x21	X9x30x12	X9x30x13	X9x30x14	X9x30x17	X9x30x18	X9x30x19	X9x30x20	X9x30x21	X9x31x19
Erythrocytes_2	0	0	0	0	0.0716889904238036	0.0739429124647941	0	0	0	0	0	0	0	0	0	0	0.160749289233951	0	0	0.0205306747201407	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147597778689355	0.0376219338937226	0.107278800415461	0	0	0	0	0	0	0	0	0	0	0.158113294543552	0	0	0	0	0	0.016794397459533	0.108915967262974	0	0.0427022685302549	0	0	0	0	0	0	0	0	0	0.0640093531910662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0435929899192417	0.0965933075120601	0	0.0209414262145333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044144592962118	0	0	0.139692437463701	0.144087916157796	0	0	0	0	0	0	0	0.031685394580663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0755041394941595	0.126169425511759	0	0	0	0	0	0	0	0	0	0	0	0.114548338016103	0.085569794349396	0.076110699523447	0.0646469741452805	0	0	0	0	0	0.126907377581596	0	0.106934518065095	0.112349998943876	0.0615843558839971	0	0	0	0.0664459364889566	0.212503623839087	0.0430710738239793	0	0	0	0	0	0	0	0
Epicardium_derived_cells	0.221238224942517	0.166646524840782	0.628465946253761	0.177322353147978	0	0	0	0.186585462457773	0.187954217238246	0.100168313514456	0	0	0	0	0	0.133369602592987	0	0	0	0	0	0.265406248389247	0	0	0	0	0	0	0	0	0	0	0.0574522061279359	0	0	0	0	0.0589166666495694	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625077261101273	0	0	0	0	0	0.00775512112790117	0	0	0	0	0.0222726705429647	0	0	0.106772286516684	0.000195435416111274	0	0	0.0397308082363384	0.255125578055534	0	0	0	0	0	0	0	0.111303834793766	0	0	0	0	0	0	0.045839483948718	0	0.0574035558060903	0	0.100690437560691	0.277030968724882	0.00230127677909904	0	0	0	0.0631630178822949	0	0.166507222953961	0.0592383758182209	0	0	0	0	0	0	0.0441450546149936	0.0301523668846082	0	0.0426596574526127	0.0995438292953296	0	0.158775730964338	0	0	0	0	0	0	0	0	0	0	0	0	2.09561846089235e-19	0.0286042030072346	0	0.130522575864314	0	0	0	0	0	0	0	0.0529845167875219	0	0	0	0.0418600613185771	0	0.0195235228480325	0	0	0.139594702075749	0	0	0	0	0	0	0	0	0	0	0.0484441483693888	0	0	0	0	0	0.0669158242508046	0.0106141652432731	0.381068407605897	0	0	0.00353930733624196	0.104599414468958	0	0.0412214304842149	0.0305301116877273	0	0	0.0702814283168359	0.285686081602059	0	0	0	0	0.227241917241134	0.033387342765544	0.0388388058447175	0.0442222410629593	0	0	0	0.00566449714993042	0	0	0	0	0.240183807426692	0	0	0	0	0	0	0.147127222682025	0	0	0	0	0	0	0.119119196106306	0	0	0	0	0	0	0.0979615287822329	0	0.0655981232483964	0	0	0	0
Fibroblast_like_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0845866087863586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0719559200453413	0	0	0	0	0	0	0	0	0	0	0.0676449644398744	0	0	0	0	0	0	0	0	0.000355644850055106	0	0	0	0	0.218441573878469	0	0	0	0	0	0	0	0	0	0.0528621069324818	0	0	0	0	0.263427311489333	0	0	0	0.0530165262707241	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102286832581531	0	0	0	0	0	0.836882401596053	0.273961240200417	0	0.0704794979712045	0	0	0	0	0	0	0	0.0712495676108525	0	0	0	0	0.254602976720013	0.454776381696063	0.673894966539316	0.84998713037743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0437037432814816	0.381492376367037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00877197984092969	0	0.00145632083649662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0395546921253683	0	0	0	0	0.262839141588668	0	0	0	0	0	0	0	0	0	0	0.137246716365755	0	0	0	0	0	0	0.108615486368937	0	0	0	0	0	0	0	0.0579142372513648	0	0	0	0
Smooth_muscle_cells	0.00217301913186514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0216783181608659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0619120671936478	0	0.145308287599077	0	0	0	0.119744861498511	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0596700480672315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0936890769737318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127598078026161	0.409976228033033	0.807252899770721	0.622885625719963	0.750341033057615	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152737754875994	0	0.231527636688551	0.192979503467651	0.602121711446527	0	0.808720534353509	0	0	0	0	0	0	0	0	0	0	0.00818492577004481	0.349990910603049	0.63272130557424	0.625735974515444	0.674545107851109	0.639921241317785	0	0.793914323541788	0	0	0	0	0	0	0	0	0	0	0	0.753246756806929	0.607451296217874	0	0	0	0	0	0	0	0	0	0.717147186201729	0.822695541300681	0.668556025704095	0.448324029073987	0.0885757329396924	0	0	0	0	0	0	0.116919999499414	0.615271047646655	0.46957056450395	0.586415037181953	0.257311607705531	0.0687049750620046	0	0	0	0	0	0.427654384026915	0.469911410446401	0.425157840143156	0.171411113105418	0	0	-3.15140401003156e-19	0	0	0.550805393572578	0.476212302910509	0.643215163525063	0.160368038683151	0	0	0	0.191126065539847	0.591788149175891	0.346816663150139	0.278355962929083	0	0.458141567713078
Fibroblast_like_2	0.158238377152394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169052944872139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264049651389308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211536241667668	0	0	0.559525568439509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168789033890523	0	0.108984196184372	0	0	0	0	0	0	0.197650852370233	0.269571418582788	0	0	0	0	0	0.462870499067205	0.0664388087107433	0.0490266500881044	0.0901203526425408	0	0.124197314005505
Endothelium_pericytes_adventitia	0	0.14542035018106	0	0.0985860567452995	0	0.0648596530714105	0	0.0844713275630644	0.0962382431316364	0.121950132799611	0.135087157520759	0.0685340573905585	0	0.0733995155753063	0.0842713486265173	0	0	0	0	0.0211508065719927	0	0.124709666591336	0.059370306175264	0.0670591398101591	0	0	0	0	0	0.0264406249412918	0	0	0.0479353355815028	0.0491770213472777	0.0303902245583524	0	0.014271569945826	0.0127591090360408	0	0	0	0	0	0	0	0	0	0	0	0	0.0790277125352832	0	0	0	0	0	0.0314208205241087	0	0	0	0	0.00645746300833213	0	0	0	0.0725966094369723	0.155904950360502	0	0	0.0974203750405779	0.0623079846583753	0	0	0	0	0.0627002130678052	0	0	0	0	0	0	0	0.055342297084984	0	0.0367277941331337	0	0	0.0540435232193034	0.0199992713557798	0.342176624349468	0.100250637669639	0.0613604066963742	0.0566749222539989	0.134139707194212	0	0	0.0380826297383564	0	0	0.0998268430506713	0.093855961413955	0.0406660597007173	0.00729130024526231	0	0	0	0.05147348610512	0.256953033376996	0	0	0.112113697944909	0.0319634580784329	0.137351424897719	0.0756280622920717	0	0	0	0.0808366119275354	0	0	0	0	0	0	0	0	0	0.170496170167464	0	0.10065231733742	0.0643868946602454	0.0982435489832638	0.0965064770163222	0	0.00825352835479898	0	0	0	0.0126327685316721	0.0128066347607906	0	0	0.0998847149452549	0	0	0	0.105142262327542	0.208515036481011	0.0288707731387033	0.0217843896430932	0.165842898729111	0.0514257917744339	0.148046936519943	0	0	0	0.0311538811394011	-6.77372215320368e-19	0	0	0	0.0144011174522887	0	0.190183842913952	0.110860632969847	0.0886211774687027	0.101608086655084	0.0370326590876977	0	0	0.025984418329178	0	0.116901555471356	0.0472998747545531	0.0564775058526406	0.0336521810457886	0.0933261358562634	0	0	0.139146960203891	0.0961739153669355	0.0249863567180703	0.0351368781587045	0	0.0256335620115168	0.0826667924131766	0.185407392393509	0.0955264162186815	0.0490946805166794	0.18261512620363	0.0774512603789582	0	0.114983357601724	0	0	0	0.0864122731171507	0.199271485814243	0.182420329684413	0	0	0	0.201296356212413	0	0	0	0.0898157127187332	0	0	0	0	0.160527096959344	0	0.0291705781888015	0.0688514454296206	0.0154222917912545	0	0
Myoz2_enriched_cardiomyocytes	0.594194031631179	0	0.277865919990216	0	0	0	0.0208010687394025	0	0	0	0	0	0	0.0172342585568721	0	0.141285573706725	0	0.0316721114695332	0	0	0	0	0	0	0	0.0213416196872294	0	0	0	0	0	0.039682811321162	0	0	0	0.0527890877636879	0	0	0.0213377127008942	0	0	0	0	0	0	0	0	0	0	0.0205774805644344	0	0.114720767802039	0.0171650555604463	0.0456613740647691	0	0	0	0.198955565519935	0	0	0	0	0	0	0	0	0	0.0117202416085235	0	0	0	0	0.027707700233242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130516344093763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144179234619633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0417360070976262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114733179603158	0	0	0.278588940993531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175755368452599	0	0	0	0	0	0	0	0	0	0.0387837068172249	0	0	0	0	0.0703361672664377	0	0.0204584412404383	0.0195005721514713	0	0	0	0	0.0535695958025139	0	0
Cardiac_neural_crest_cells	0	0	0.0156700160237933	0	0	0	0	0	0	0	0	0	0	0	0	0.0247520773380935	0.0295578586186673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113297310036252	0	0	0	0	0	0	0	0	0	0	0.045895768018813	0	0	0.00666268475869193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00965562927878857	0.0179211621665891	0.0248263184717103	0.0232325013793456	0	0	0	0.0750198350739446	0	0	0	0.0889562270527406	0	0	0	0	0	0	0	0	0.168456616004003	0	0	0	0	0.0675024751995179	0	0.0344831491850281	0.00617855598169813	0	0.037173016082736	0	0	0	0	0	0	0	0	0	0	0.0181422207424198	0	0	0	0	0	0	0	0	0	0	0.0213215321662437	0	0.0379534725313625	0	0	0.0187672046546342	0	0	0	0	0	0	0.0369876235319459	0	0	0.0466664617417354	0	0	0	-3.21549961477049e-19	0.00733312875589024	0	0.0413457563341749	0	0	0	0.0473407729211335	0	0.0433312103895166	0.226440882903173	0.00603504768302777	0	0.0182791039559916	0	-5.28225840787486e-19	0.0379120551164658	0	0.0212808405394622	0	0	0	0.0221046513809941	0.0214454335910789	0.159413471458072	0.242544223961495	6.01077904480027e-06	0	0	0	0	0	0	0	0.0149158808437471	0	0	0.35511043357868	0	0	0	0.186000325754037	0	0	0.000153398428988123	0	0.0668794362125257	0	0	0	0	0	0	0	0.164400565787971	0	0	0	0	0	0	0.0584348533624766	0.277493414257769	0.148891428923767	0.142975201295482	0.137672859992404
Capillary_endothelium	0	0.04285455504045	0.0327894890773178	0.020547635406721	0.0981076471907213	0.122081658060257	0	0	0	0.0389031923417633	0	0.174737325908291	0	0	0	0	0	0.203328385583722	0.0824769119102749	0.0162542952358771	0.0579514605085299	0	0	0.0998615511918813	0.00494058723332909	0.0763823995091646	0.220608971113024	0	0	0	0.114237092332116	0	0	0.133831479685565	0.0932908593655411	0.0999718804748515	0.0177738051972319	0	0	0.17461657123281	0.0820146676129923	0.103023650706584	0	0.0233611992564006	0.0500475088189402	0	0.0941497210799407	0.0537624431392699	0	0	0	0	0.133574897059144	0.025995146172871	0.0791345085525597	0.259067699276111	0	0	0	0.157839049591407	0.02661575669972	0.0385921497114953	0.0559267987583257	0.040112518332758	0.176382707293533	0	0.125373653862241	0	0.0644589408413611	0	0.050242432436352	0	0.0681713683665588	0.0777232374197119	0.0508602421301475	0.0646577842264361	0	0.125352598295679	0.0047015792358041	0	0.260075931109961	0.0136000315043836	0.0422506769146738	0.0499943616773601	0	0	0	0.0928673030114816	0.0703562968845651	0	0.103570459587431	0.0652037959956338	0	0.0972832990816677	0.117809309770152	0.0310651211856654	0	0	0.0153183366436581	0.135537857181388	0	0	0.0272630067678624	0	0	0.0519915724117854	0	0	0	0	0	0	0	0	0	0.0693838978942147	0.0963174228979022	0.146203822076915	0.0527817776815117	0.0939949419281766	0.0951779877275025	0.0186959347913058	0.0335160038759833	0.0212735799547719	0	0	0.0155305777550162	0.148029380221398	0	0.15001286962257	0.012775675411377	0.0267504183631298	0	0	0	0.0551600230995906	0.204226942544784	0.0452732533883965	0.0375436785675675	0.0320552310752329	0.0160149678983965	0.0247854341513745	0	0	0.0311641757534116	0.0214687331436666	0	0	0	0	0	0	0	0	0.0530222875320321	0.0110784228703808	0.177682817225148	0.0973869358082315	0.049320753410197	0.0440111986294372	0.0132941700051651	0	0.039423116142946	0	0	0	0.0426739219650943	0	0.0738386930623116	0	0.00167704701585635	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106116968652207	0.0805504919076958	0	0	0	0	0	0	0.054289662676129	0	0.0817727186926765	0	0.0706754489037079	0	0	0	0.00958440627245517	0	0.0735484804757151	0.137524538199244	0	0	0	0	0	0	0.0409744098691319	0	0	0	0	0	0	0.00426634097419841	0
Erythrocytes_1	0	0	0	0	0.319445614919002	0.103471177058001	0	0	0	0	0	0	0	0	0	0	0.463161313713998	0.0903328919740359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.349442381722614	0.0962084004554244	0.166902020025662	0	0	0	0	0	0	0	0	0	0	0.323071712530786	0	0	0	0	0	0.118913597702795	0.228679202744723	0	0.16850838306629	0	0	0	0	0	0	0.0187122549994673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0604060996626068	0.109933558172336	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304191290299488	0	0	0	0	0	0	0	0	0	0	0.0380586773103683	0	0	0	0	0	0	0	0.180791062158481	0	0	0.471527274192179	0.571795267351178	0	0	0	0	0	0	0.0280973611144781	0.0559216527609959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287032095455542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161475543952797	0.425327413347446	0	0	0	0	0	0	0	0	0	0	0	0.441615753594393	0.117332786225142	0.145693159135149	0.0662476792669065	0	0	0	0	0	0.529155283833006	0	0.470206835343273	0.1035871840834	0	0	0	0	0.0598789398556831	0.587617386636101	0.0515383121223457	0	0	0	0	0	0	0	0
