X14x11x10	X14x11x11	X14x11x12	X14x11x7	X14x11x8	X14x11x9	X14x12x10	X14x12x11	X14x12x12	X14x12x13	X14x12x5	X14x12x6	X14x12x7	X14x12x8	X14x12x9	X14x13x10	X14x13x11	X14x13x12	X14x13x13	X14x13x14	X14x13x4	X14x13x5	X14x13x6	X14x13x7	X14x13x8	X14x13x9	X14x14x10	X14x14x11	X14x14x12	X14x14x13	X14x14x14	X14x14x15	X14x14x3	X14x14x4	X14x14x5	X14x14x6	X14x14x7	X14x14x8	X14x14x9	X14x15x10	X14x15x11	X14x15x12	X14x15x13	X14x15x14	X14x15x15	X14x15x16	X14x15x2	X14x15x3	X14x15x4	X14x15x5	X14x15x6	X14x15x7	X14x15x8	X14x15x9	X14x16x10	X14x16x11	X14x16x12	X14x16x13	X14x16x14	X14x16x15	X14x16x16	X14x16x17	X14x16x21	X14x16x22	X14x16x3	X14x16x4	X14x16x5	X14x16x6	X14x16x7	X14x16x9	X14x17x10	X14x17x11	X14x17x12	X14x17x13	X14x17x14	X14x17x15	X14x17x16	X14x17x17	X14x17x21	X14x17x22	X14x17x3	X14x17x4	X14x17x5	X14x17x6	X14x17x7	X14x17x8	X14x17x9	X14x18x10	X14x18x11	X14x18x12	X14x18x13	X14x18x14	X14x18x15	X14x18x16	X14x18x17	X14x18x20	X14x18x21	X14x18x22	X14x18x3	X14x18x4	X14x18x5	X14x18x6	X14x18x7	X14x18x8	X14x18x9	X14x19x10	X14x19x11	X14x19x12	X14x19x13	X14x19x14	X14x19x15	X14x19x16	X14x19x17	X14x19x18	X14x19x21	X14x19x22	X14x19x23	X14x19x24	X14x19x3	X14x19x4	X14x19x5	X14x19x6	X14x19x7	X14x19x8	X14x19x9	X14x20x10	X14x20x11	X14x20x12	X14x20x13	X14x20x14	X14x20x15	X14x20x16	X14x20x17	X14x20x18	X14x20x19	X14x20x20	X14x20x21	X14x20x22	X14x20x23	X14x20x24	X14x20x4	X14x20x5	X14x20x6	X14x20x7	X14x20x8	X14x20x9	X14x21x10	X14x21x11	X14x21x12	X14x21x13	X14x21x14	X14x21x15	X14x21x16	X14x21x17	X14x21x18	X14x21x19	X14x21x20	X14x21x21	X14x21x4	X14x21x5	X14x21x6	X14x21x7	X14x21x8	X14x21x9	X14x22x10	X14x22x11	X14x22x12	X14x22x13	X14x22x14	X14x22x15	X14x22x16	X14x22x17	X14x22x18	X14x22x19	X14x22x20	X14x22x21	X14x22x22	X14x22x4	X14x22x5	X14x22x6	X14x22x7	X14x22x8	X14x22x9	X14x23x10	X14x23x11	X14x23x12	X14x23x13	X14x23x14	X14x23x15	X14x23x16	X14x23x17	X14x23x18	X14x23x19	X14x23x20	X14x23x21	X14x23x22	X14x23x5	X14x23x6	X14x23x7	X14x23x9	X14x24x10	X14x24x11	X14x24x12	X14x24x13	X14x24x14	X14x24x15	X14x24x16	X14x24x17	X14x24x18	X14x24x19	X14x24x20	X14x24x21	X14x24x6	X14x24x7	X14x24x9	X14x25x10	X14x25x11	X14x25x12	X14x25x13	X14x25x14	X14x25x15	X14x25x16	X14x25x17	X14x25x18	X14x25x19	X14x25x8	X14x25x9	X14x26x11	X14x26x12	X14x26x13	X14x26x14	X14x26x16	X14x26x17	X14x26x18	X14x26x19	X14x26x9	X14x27x12	X14x27x16	X14x27x17	X14x27x18
Erythrocytes_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194822734846754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0329597753571421	0	0	0	0	0	0	0	0	0.0280596480570136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304451489069649	0	0	0	0.0339553898245212	0	0	0.0208891484930059	0	0	0	0	0	0.023864245254367	0	0.0306164040782458	0	0	0	0	0	0.0259828256807873	0.0342739130744337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022327779291262	0	0	0	0	0	0	0.0618588331741588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0728329398538341	0	0	0	0	0	0	0	0	0.00960424500680628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11299648470929	0	0	0	0
Epicardium_derived_cells	0	0	0	0	0	0	0	0	0	0	0.329444508159947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0350218309769322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289084582086995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00920548033614163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0858833692325	0	0	0	0	0	0	0	0	0	0	0	0	0.0810742080164264	0	0	0.0666338033513254	0	0	0.040858923339686	0	0	0	0.213167540766509	0.225904131351185	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0791404647235843	0	0.0803496645946063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00780529734212024	0	0	0	0	0	0	0	0	0	0	0	0	0	0.392585286869423	0.0846977772993923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223961036896765	0.374731319442889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162187948596968	0	0	0.044509319420593	0.203292082645675	0.395099223406634	0.521765805379095	0	0	0	0	0	0	0	0.00959767704240489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast_like_1	0	0.138924458532974	0	0	0	0	0	0	0	0.12506456463724	0	0.0539524746534218	0	0	0	0	0.0247598623199803	0	0	0.0246567766878948	0.0868026631858306	0	0	0	0.0646264218673717	0	0.0817996065635201	0	0	0	0	0	0	0	0	0.0516652956997354	0.0549608920885456	0	0	0.000188346139784935	0	0	0	0	0.0663408583334316	0.0498676696977178	0.046788698441744	0.333254454601264	0.0500622041809451	0	0	0	0.0362479920497428	0	0.0473157165885163	0	0	0	0	0	0	0	0	0.0691369192060611	0	0	0	0	0	0	0	0	0	0.0577791000762836	0	0	0.173115185814653	0.017565910166104	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0673758914178187	0.040006661658564	0.05167685979058	0.333719163037876	0	0	0	0.0353850899729922	0	0	0	0	0	0	0.0534036697907795	0	0	0	0.08779678959979	0.00806806780159459	0.262383503030989	0.423155720058859	0	0.18143586178545	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234481296663923	0.172601093489795	0.7620869573203	0.748088359636227	0.496248116374626	0.181815340700231	0	0.10612574803951	0.0920486108925662	0.200346003055049	0	0	0.0372095329424547	0	0	0.182188576335714	0.0548563654483443	0	0	0	0.0497114846304293	0.124383653333275	0.393778114462124	0	0.0223563236339062	0.437761229482031	0.14804807388262	0.0413720270046661	0	0	0	0.126316075416972	0	0	0	0.0357771251105667	0.04631867666425	0	0.182574370503031	0	0	0.194902064322193	0.029639345581442	0.118773888294368	0.0581327168650904	0	0.00794464862043751	0	0	0.344826273938421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0694879387100994	0	0	0	0	0	0	0	0	0	0	0.0294966759886063	0	0	0	0	0	0	0	0	0.0800787791055188	0	0	0	0	0	0	0	0	0	0.092087855416925	0	0	0
Smooth_muscle_cells	0	0.137885108209306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286604975691195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146655429389307	0.56932744359251	0.667584847472729	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413957970423842	0.474376772192425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.490507640118551	0.57536228599089	0.872515945804435	0.584657052179213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346508395844436	0.305813543978685	0.483152422342855	0.681454618428287	0.803506914066641	0.71493516065872	0	0	0.0883315680236936	0	0	0	0	0	0	0	0	0	0.00191759662071173	0.0346692706278158	0.0118963749449036	0.582444932799134	0.780125490133095	0.551628207497702	0.503890768252335	0.683647922488943	0.814673481926577	0.81236911173358	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267372174932076	0.317638398133804	0.862686558926382	0.522787551661049	0.662969504011602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233507367042995	0.576478534554965	0.369275558914944	0.73923678898558	0.914674161767304	0.613806002425595	0	0	0	0	0	0	0	0	0	0	0	0	0	0.376179017170658	0.70478104838484	0.90431187548262	0.951738348679656	0.836099881700811	0.60611167489424	0	0	0	0	0	0	0	0	0	0	0.0224932582334488	0	0	0.671682502823026	0.476217403799558	0.483225327714325	0	0	0	0	0	0	0.0288775874386949	0	0.162076528288088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263373072870626	0	0	0	0
Fibroblast_like_2	0	0	0	0	0	0	0	0	0	0	0.0207078941684156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85113947136957e-18	0	0	0	0	0	0	0.136290278304986	0	0	0	0	0.240394928035681	0.359590681643513	0	0.000570663511231908	0	0	0	0	0	0	0	0	0.0791462382891979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25515308912756	0.156911826778323	0	0	0.0567851217418779	0	0.207048579945306	0	0	0	0	0	0	0	0	0	0	0	0.186376111221944	0	0.115036228372362	0.461494106807395	0	0	0	0	0.0440964932271564	0	0	0	0.167563235538815	0	0	0	0	0	0.186107153385294	0.143146025487021	0	0.108920632816344	0	0	0	0	0	0	0	0	0	0	0	0	0.197205451841596	0	0	0	0	0.0868871526399509	0.141872286969456	0.169230785047912	0	0	0	0	0	0	0	0	0	0.227291140056012	0.0916464946947401	0	0	0	0	0	0	0	0	0.232318183917913	0.0995642626666596	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0682181454583742	0	0	0.0593330151511434	0	0.300416675195257	0	0	0	0	0	0	0	0	0	0	0	0	0.0948589929845067	0.0244018794228313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.424808504539465	0	0	0.140425888534674	0	0	0	0	0	0	0	0	0	0	0.304712282029802	0	0	0	0	0	0	0	0	0.165074848004747	0.258347687455091	0	0	0	0	0	0	0	0	0
Endothelium_pericytes_adventitia	0.164100218528952	0.169005297891124	0.304764701133178	0.172431185792824	0.0643800531392929	0	0.133482097160432	0	0	0.169644739180218	0.222321152473586	0.190037693649256	0.04716339471787	0	0.099814502712615	0	0	0.10208447406998	0.00746582787257886	0.349737135393445	0.139496912770015	0.284684307851245	0.206248530319957	0.0578351886284856	0	0	0	0	0	0.185987866334622	0	0.0020008470590769	0	0	0.163987895879365	0	0.0354399227278162	0.0641080054355954	0	0	0	0	0	0.042868420856163	0	0	0	0	0.106688076650345	0	0	0.0791469576877542	0	0.0262716693657696	0	0	0	0	0	0	0	0.207652168570608	0.198673016974302	0.26327823332121	0	0	0.332395221629944	0.261662853691172	0	0	0.172543411612889	0	0	0	0.0806600167301024	0.188948059104124	0.0420596839196846	0.127299935265138	0	0	0	0.113918747194102	0	0.0451070343563029	0	0	0	0	0	0	0	0	0	0	0	0.13506614322309	0.127484054195565	0.133911941363986	0.0990449837362824	0.0488078116903487	0	0.0663927163133094	0	0.0923754548999502	0	0	0	0	0	0.0278908377414009	0.0273520233959459	0	0.0935610049801824	0.226657062043935	0.0346985996299852	0	0	0.049568768515609	0.157138126809871	0.00552018706074318	0.0393836494350402	0	0	0	0	0	0	0	0.0801028905972923	0	0.224143786175587	0	0.0718787472345319	0.0641018294867331	0	0.166618979152362	0.0678243097596843	0	0.0083107498291078	0.0591850298858149	0.0661914140306311	0	0	0	0	0.050851533068528	0	0.138284136334913	0.136083553958429	0.188432176702518	0	0.0805720848486302	0	0.257027734590216	-1.53709843359747e-19	0.0367171929053597	0.244894264421037	0.207994959472411	0.0423614567812859	0.0639164235787507	0.0326238647851027	0	0	0.0217473366928562	0.0437126446992193	0	0	0.0309610123856828	0	0	0.158856591289198	0.0832687355578449	0.0537254658416326	0	0.0412421817832242	0.037962823294845	0.085777322379148	0	0	0	0.00308934040254194	0	0	0	0	0.0268589746724595	0	0.114353653040575	0.125995966541345	0.0792473570844656	0.164401198095811	0.0350236312471837	0.0910383489753575	0	0	0	0.0763352869375926	0	0	0.0728390936537717	0	0.0688555016187687	0	0	0	0	0.0176985460868553	0	0	0.142421032382677	0	0	0.14822923992595	0	0	0	0.070857122932754	0.024056954764011	0	0	0.146742807964211	0	0	0	0	0	0.0335832771192671	0	0.0514089959307944	0.0836647402247383	0.0937362981304589	0	0	0	0	0	0	0	0	0
Myoz2_enriched_cardiomyocytes	0	0	0.168357716523571	0	0	0	0	0	0.020619476830853	0	0	0	0	0	0	0.0113739112641156	0	0	0	0	0	0	0	0	0	0	0	0	0.121438557217873	0.0343393833400051	0.182478730392524	0	0	0	0	0	0.104072837485659	0	0.0161576398218497	0	0	0	0.0909358815895499	0	0	0	0	0	0	0.0193239867563159	0	0	0	0	0	0	0.0731654155922404	0	0.0170632144275001	0	0	0	0	0	0	0	0	0	0	0.240446857175006	0	0	0.153333645820422	0	0	0	0	0	0	0	0	0	0.0121262846330092	0.0357912868389537	0	0.0110551838885115	0	0	0.00485183736180618	0.0886878759926718	0	0	0	0	0	0	0	0	0	0	0.155679468752836	0	0	0.103554620176215	0.0534202961969457	0	0	0	0.0181636421533276	0.014262388395153	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164920398713531	0	0.123485211595076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131423780219099	0	0	0.00819307294478557	0	0	0	0.0758527262364129	0	0.0129910668941417	0	0	0.237732159315592	0	0	0	0	0	0	0.0284697237265278	0	0.0091472434842242	0.251623052091234	0	0.167325670911084	0.449546484137028	0.0712051010238807	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0578687842403447	0.171891311347729	0	0	0.0574790617075862	0	0	0.0215607909719073	0.0616948750636669	0.0551917162068419	0	0	0	0	0	0	0	0	0.0222259626210632	0.0509908749532461	0	0.0101522752784728	0	0.269257044524362	0.0190114227690487	0	0	0	0	0	0	0	0.107535163961857	0	0	0	0.010127020754908	0	0.253660783952178	0.265869104950232	0	0	0	0	0	0	0	0.14223949651003	0	0	0	0	0	0	0	0.0116861447158428	0	0	0	0
Cardiac_neural_crest_cells	0	0.109998985793577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108935565507914	0	0	0.0344259421382728	0	0	0	0.0262799456677386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0239569195590057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217829993786467	0.0580770780114244	0	0	0	0	0	0.0327617751720257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122814595368682	0	0	0	0.00846113234049738	0.0394183430222267	0	0	0	0	0	0	0	0	0	0	0	0.0412978815333885	0	0	0.0379664310695655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065837660373237	0	0	0	0	0	0	0.016489691503189	0	0.0526376926323481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094220568468188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0418768957390738	0	0	0	0	0	0	0.0253365829916513	0.0288736688782002	0.0497810246029481	0	0	0	0.10458738006996	0	0	0	0	0	0	0	0	0	0	0.103242583007784	0	0	0	0	0.0288392597012494	0	0	0	0	0	0	0	0	0	0.0943739209235742	0	0	0
Capillary_endothelium	0.156523064800302	0	0	0.120267626510349	0.0778054794178709	0	0	0.147259195155565	0	0	0	0	0	0.0460224872656787	0.0491874432022924	0.200546637865131	0.0838367093673319	0.0401321864408813	0.0289426572115366	0	0	0	0	0.174151485875648	0.0377052881520349	0.149069735976422	0.0255529124699987	0.0350969208772103	0.0352031664801445	0	0	0.243466400211346	0	0.0600872034899383	0	0.0919981877091797	0.282924264727824	0.131712821516025	0	0.0618570563028661	0.123706938488122	0.0633251372394863	0	0.0565471015812064	0.000538662870101517	0	0	0	0	0.14377282842628	0.266494458881495	0.41775515538161	0.190523858811894	0.265231695365629	0.308299626075987	0.137264908494073	0.163444046979201	0.183494284343498	0.0550608671519895	0	0.144164129762131	0.0964336688889346	0	0	0.254233757133611	0.0473580089249586	0	0	0.0423805701106827	0.094790750083931	0	0.0636779974160111	0.0576711707360767	0.15126909726235	0	0	0	0.0106514445900521	0	0	0	0	0	0	0.0812279177086885	0.07114166405111	0.0745361758942273	0.0619884448183578	0.031682638082503	0	0.0650977384056498	0	0	0	0	0	0	0	0	0	0.0425525609379748	0.0392959322108963	0.094514833643636	0	0	0	0.0573550871055643	0.199831388263815	0.0433669659093614	0.0222218408400378	0	0	0	0.0314430652659328	0	0	0	0	0.0181340379753672	0.136557428476604	0.290759577219719	0.110658466334985	0.196899920581456	0.129039899138773	0.0397135034015092	0.149170465026784	0	0.0695910665433548	0	0	0	0	0.279565588279394	0.171637897013902	0	0	0.0148213775575937	0	0	0	0	0.0664391044530343	0.092994767975983	0.0368120076873763	0.211748370593177	0	0.030407805475543	0.0299478709295094	0.0702631543640129	0.0646499150038974	0.00100009110891023	0.189561465327112	0.048098800236168	0.0378388609956777	0.324049938402167	0	0	0	0	0.0362483873874994	0.22673103966335	0.0635196425677751	0.159784624094099	0.0274038197120834	0.261659187070114	0.178580025954454	0.362600416140796	0.03598333455128	0.166029384331983	0.115933075013376	0	0	0	0.386919040805735	0	0	0	0	0	0.206232211268733	0.399066032604967	0.0662475278960414	0.0626101728551137	0.246395509377879	0.177626319149942	0.0655888368604388	0.107923401075043	0.0286104935446551	0.0363118741991864	0	0	0	0	0	0	0	0.101791881209875	0	0.20449619594012	0.111038435456569	0.155070257627854	0.0706555818856853	0.152174058559462	0	0.0378840455782877	0.0687757404499665	0.253542779230214	0	0	0	0	0.0475184675871365	0	0.0411963524695935	0.295984771278145	0.0137248805860529	0.317715432777411	0.0418643529822334	0.109494553730431	0	0	0.122453123614251	0.063655397010372	0.137102704994035	0.0271194413178439	0.139768028471364	0.0599809458229064	0	0	0.00651188428508422	0	0.170785836125482	0.0899925057850257	0.207182031799385	0.0418035473891017	0	0	0.339240795485246	0.0389734282868373	0.079709607639558
Erythrocytes_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00167620544778278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0317075746835496	0	0	0	0	0	0	0	0	0	0.0318669462848694	0	0	0	0	0	0.0215190215397955	0	0	0	0	0	0.0680855433657963	0	0	0	0	0	0	0	0	0	0	0.00520454451655088	0	0	0	0	0	0	0	0	0	0.00727975522794827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00560625334048329	0	0	0	0	0	0	0	0	0	0	0	0	0.0428150337450527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120633559322077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0689036096285348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
