X15x10x10	X15x10x11	X15x10x12	X15x10x13	X15x10x14	X15x10x8	X15x10x9	X15x11x10	X15x11x11	X15x11x12	X15x11x13	X15x11x14	X15x11x15	X15x11x16	X15x11x6	X15x11x7	X15x11x8	X15x11x9	X15x12x10	X15x12x11	X15x12x12	X15x12x13	X15x12x14	X15x12x15	X15x12x16	X15x12x17	X15x12x5	X15x12x6	X15x12x7	X15x12x8	X15x12x9	X15x13x10	X15x13x11	X15x13x12	X15x13x13	X15x13x14	X15x13x15	X15x13x16	X15x13x17	X15x13x4	X15x13x5	X15x13x6	X15x13x7	X15x13x8	X15x13x9	X15x14x10	X15x14x11	X15x14x12	X15x14x13	X15x14x14	X15x14x15	X15x14x16	X15x14x17	X15x14x18	X15x14x24	X15x14x3	X15x14x4	X15x14x5	X15x14x6	X15x14x7	X15x14x8	X15x14x9	X15x15x10	X15x15x11	X15x15x12	X15x15x13	X15x15x14	X15x15x15	X15x15x16	X15x15x17	X15x15x18	X15x15x19	X15x15x23	X15x15x24	X15x15x4	X15x15x5	X15x15x6	X15x15x7	X15x15x8	X15x15x9	X15x16x10	X15x16x11	X15x16x12	X15x16x13	X15x16x14	X15x16x15	X15x16x16	X15x16x17	X15x16x18	X15x16x19	X15x16x23	X15x16x24	X15x16x4	X15x16x5	X15x16x6	X15x16x7	X15x16x9	X15x17x10	X15x17x11	X15x17x12	X15x17x13	X15x17x14	X15x17x15	X15x17x16	X15x17x17	X15x17x18	X15x17x19	X15x17x23	X15x17x24	X15x17x5	X15x17x6	X15x17x7	X15x17x8	X15x17x9	X15x18x10	X15x18x11	X15x18x12	X15x18x13	X15x18x14	X15x18x15	X15x18x16	X15x18x17	X15x18x18	X15x18x19	X15x18x20	X15x18x23	X15x18x24	X15x18x25	X15x18x26	X15x18x5	X15x18x6	X15x18x7	X15x18x8	X15x18x9	X15x19x10	X15x19x11	X15x19x13	X15x19x14	X15x19x15	X15x19x16	X15x19x17	X15x19x18	X15x19x19	X15x19x20	X15x19x21	X15x19x22	X15x19x24	X15x19x25	X15x19x5	X15x19x6	X15x19x7	X15x19x8	X15x19x9	X15x20x10	X15x20x11	X15x20x12	X15x20x13	X15x20x14	X15x20x15	X15x20x16	X15x20x17	X15x20x18	X15x20x19	X15x20x20	X15x20x21	X15x20x22	X15x20x23	X15x20x24	X15x20x5	X15x20x6	X15x20x7	X15x20x8	X15x20x9	X15x21x10	X15x21x11	X15x21x12	X15x21x13	X15x21x14	X15x21x15	X15x21x16	X15x21x17	X15x21x18	X15x21x19	X15x21x20	X15x21x21	X15x21x22	X15x21x23	X15x21x24	X15x21x6	X15x21x7	X15x21x8	X15x21x9	X15x22x10	X15x22x11	X15x22x12	X15x22x13	X15x22x14	X15x22x15	X15x22x16	X15x22x17	X15x22x18	X15x22x20	X15x22x21	X15x22x22	X15x22x23	X15x22x24	X15x22x7	X15x22x8	X15x22x9	X15x23x10	X15x23x11	X15x23x12	X15x23x13	X15x23x14	X15x23x15	X15x23x16	X15x23x18	X15x23x19	X15x23x20	X15x23x9	X15x24x10	X15x24x11	X15x24x12	X15x24x13	X15x24x14	X15x24x15	X15x24x17	X15x24x18	X15x24x19	X15x24x20	X15x24x21	X15x25x12	X15x25x13	X15x25x14	X15x25x17	X15x25x18	X15x25x19	X15x25x20	X15x9x10	X15x9x11	X15x9x12	X15x9x13	X15x9x9
Erythrocytes_2	0	0	0	0	0.0219067283628981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0224576264210967	0	0	0	0	0	0	0	0.00770109849780723	0	0.029452501934562	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0290917695457955	0	0	0	0	0.0175434085502035	0	0	0	0	0	0	0	0	0.0275155515060082	0	0	0	0.0366956711151325	0	0	0.00434648355220815	0	0	0	0	0	0.0183603462503649	0	0	0	0	0	0	0.0315986205421854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0476000901692223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0493017105439266	0	0	0	0	0	0.0372420991338625	0	0.0719749678789858	0	0	0	0	0.019482195511016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022854766943949	0	0	0	0	0	0	0	0	0.0212124993737128	0.0565930495740087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epicardium_derived_cells	0.082893208538371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100798667098864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0986249602634834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.23310156757831e-19	0.18308986865792	0.28722821889014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134518249865371	0	0	0	0	0	0.000917518411050023	0	0	0	0.142138568731909	0	0	0	0.124121823823239	0	0	0	0	0	0	0.0729994821774427	0	0	0	0	0	0	0	0	0	0	0	0.0794563176112322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112174511505687	0	0	0	0	0.313143034748375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0750379429003447	0	0	0	0	0	0	0	0	0	0.0556413758260429	0	0	0	0	0	0	0.0635989592129301	0	0	0	0
Fibroblast_like_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000385755704929246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106416511291598	0	0	4.70563012933502e-20	0	0	0	0.0985195614539182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0499050524370029	0	0	0.109848495842311	0	0	0	0	0.14544347588019	0	0.416855904765104	0.0483979739480632	0	0	2.93828113098216e-05	0.0393224003661732	0	0	0	0	0	0	0	0	0	0	0.348835607422161	0.394528504354425	0	0	0	0	0	0.0995338539652455	0	0	0	0	0	0.139861290695419	0	0.0840502388060817	0.613783864878644	0.585767635647784	0.246830983149325	-3.35258901362089e-19	0.0591579131790173	0	0	0	0	0	0.0116400693894831	0	0	0	0	0	0	0.478279490292738	0.335693883775261	0	0.409867103653236	0.488818828646136	0.238514101356107	0.109403117271646	0.0602891086038594	0	0.00672900781202382	0	0	0	0.16199201103545	0	0	0	0	0	0.277746683750838	0.0750138426905347	0	0.0313250103451412	0.124711117966779	0	0	0.047970445935189	0	0	0	-1.1182488836406e-20	0	0	0	0	0.0675312666803677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501775246351031	0	0	0	0	0.0762932574670048	0.136234888119348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00601769285079447	0	0	0	0	0	0	0	0	0	0	0	0	0.0435460682618358	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0.0873382559334223	0	0	0	0	0	0	0	0	0.389322238506819	0	0.0830173977382029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267636618816219	0	0	0	0	0	0	0	0	0	0	0	0	0.00696608329101739	0.868159913682482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22645693471365	0.56979263399734	0.851791430721365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337161190859569	0.426564865654835	0.524822390477168	0.489052177122321	0	0	0	0	0	0	0	0	0	0	0	0	0.147112985861277	0.249515422441582	0.272001127615363	0.615551700150213	0	0	0	0	0	0	0	0	0	0	0	0	0.0787050991901098	0.186038049638543	0.430009102596096	0.745660079757729	0.581932167715339	0.594078098013148	0.877964264285266	0.923410802662027	0	0	0	0	0	0	0	0	0	0.0950477581365951	0	0	0.332305282613096	0.217573430932088	0.533689939972214	0.658997611236006	0.532568862824272	0.764578903777176	0.56244079046586	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183069432769865	0.545337570182366	0.328863496822235	0.952028730847202	0.991200735283343	0.851950919249274	0.748742022999677	0	0	0	0	0	0	0	0	0	0	0	0	0	0.505849498937414	0.569936298159288	0.933514039232842	0.821347494154989	0.9458458875392	0.76340717267318	0.670145938640164	0	0	0	0	0	0	0	0	0	0	0	0	0.238128987372882	0.702672019192313	0.803191043945362	0.954400991164608	0.9012959445367	0.0999360218987716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10905570448473	0.338732840857426	0	0	0	0	0	0	0.0417445556379252	0	0
Fibroblast_like_2	0	0	0	0.0560298308382813	-1.07038785292987e-20	0.114333843264606	0	0	0	0	0	0.0568931648424874	0.0395045211772318	0	0	0	0	0.0389348895344724	0	0	0	0.0685728752378629	0.186889373352877	0	0.0780637405099679	0.0725005074208726	0	0.200190243353445	0.119624319118858	0	0	0.0554005352890772	0	0.00920062617060626	0.116597522737776	0.0551421086015045	0.0780148411232547	0.107463546090742	0.210376647727904	0	0	0.135683558436702	0	0	0.116086909577736	0.0379521260872289	0	0	0	0	0	0	0	0.124739200135684	3.41311331930978e-05	0.13885758522906	0	0	0	0.0301002604758417	0.0999285960037331	0	0.0791188916786788	0	0.213575069886123	0.124629878709787	0	0	0.0445498729822449	0.177446623993526	0	0.0277456339613986	0	0	0.107993254455903	0.184535591058976	0	0	0.099749025318296	0	0	0	0	0.08935455083833	0	0.0628040816680248	0	0	0.09147116859928	0	0	0	0.028101533227432	0	0	0.098802042433265	0	0.255033523542696	0	0	0	0	0.164455891019675	0.109845477427171	0.176171538164053	0	0	0.281575450045065	0	0	0.0784828271128299	0	0	0.0573519159076212	0	0	0.0535142004646225	0.064363090197634	0	0.0371023566256839	0	0	2.91191376464607e-18	0	0	0	0	0	0	0.0223508803576991	0	0	0.109591125502674	0	0.167060899803654	0.078791821693571	0.087035822621862	0.0311867925066335	0	0.140828891909424	0	0	0.00646696675335666	0	0	0	0	0	0	0	0	0	0.0725522503741813	0	0.0752824424176397	0	0.107140328181248	0	0	0.228523218623459	0	0.274602748008483	0	0.0858885588980575	0	0	0	0.0751458194611763	0	0	0	0	0	0	0	0	0	0	0	0.133914999200948	0.207092926051494	0.137538104025889	0.0251986832639064	0	0	0	0	0	0.0380277107081914	0.0544573378967842	0	0	0	0	0	0.207233233956963	0	0	0.102747540343284	0	0	0.0461027650897407	0	0	0.0571153692721884	0	0	0.177401941542713	3.83265319113942e-20	0.0348991867876437	0	0	0	0.0575558652113724	0.0514989546314002	0	0	0.0347401468447577	0	0.0427186790302227	0	0	0.336336795595976	2.50317598234553e-18	0	0	0	0	0	0	0	0.187550119320683	0.191918754486928	0	0	0	0	0	0	0	0.0774123235932377	0.111572537528153	0.279181710289908
Endothelium_pericytes_adventitia	0.0887008077828719	0.15392757009042	0	0	0.277771099747694	0.0530514963739927	0	0.0159621924108984	0.0611227598878405	0	0.0158777438948162	0	0.0831020818313621	0.072413531107268	0	0.128819856053771	0.0473491650255149	0.0254169790648896	0	0.0256362214481077	0	0.0280080526167979	0.0355140544891723	0.140495619465119	0.148657779764609	0.162558490180531	0	0.0992712955587067	0.0879440953204943	0	0	0.000561927217212894	0.0286279731143351	0.0576902986101114	0.0408772576943758	0.0707590572588486	0.0408346506825749	0.0300502231298162	0.0747075427455784	0	0.144787073925411	0	0	0	0.0824917428513774	0.0873028962748511	0	0	0	0.0698110965513494	0.0328456337659349	0	0	0.0241697556525265	0.131805955184325	0.121857006055817	0.149418592697642	0.087236218574891	0	0.0378290008914706	0.0290000440651712	0	0.120033889527778	0.0766624643957816	0.00135831059897999	0.0775933381416972	0.0691762025012798	0	0.0883399961632726	0.0558027342833442	0	0.129091351068647	0	0.125480300712625	0.084408477112684	0.160145627375431	0.0921997992037331	0	0	0	0.0563644786078447	0	0	0	0.182113762933633	0.0533011264934669	0.0584947588957766	0	0.106107595764184	0.148544276772596	0.135012190107162	0.187949390632692	0	0.00719713912718175	0	0.0897664426236049	0	0.0648175351310305	0.123956519686237	0.0935193011326109	0.0204763535982988	0	0	0.0939829178053691	0	0.127460695571504	0	0.17149024664726	0	0	0.098081552096039	0.0891921157768932	0	0.0880352809214415	0	0	0.0696889827055681	0	0	0	0.123467562252139	0	0	0.153529336731686	0.099561086808654	0.0932004152678799	0.0708761839848476	0.122035735714734	0	0	0	0	0.0656482111455239	0.0854456108327701	0.0509015196846166	0.153332837040446	0.0641716222888622	0.113919582734642	0	0	0.115704966566063	0.0914903679656866	0	0	0.11475117775762	0.153937866884005	0	0	0.055654700450704	0	0	0	0	0.0801196717004998	0.172532954226633	0	0	0	0	0	0	0.308749611798839	0.113558874659372	0.0077516026059264	0	0	0.0750495985732834	0	0.280722358064593	0.128017624590909	0	0	0.0320221493929332	0	0.120527892916489	0.0331105199471668	0	0	0.0434009255291325	0.119669793373004	0.0836788997638254	0.218946794408497	0.0772920337259345	0	0	0	0.06203120756216	0.135931775711899	0.0784285874498796	0.0445335294659932	0	0.102783420194419	0	0	0.0649826893334621	0	0	0	0.127659614686263	0.0735874310773309	0.118536434764798	0.135835560768971	0	0	0	0.053045780028525	0.134664923481492	0.00791004137385622	0	0.0694078915590673	0	0	0.0409577646919384	0.105919658050248	0.0661676766642031	0.1680773674473	0	0.00879741891196464	0	0	0.1184853551134	0.0922001403027556	0	0.137296472492835	0.168644240192284	0	0	0	0	0.0332764651016245	0	0.0585267326463723	0.0738798349636227	0.393072816428141	0	0	0	0	0.166286464729292	0.148267676717784	0.121311491977907	0.0625529077555664	0
Myoz2_enriched_cardiomyocytes	0.0209799051796571	0	0.00831388824804184	0.320805054384473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109734303066415	0	0	0.0109902648398909	0	0	0	0	0	0	0.0134934589584953	0	0.478080248920336	0	0	0	0	0	0	0	0	0	0	0.0139779917706767	0	0	0	0	0	0	0	0.0126543093411383	0.0143146971946595	0	0	0	0	0	0.120498497862218	0	0	0	0	0	0.00526447324122576	0	0	0	0	0	0	0	0	0	0	0.00924277972903381	0.0176434447027349	0	0	0	0	0	0	0	0.102405042238718	0	0	0.0728372132455282	0.14492263418051	0	0	0	0	0.170586992644765	0.0168505020623176	0	0.109140435500868	0	0	0.055421811387434	0	0	0.0177829966908582	0.0108911011543586	0	0	0	0	0	0	0	0	0	0.00939755496718843	0	0	0	0.191348945365937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0758302707297069	0	0.135168834611891	0	0	0.313906041402926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103886383747584	0	0	0	0	0	0	0	0	0	0	0.104363820400773	0.0206358819470845	0	0	0	0.0217656296397002	0	0	0	0	0	0	0	0	0	0	0	0	0.033871427433192	0	0.0131773601347348	0.0118717752042499	0.0113300416232297	0.00322201477261696	0	0	0.038819019610146	0	0	0	0	0	0	0	0	0	0	0	0.0328192889662227	0.0129959602431808	0	0	0	0	0	0	0	0	0	0.0348778861297021	0	0.129777211803235	0.222864232393101	0	0	0	0	0	0	0	0.209691499202108	0	0	0	0	0	0	0	0.0521442096559043	0	0.253285390081063	0
Cardiac_neural_crest_cells	0.0177377739134946	0	0	0	0.0581883213564877	0	0	0	0	0	0	0	0	0	0	0.0496618395741466	0	0	0	0.03978572588671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0372943612358823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126839347207781	0.206907293850014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274607129734872	0	0	0	0	0.0362022676843741	0	0	0	0	0	0	0.00106416994089798	0.0809553746510811	0	0	0	0	0.00122398476361419	0	0	0	0	0	0	0.0869277264133973	0	0.0237378872564899	0	0.0742254835161149	0	0.0761806407950637	0	0	0	0	0	0	0	0.0165121090497596	0	0.0294797863007009	0	0	0	0	0	0	0	0	0	0	0	0.0716249903221715	0	0	0	0	0	0.134328337749785	0.1727272373296	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0874073462820812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148090883741043	0	0	0	0.129520544534105	0	0	-1.22076687052463e-20	0	0	0	0	0	0	0	0	0.153477215493057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capillary_endothelium	0.0396998832932109	0.0878874867286747	0.170315224609478	0	0	0	0	0.160893554394835	0	0.128363690320387	0.100654346188255	0	0	0	0.133744321984066	0.0232168121577243	0.0721899823288917	0.0899489754017773	0.0828658512897224	0	0.0732494114147002	0	0.0166669656659525	0	0	0	0.163826909146425	0	0.0203254499446353	0.128598892827753	0.0351354135633173	0	0.0763952423494666	0	0.128659649179326	0	0	0.0273801671562237	-3.18924325072362e-20	0.0961164425592379	0	0	0.0954857778371758	0.277414867737241	0	0.0726650202861507	0.0156146380540874	0.11934706919204	0.17096058745262	0.211589676289066	0.204347232870079	0.0282575748507426	0.0317198957057828	0	0	0	0	0	0.0387595297988074	0	0	0.148028564918972	0	0.0419135852410018	0.0456131210292935	0	0.0804779244971636	0.0540266529484076	0	0	0.0390880071792904	0.142726602896157	0.357436329923725	0.0227282685660098	0	0	0	0	0	0.0126806682922088	0.0327551528159091	0.0339058816171495	0.02133176660306	0.0559461805785366	0	0	0	0.0384253465098967	0	0	0	0	0.0586199341561935	0.310068998978506	0.0540081579919551	0	0.065041899546908	0	0	0	0.104783035476929	0	0	0	0	0.136002521176407	0.112207537245948	0	0	0.0111931356583395	0	0.0826251591749955	0.18390876834329	0	0.0482265012507387	0	0	0.0102019587061138	0.0417056188456254	0	0.0693222230534648	0.0402072081687754	0	0.124775569368262	0.0545943006702388	0	0	0	0	0.0801659573868193	0.165267460444924	0.184725741463462	0	0	0.0335187751407994	0	0	0	0.253140062880441	0.0617256887743351	0	0	0.266065653344427	0.072557985010285	0	0	0.0781531372989369	0.215181057026508	0	0.0620081228942669	0.271159061554023	0	0	0.0303806515275207	0	0.0456741478078762	0.165238851358994	0.132559177197213	0.13398950926678	0.0753081439655108	0.0315396015524054	0	0	0.314794919537479	0	0	0	0	0.223526099461095	0.121063829683843	0.163711149464284	0.165787471004524	0	0.153717428030964	0	0.15847071753143	0.243892797025385	0.0352007933508239	0.0812084229964396	0	0	0.00381143480137041	0	0.066485960767158	0	0.0541541124608006	0	0	0	0.0507728987789631	0.186086402039397	0	0.147051061391859	0.156157430320669	0	0	0.148021256729577	0	0	0	0.0479624400049416	0	0	0	0	0	0	0.000412153848612437	0.041824318687553	0.0864348067421085	0.0589774277892599	0.294347367894293	0	0	0	0	0.143670205800893	0	0.145172659692245	0.0331167422432045	0	0	0	0	0	0	0.0567112040284791	0.237325192197383	0	0.311157822438163	0.106912780069655	0.0572598679635559	0	0	0	0.323933427675938	0.157650210430426	0	0	0.0400228069534945	-4.5065014830861e-19	0	0
Erythrocytes_1	0	0	0	0	0	0	0	0	0.0362968125717271	0	0	0	0	0	0	0.0763365363997605	0	0	0	0	0	0	0	0	0	0.0769194049874017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0878887258977455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0641127857460174	0	0.0457318066626977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08076245377823e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336704032548345
