X16x10x10	X16x10x11	X16x10x12	X16x10x13	X16x10x14	X16x10x15	X16x10x16	X16x10x6	X16x10x7	X16x10x8	X16x10x9	X16x11x10	X16x11x11	X16x11x12	X16x11x13	X16x11x14	X16x11x15	X16x11x16	X16x11x17	X16x11x18	X16x11x6	X16x11x7	X16x11x8	X16x11x9	X16x12x10	X16x12x11	X16x12x12	X16x12x13	X16x12x14	X16x12x15	X16x12x16	X16x12x17	X16x12x18	X16x12x19	X16x12x24	X16x12x4	X16x12x5	X16x12x6	X16x12x7	X16x12x8	X16x12x9	X16x13x10	X16x13x11	X16x13x12	X16x13x13	X16x13x14	X16x13x15	X16x13x16	X16x13x17	X16x13x18	X16x13x19	X16x13x20	X16x13x23	X16x13x24	X16x13x25	X16x13x4	X16x13x5	X16x13x6	X16x13x7	X16x13x8	X16x13x9	X16x14x10	X16x14x11	X16x14x12	X16x14x13	X16x14x14	X16x14x15	X16x14x16	X16x14x17	X16x14x18	X16x14x19	X16x14x20	X16x14x23	X16x14x24	X16x14x25	X16x14x5	X16x14x6	X16x14x7	X16x14x8	X16x14x9	X16x15x10	X16x15x11	X16x15x12	X16x15x13	X16x15x14	X16x15x15	X16x15x16	X16x15x17	X16x15x18	X16x15x19	X16x15x20	X16x15x21	X16x15x23	X16x15x24	X16x15x25	X16x15x26	X16x15x5	X16x15x6	X16x15x7	X16x15x8	X16x15x9	X16x16x10	X16x16x11	X16x16x12	X16x16x13	X16x16x14	X16x16x15	X16x16x16	X16x16x17	X16x16x18	X16x16x19	X16x16x20	X16x16x21	X16x16x22	X16x16x23	X16x16x24	X16x16x25	X16x16x26	X16x16x6	X16x16x7	X16x16x9	X16x17x10	X16x17x11	X16x17x12	X16x17x13	X16x17x14	X16x17x15	X16x17x16	X16x17x17	X16x17x18	X16x17x19	X16x17x20	X16x17x21	X16x17x22	X16x17x23	X16x17x24	X16x17x25	X16x17x26	X16x17x6	X16x17x7	X16x17x8	X16x17x9	X16x18x10	X16x18x11	X16x18x12	X16x18x13	X16x18x14	X16x18x15	X16x18x16	X16x18x17	X16x18x18	X16x18x19	X16x18x20	X16x18x21	X16x18x22	X16x18x23	X16x18x24	X16x18x25	X16x18x26	X16x18x6	X16x18x7	X16x18x8	X16x18x9	X16x19x10	X16x19x11	X16x19x13	X16x19x14	X16x19x15	X16x19x16	X16x19x17	X16x19x18	X16x19x19	X16x19x20	X16x19x21	X16x19x22	X16x19x23	X16x19x24	X16x19x25	X16x19x26	X16x19x7	X16x19x8	X16x19x9	X16x20x10	X16x20x11	X16x20x12	X16x20x13	X16x20x14	X16x20x15	X16x20x16	X16x20x17	X16x20x18	X16x20x19	X16x20x21	X16x20x22	X16x20x23	X16x20x24	X16x20x25	X16x20x8	X16x20x9	X16x21x10	X16x21x11	X16x21x12	X16x21x13	X16x21x14	X16x21x15	X16x21x16	X16x21x17	X16x21x18	X16x21x19	X16x21x20	X16x21x21	X16x21x23	X16x21x24	X16x21x9	X16x22x10	X16x22x11	X16x22x12	X16x22x13	X16x22x14	X16x22x15	X16x22x16	X16x22x17	X16x22x18	X16x22x19	X16x22x20	X16x22x21	X16x23x14	X16x23x15	X16x23x16	X16x23x18	X16x23x19	X16x7x11	X16x8x11	X16x8x12	X16x8x13	X16x8x14	X16x9x10	X16x9x11	X16x9x12	X16x9x13	X16x9x14	X16x9x15	X16x9x7	X16x9x8	X16x9x9
Erythrocytes_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03666104735741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039119966686296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0439714670023337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0278788843868374	0	0	0	0	0	0.0232260218576207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177831284210771	0	0	0.0253709236455762	0	0	0	0	0	0	0	0	0	0	0	0.128194222661952	0	0	0	0.0204179396567068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epicardium_derived_cells	0	0	0	0	0	0	0	0.163245932692235	0.209058780726619	0	0.174800668197405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199692714693337	0	0	0.0361437296847582	0	0	0	0	0	0	0	0.0235471323118811	0	0	0	0	0	0.257427870313639	0.388719541716073	0	0	0.196855176947184	0	0.0140613584735993	0.0762129743309973	0	0	0	0	0	0	0	0	0	0	0.0428024800568844	0	0	0	0	0	0.120366434530572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0676065433866883	0	0	0	0	0	0	0.0422528703998035	0	0.0217495663048886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303039385575983	0.0828022497152793	0	0	0	0	0.0449231641103731	0	0	0	0	0	0	0	0.0602076642642581	0	0	0.0016975853158848	0.0774323004193981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0823150294062167	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336767019834103	0	0	0	0.0719994628316029	0	0	0.0118064688265506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08506617897185e-05	0	0	0	0	0	0	0	0	0.0522962615400364	0	0	0	0	0	0	0	0	0	0.0274499519129301	0	0.0776700842905614	0	0	0	0	0	0	0	0	0	0	0	0.0877711006062377	0.295743831246302	0	0	0	0	0	0.0195679348063725	0	0	0	0	0	0	0.0161332486808694	0.225029747431698	0	0	0.0257099737316317	0	0	0	0	0	0.0247408712184853
Fibroblast_like_1	0	0	0.10881487717965	0	0	0.000505205944655266	0	0	0	0	0	0	0	0.0231585943482698	0.0271650421697021	0	0	0	0	0.175463983917601	0	0	0.0463857581460912	0	0	0	0	0	0.0780496137868868	0	0	0.068600179643801	0	0	0	0.0126581263861336	0	0	0	0	0.0489528667982188	0	0	0.0990224332365208	0	0.0161582355693912	0.133179793047283	0.0970503270737656	0.118653397529135	0.0372698870718172	0	0	0	0	0	0	0	0	0.206084361525665	0	0	0	0	0	0	0	0	0	0	0	0.308721402268678	0	0	0	0	0	0	0	0	0	0.0204730358198701	0	0	0	0	0	0	0	0.000221482812349831	0.24149337514612	0.372888646653267	0	0	0.0765975097222453	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0353283926345645	0.150432548962707	0.155275166672583	0.630717653874658	0.417420099718019	0	0	0	0	0	0	0	0	0	0	0	0.173006014405358	0	0	0.203255319127176	0.0981438979698849	0.197206785676818	0.133695173745737	0	0.455104181131573	0.192396488043354	0	0	0	0.000119786859353263	0	0	0.0689046766267776	0	0	0	0	0.0586169898311932	0.0485670403230513	0.231440679809004	0.0969167734777221	0	0	0	0.10767313194688	0.067700868196676	0.434990873729559	0	0.0190961705603762	0	0	0.116392911615117	0	0	0.0290385515140823	0	0	0	0	0	0	0	0	0.182627410575773	0	0.0902029151351818	0	0	0	0	0	0	0	0	0.0652241191526404	0	0	0	0	0.0637971456733719	0	0	0	0	-1.52892463012111e-19	0.0863572496347516	0.0286241186711973	0.0507253769103521	0	0	0	0	0	0	0	0	0	0	0	0	0.00947607737974502	0	0	0	0	0	0	0.410257385595658	0	0	0	0	0	0	0	0.138654311273137	0	0	0	0	0	0	0	0	0.0558836744777489	0.0779052092639551	0	0	-2.08257531949444e-19	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.582543035985546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299864213829315	0.774822667142655	0.524684197329666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225764904497034	0.426837509848142	0.461912846724344	0.450991023309819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308911330199306	0.581065726668565	0.611196170172988	0.822320081293542	0.992008128781598	0.539666857831013	0	0	0	0	0	0	0	0	0	0	0	0	0.117251754418925	0	0	0	0.553984713695072	0.294808568124056	0.429801002982377	0.807434773825809	0.787737517808777	0.621180862083565	0	0	0	0	0	0	0	0	0	0	0	0	0.10894040842724	0	0	0.923616839219059	0.837949498643195	0.460602407800244	0.624919966218184	0.609073633484971	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0922451438985908	0.890172314601398	0.222308487724452	0	0.796388254286484	0.994597685771355	0.92302152877181	0.292768538221681	0	0	0	0	0	0	0	0	0	0	0	0	0	0.382560696710158	0.814611209338631	0.716478859139603	0.617092227866348	1	0.801500062863778	0.415153426252918	0	0	0	0	0	0	0	0	0	0	0	0.068399921336028	0.231479604271531	0.519529481366826	0.687470344024796	0.777449174205425	0.9584363544692	0.358197952100414	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318279427128317	0.256290858947724	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218257628698612	0	0.122770519237581	0.104233954098919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast_like_2	0	0	0	0	0	0	0.122292427968109	0	0	0	0	0	0	0	0	0.116715552356036	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118338359135941	0	0	0.0937719601988864	0.450519123546452	0	0	0	0.0459214114900978	0	0	0	0.138634040810471	0	0	0	0	0	0	0	0	0	0	0.497794726920701	0	0.000935187711339822	0	0	0	0	0	0	0.0707488919844982	0	0	0	0	0	0	0	0.108457555179736	0	0	0.210552092624563	0.170098707138853	0	0.0643473298356474	0	0	0	0	0	0	0	0	0.19907777242673	0	0	0	0.125677186438481	0	0	0	0	0	0	0.265672318849864	0.177564051813065	0	0	0	0	0	0	0	0	0	0	0	0.0276008495323263	0	0	0	0	0	0	0	0	0.0282766413026092	0	0	0	0	0.0439416128277686	0	0.211699916593796	0	0	0.11879667591449	0	0	0.29262591902064	0	0	0	0	0.414106346547538	0.0986581897288992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.609737827121734	0	0	0	0.0560500869305841	0.0582683012766321	0.21057147095669	0	0	0	0	0	0	0	0	0	0	0.480346361709689	0.229560300393754	0	0	0	0	0	0.146229821924892	0	0	0	0	0	0	0	0	0	0	0	0	0.288947229566976	0.153953930345554	0	0	0	0.249845630085028	0.225323660537133	0	0.0518461343314965	0.0327004158634101	0	0	0	0	0	0	0.295140296268362	0	0	0	0.240687926123644	0	0.0355360210352833	0	0.181120978516127	0	0	0	0	0	-3.25360176706357e-19	0	0	0	0	0	0	0	0.182281643671811	0.0258586341608758	0	0	0	0	0	0	0.0784620168426475	0	0	0	0	0	0	0
Endothelium_pericytes_adventitia	0.0228714474083458	0	0.0139451119489238	0.0916216310234788	0	0	0.153727232868338	0.135606967703774	0.0656579702867143	0	0.118412176888111	0.039516985322822	0.0177495270968226	0	0.0632887646002408	0	0.0492421978692723	0.199194334403381	0	0.157597580440726	0.120764937092045	0.140598610695225	0.0593159325138912	0.00258985209991783	0	0	0	0	0.0295617697760087	0.0595352280273958	0.0316794623022503	0.123268093193544	0.108747212796347	0	0.00118184708272953	0.174441717080759	0.129049452272269	0.123845492523496	0	0	0.0243594859471177	0.0948600085845374	0.13499197961335	0.0805658428970342	0.0378726408631177	0	0	0	0	0.114772686047771	0	0	0	0.0308751846254467	0.0434086221429963	0.17393065774589	0.0907738993383451	0.0851160288021859	0.10360218211715	0.0458382772086922	0.0316659029388749	0.113696515904475	0.0321588016883683	0.0392983785613716	0.0487066172748351	0.111126720707386	0.0449765433365622	0.0640907994500621	0.144619034626042	0.0360499495208411	0	0.251433670502924	0	0	0.0559582070478681	0.148353598780969	0.11518461759963	0.237777013730438	0.072992887416993	0.100212247844512	0.179206920210644	0.0013409116844032	0.142859864917204	0.100080122369883	0.0530206073271671	0	0	0	0.0685810424392421	0.0264204968565301	0.165341941559799	0.255110301401026	0.175365651697515	0.0294639755545238	0.00799187121840195	0.0741307823322436	0.102180784635383	0	0.112759899173006	0.00139717444354132	0.0475740698069935	0	0	0.113359813107009	0.111267731257183	0.182519273311789	0.0149927653497837	0.0843485852417706	0	0	0	0.0747814285412123	0.202900568736135	0.0607786798471315	0.143008659806405	0.0512881257870256	0	0	0	0.041228186106548	0.00563551922212095	0	0.0319345247591722	0.0604366286715265	0.0282710194374862	0.131930714917086	0	0.0270045164599685	0	0.132229812232593	0.0753626920935452	0.0773159385755181	0	0	0	0	0	0.0689795397482959	0.0829791504033131	0	0.0198993343501355	0	0.0465156116283386	0.00644806604832453	0	0.0137099936380299	0	0	0	0	0.0758173347379756	0.0814943185375707	0	0.142165438373734	0	0	0.00386441480174661	0	0	0	0.186014634445916	0	0.0506536247970609	0.0342249434196346	0	0.0731753938078897	0.0458970919669183	0	0	0	0	0.0920365064629922	0.0357314259102276	0.0250153102685109	0	0.14789149822993	0	0.00919572137506314	0.162817258632968	0	0.0234775908750401	0	0.0936390013700125	0	0	0	0.115068205058314	0.102851852708946	0.0109613273442261	0	0.147249700561883	0.14543060578771	0	0.0230953333725946	0.0474927070616966	0.0415636455308001	0	0.0168208869664469	0.0493619682850058	0.175950918110774	0.0891990703969544	0	0	0	0.0647605558761684	0.161409848162535	0.167975200875346	0.176144937147137	0	0.0951189823807395	0	0	0.328363248002854	0.292142149521759	0	0.0301028166484462	0.135144839706995	0.18279383131265	0.0623464814189304	0.059785014028684	0.0455648505729398	0.0195683198993469	0.143093480344477	0.0780470478201943	0.129810419310828	0.02924653990028	0	0.0779728784561622	0.15736899015972	0	0.030810236259766	0.0542714478223777	0	0.0797942044824372	0.196946823765837	0.180060867951671	0.146006470125735	0.140869724201629	0	0.167212947115022	0.128189787223956	0.0829008248826159	0.0999507655226897	0.248646525216657	0.124059057866517
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0	0	0	0.0120620127402484	0.0175599952275157	0	0	0	0.0105813388306544	0	0	0	0.00868539138711983	0	0	0	0	0	0	0	0.0124082534001325	0	0	0	0	0.00868470365383258	0	0	0	0	0	0	0	0	0	0	0	0.0161856456105153	0.00482963396868773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0216239553333969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109762284027055	0	0	0	0.0238279720192217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0750911579722282	0	0	0	0	0	0	0.0095675774849123	0.0404101219410152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145751543060248	0	0	0	0	0	0	0	0	0.109998365814177	0	0	0	0	0	0.0410097905315457	0	0	0	0	0.210032607425912	0	0	0	0	0	0	0	0	0.0101222839009977	0.0146851284464543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0192352708589345	0	0	0	0	0	0	0	0	0	0.0180316426688635	0	0	0	0	0	0	0	0	0	0	0.0167377563015238	0	0	0.0908824388909718	0	0.0261700860706478	0	0	0	0	0.0130754564912366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0938653903130781	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198109029469129	0	0.0443569847432257	0	0	0	0	0	0	0.0109201828192464	0	0	0	0	0	0	0	0	0.0699430075567747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257593654868705	0.297349416020578	0.173577483288278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118582591925238	0	0	0	0	0	0	0	0	0	0	0.0440363528467897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0736295602485957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capillary_endothelium	0.25998938190793	0.31290306966312	0.0340093081684076	0.149347721430868	0.157319887569611	0	0	0	0.0146036628413993	0.15809397594508	0	0.0929511749443015	0.163372058287923	0.238428558524553	0.0802775163857945	0.0624800674712744	0.0369446973346521	0.0385388054132193	0.0484375852447689	0	0	0	0	0.113208079156693	0.27704926472087	0.187763464536292	0.114588251922313	0.176349664206095	0.111809263844285	0.0541837318581745	0.186112189444391	0	0.00317929322114775	0	0	0.0122265831989106	0.0348077694546044	0	0.280323370410953	0.259069414012106	0.171016357491662	0	0	0	0.133428588007024	0.0608616958902803	0	0.180373678363717	0.0117844676433566	0.0841040279200141	0.247708509140825	0.0762594149397713	0	0	0	0	0	0	0.00559429791439999	0	0.107658870163828	0	0.0333620033754928	0.0399683916843599	0.0687940296579824	0	0.0243791294814478	0.0581994845300787	0.0151981899009156	0.00968343397488694	0	0.127934935268209	0	0	0	0	0.0836834841312597	0	0	0.0499792573855938	0	0.0270578732955383	0.062431872115981	0	0	0.0609543002524734	0	0.0878739283999648	0	0.102081253051686	0.0632571728210609	0	0	0	0	0	0	0.111503828890592	0.197116092692678	0.142429365269936	0.0935629810745477	0.217136077942632	0.0606007690999475	0.0300603726421366	0.0871838957159537	0	0.108705524468039	0	0	0.0545003778039815	0.166918162745455	0.319150734989769	0.163874905097429	0	0	0	0	0	0.192284886706425	0.233196010072106	0.116378585103389	0.228448317836285	0.122148030407047	0	0	0	0.0257857688940713	0.093091887491676	0.117830901910642	0	0	0.292775444737552	0.239006519575105	0	0	0	0	0.166205738417952	0.0446602615042698	0.0976243983060718	0.332651283060551	0	0.0572704179389812	0.128658581528802	0.161841415074676	0.173187703812857	0.25842711691902	0.0676494639571187	0.128480411546937	0.244970994620405	0	0	0.033727931206929	0.0196638026328016	0.3253339951941	0.18451557515314	0	0	0	0.0350732960655027	0	0.274581011173725	0.18301965465347	0.128916774030521	0.0932682461791895	0.180150320167119	0.0787359171962971	0.2109468387912	0.262342093768571	0.0729577770705821	0.0481337068649118	0.00662312441604292	0	0.0577088959960681	0.17007855586058	0.0591802390989093	0	0	0	0.161894924190155	0.162347301319008	0.033803982970662	0.132749899705461	0.100806494912364	0.263786035681905	0.105061976127475	0.184972775510471	0.293693274978556	0.409950208210465	0.0429808124100508	0.0104891067003142	0	0	0	0.0133216488404694	0	0	0.0195800203636703	0.104547148929579	0	0.114750107008703	0.163891687351315	0.171749548597623	0.0638499531629658	0.0659073814346573	0.108425454418009	0	0	0	0.144499016301222	0.0489464530503608	0.278772746565501	0.0724593282210846	0	0.107056260156254	0.0634010908269175	0	0	0.0836789147862634	0.0876781270147109	0	0	0.0687590344394945	0	0.130269635897055	0	0.00830660661728163	0	0	0.00758084771732358	0.221735348321833	0	0.110287550985122	0.074626223020098	0	0	0.0469551059866805	0	0	0.0233116185187771	0	0.0686417600805381	0.102072442778559	0	0
Erythrocytes_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0472881615457847	0	0	0.0243606266075964	0.0428880028173568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0354462996435906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297885292241803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0552243248532318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
