X17x10x10	X17x10x11	X17x10x12	X17x10x13	X17x10x14	X17x10x15	X17x10x16	X17x11x10	X17x11x11	X17x11x12	X17x11x13	X17x11x14	X17x11x15	X17x11x16	X17x11x17	X17x11x9	X17x12x10	X17x12x11	X17x12x12	X17x12x13	X17x12x14	X17x12x15	X17x12x16	X17x12x17	X17x12x18	X17x12x7	X17x12x8	X17x12x9	X17x13x10	X17x13x11	X17x13x12	X17x13x13	X17x13x14	X17x13x15	X17x13x16	X17x13x17	X17x13x18	X17x13x19	X17x13x6	X17x13x7	X17x13x8	X17x13x9	X17x14x10	X17x14x11	X17x14x12	X17x14x13	X17x14x14	X17x14x15	X17x14x16	X17x14x17	X17x14x18	X17x14x19	X17x14x25	X17x14x6	X17x14x7	X17x14x8	X17x14x9	X17x15x10	X17x15x11	X17x15x12	X17x15x13	X17x15x14	X17x15x15	X17x15x16	X17x15x17	X17x15x18	X17x15x19	X17x15x20	X17x15x24	X17x15x25	X17x15x26	X17x15x28	X17x15x7	X17x15x8	X17x15x9	X17x16x10	X17x16x11	X17x16x12	X17x16x13	X17x16x14	X17x16x15	X17x16x16	X17x16x17	X17x16x18	X17x16x19	X17x16x20	X17x16x21	X17x16x23	X17x16x24	X17x16x25	X17x16x26	X17x16x7	X17x16x9	X17x17x10	X17x17x11	X17x17x12	X17x17x13	X17x17x14	X17x17x15	X17x17x16	X17x17x17	X17x17x18	X17x17x19	X17x17x20	X17x17x21	X17x17x22	X17x17x23	X17x17x24	X17x17x25	X17x17x26	X17x17x7	X17x17x8	X17x17x9	X17x18x10	X17x18x11	X17x18x12	X17x18x13	X17x18x14	X17x18x15	X17x18x16	X17x18x17	X17x18x18	X17x18x19	X17x18x20	X17x18x21	X17x18x22	X17x18x23	X17x18x24	X17x18x25	X17x18x26	X17x18x27	X17x18x8	X17x18x9	X17x19x10	X17x19x11	X17x19x13	X17x19x14	X17x19x15	X17x19x16	X17x19x17	X17x19x18	X17x19x19	X17x19x20	X17x19x21	X17x19x22	X17x19x23	X17x19x24	X17x19x25	X17x19x26	X17x19x8	X17x19x9	X17x20x10	X17x20x11	X17x20x12	X17x20x13	X17x20x14	X17x20x15	X17x20x16	X17x20x17	X17x20x18	X17x20x19	X17x20x20	X17x20x21	X17x20x22	X17x20x23	X17x20x24	X17x20x25	X17x20x26	X17x20x27	X17x20x8	X17x20x9	X17x21x10	X17x21x11	X17x21x12	X17x21x13	X17x21x14	X17x21x15	X17x21x16	X17x21x17	X17x21x18	X17x21x19	X17x21x20	X17x21x21	X17x21x22	X17x21x23	X17x21x24	X17x21x25	X17x21x26	X17x21x27	X17x21x9	X17x22x10	X17x22x11	X17x22x12	X17x22x13	X17x22x14	X17x22x15	X17x22x16	X17x22x17	X17x22x18	X17x22x19	X17x22x20	X17x22x22	X17x22x23	X17x22x24	X17x22x25	X17x22x26	X17x23x11	X17x23x12	X17x23x13	X17x23x14	X17x23x15	X17x23x16	X17x23x17	X17x23x18	X17x23x20	X17x23x21	X17x23x23	X17x23x24	X17x24x12	X17x24x13	X17x24x14	X17x24x15	X17x24x16	X17x24x17	X17x24x19	X17x24x20	X17x24x21	X17x25x15	X17x25x16	X17x25x19	X17x25x20	X17x9x11	X17x9x12	X17x9x13	X17x9x14	X17x9x15
Erythrocytes_2	0	0	0	0	0	0	0	0	0.0366999216278363	0	0	0	0	0	0	0.0340352696123833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0251134425437014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00087229502614054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0207650771655265	0	0	0	0	0	0	0	0	0	0.0297866455439599	0	0	0	0	0	0	0	0	0	0	0.0342362351832753	0	0.0220548871080541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0298525413813572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386763532317073	0	0	0.0258378880071379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162173467121745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0537829531991359	0	0	0	0	0.0165208667976425	0	0.0135019811692406	0	0	0.00809545214716747	0	0	0	0	0	0	0	0	0	0	0	0.026780592761749	0	0	0	0	0	0	0	0	0	0.0151680748671919	0	0	0	0
Epicardium_derived_cells	0.0650207050385539	0.103463608108883	0	1.54348376123221e-18	0	0.0231105115839926	0.0784926914540448	0.0886981642463262	0	0	0	0	0	0	0	0	0	0.045699388759429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101919853276693	0	0	0.000549107362049739	0	0	0.0874812244974908	0	0	0	0	0.0743796037079078	0	0.139067838053574	0	0	0	0	0	0	0	0	0	0	0.0218427970982907	0	0	0	0.0393265256471413	0	0.208722187368886	0	0	0	0.0831583273102778	0	0	0.000248400034571933	0.0947212495071239	0	0	0	0.024299319405818	0	0	0	0	0.0745020877479126	0	0.00459093113535124	0	0.225999138552385	0	0.0179049478718539	0.253383181763136	0	0	0	0	0	0.0501706695243106	0.0268605892070662	0	0	0.0665682793320315	0	0	0	0	-1.1210911992874e-19	0.0121946494736171	0	0.103011881775366	0.292967840516883	0	0	0	0	0	0	0.0605842369828614	0	0	0	0.127941810183241	0	0	0	0	0	0	0	0	0.335549615172102	0	0	0	0	0	0	0	0.043346798763292	0.111276498781533	0	0.287710251661144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0517033763611549	0	0	0.0576736090822165	0.0677103011992744	0	0	0	0	0.167558448560899	0	0	0	0.232930308976315	0.0544975283380705	0.0758928066334519	0.043826036243294	0	0	0	0	0.092610377030268	0	0	0	0	0	0	0	0	0	0	0.108636914848748	0.177473752816205	0.235783528227793	0.085632669980456	0	0	0.0617959574506237	0	0	0.0155152014944031	0.0216541448809881	0	0.00822191568199381	0	0	0	0	0	0.240124735366949	0.0509519836596085	0	0.054946793274645	0.0804860126258543	0.0653843152344381	0	0.0950281685977001	0	0	0	0	0.146268045796844	0	0.0252361328039729	0	0	0.231868366615657	0	0	0	0.248785810071765	0.229936445149906	0	0	0.0935604911022156	0	0.0505786557081594	0.038224496573626	0
Fibroblast_like_1	0	0	0	0	0	0	0	0	0	0.0985736104827642	0	0	0	0	0	0	0	0	0	0.0262814353414957	0	0	0	0	0.0829173379848974	0	0	0.0520809312150507	0	0.0288431017931584	0	0.0411669477731872	0	0	0	0	0	0	0.0950713413972502	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0931572220690189	0	0	0	0	0	0	0	0	0	0	0	0.0537204749573058	0	0	0.178084364600317	0	0.135216280405555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0616267360239993	0.375510893311379	0	0	0.310109177408396	0.313981119520965	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226657033984679	0.313413096966327	0.120155529832324	0	0.279763305841545	0	0	0	0	0	0	0	0	0	0	0	0.0421484175423386	0.252106359535205	0	0.258797704824101	0.402372177110985	0.407941149841367	0	0	0	0	0	0	0	0	0	0	0	0	0.112239684820963	0	0	0	0	0.416082437498586	0.477076708624778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0886338351378938	0	0.0672728627350362	0	0.00212878994538902	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215724006549209	0	0.0185710018454873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0405795675261306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249679076887648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.474222548673444	0.612416602945863	0.845478263305155	0.689515390848244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147134515863257	0	0	0.360096690987858	0.728574709548664	0	0	0	0	0	0	0	0	0	0	0	0	0.168802573187793	0.161523914625867	0	0.47537838860726	0	0.562603207498933	0.406463177234311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196846296056303	0.872866155072681	0.360848598465598	0.969491272904144	0.485725553200903	1	0.256748462971999	0	0	0	0	0	0	0	0	0	0	0	0.150926175115619	0	0.513224866577456	1	0.515192020249215	0.368759278410287	0.700087545538354	0	0	0	0	0	0	0	0	0	0	0	0	0.144137795791507	0.703750958146139	0.161154728315297	0.734668530743623	0.648936442685138	0.972033322047473	0.821375341529344	0.283236850428238	0	0	0	0	0	0	0	0	0	0	0	0	0.21139754994692	0.728197182472321	0.606409833195642	0.36798490333358	0.982666990537486	0.941185610684949	0.528216250793567	0.29093294582654	0	0	0	0	0	0	0	0	0	0	0	0.558750417714352	0.493346914274061	0.98895128791938	0.846761374308079	0.829442845130631	0.930170129124533	0	0	0	0	0	0	0	0	0	0	0.376488852940772	0.355775762852403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104920337970362
Fibroblast_like_2	0	0	0.20743390984976	0	0	0	0	0	0	0	0.0490466527760045	0.0186842079497736	0.122256928120141	0.138952160579633	0.050513141111733	0.183596284697325	0.0890962298642637	0	0	0	0	0.133405390878056	0	0.122803699916401	0	0.0378856095581179	0	0	0	0	0	0	0	0	0.0369271845828915	0.0968939535173928	0	0	0.00367141804271031	0	0.0467220488001445	0	0	0	0	0.0411383310221521	0	0.088105783127975	0	0.0853267820167715	0	0	0	0.282628826816098	0.348599354494085	0.244422305769845	0.0651937823903763	0.132728463921714	0	0	0	0	0	0	0	0	0	0.123836991897676	0	0	0	0	0.168180247307224	0	0	0	0	0	0.0226097158930209	0	0	0.0804287653168131	0	0	0	0	0.118937333942255	0	0.405641738218179	0	0	0	0	0	0	0	0	0	0	0.116316417853247	0.133581714390295	0	0	0	0	0.250793196053484	0.219726437376105	0	0	0	0	0	0.0820729106563689	0	0	0.0678117773175165	0	0	0.0655579691971486	0	0.0702615782055716	0	0	0	0	0	0.361108000705193	0	0	0	0	0	0	0.0831948839922278	0	0	0.253510183731459	0.0558521487900665	0	0	0.0818905382426036	0	0	0	0.0592493638335509	0	0.137735556157643	0	0.168803895838363	0	0	0	0.209779569449693	0	0	0	0	0	0.168022758632569	0	0	0	0	0	0	0	0	0.176809004178058	0	0	0	0	0	0	0.121481640384154	0	0	0	0	0.163446581946098	0	0.255942819197151	0	0	0	0	0	0	0	0	0	0	0	0.181985914493579	0	0.0872124573575491	0	0	0	0.166259852013788	0.00109903913181692	0.174217898186773	0	0	0	0.0698298708754673	0	0	0	0	0	0	0.227236176308591	0.127460703580261	0	0	0.259552148579894	0.340415303496856	0	0.0719221763819871	0	0.189487058580587	0	0	0.106030568405443	0	0	0	0	0	0	0	0.0854761792633095	0	0	0.045325451947197
Endothelium_pericytes_adventitia	0.13969320899357	0.190857656087508	0.00444803118783765	0.106468358022157	0.125911137515642	0	0.180927011352098	0.116394512074922	0.119153178522449	0	0	0	0.0519872756405797	0.0931747646323308	0.251792485295754	0	0	0.0380521021084375	0.0397738644628691	0	0	0	0.0384386605977821	0.0753024635670647	0.0487776427485862	0.0975214723250851	0	0.10023114278524	0	0.0773492964591322	0	0	0	0.0364542516362856	0	0.0625798398508397	0.0371322226358094	0	0.0443670738889771	0.00611497353899051	0.154945280994521	0.116154427059191	0.139098283912908	0.0456747373911654	0.000294765576065678	0.0239942977363087	0.166184444803627	0	0	0.0698933848325729	0.033219577618744	0.00886551774421577	0.0612166338823923	0.100820718455991	0.00217966269157564	0	0	0.140886552075085	0.119224986327128	0	0.0261972603321428	0	0.13204447908336	0	0.0241367149069656	0.0124734516796875	0	0.18164362111397	0.0643620117926275	0.0767345177061915	0	0	0	0.0638900981581084	0.120108696603453	0.0794107076020395	0.0941107205679093	0.0470630945463609	0.0680370280500181	0.168450065597613	0.139039853713611	0.039101509538434	0.0556664549047571	0.155112693632484	0.0283078140182517	0.0797285791728011	0.124763863532681	0	0	0	0	0.21262056879217	0.0929187239838359	0	0	0	0.00520986371867445	0.0958357797375276	0.0652414091444036	0.109722750714779	0.0528957761367262	0	0	0.0466307817883535	0.0698814540636665	0.0938172977024319	0.304895174016636	0.0957695627899469	0.126325184595184	0.286368260885497	0.262759508051748	0	0.036030491315327	0	0	0	0.0903764494563032	0	0.0534014491855628	0.0535322055374507	0	0	0.0511228540209717	0	0	-9.68029191509357e-20	0.123846154318632	0	0.00271977463420562	0	0.0382268498901201	0	0	0.00343726575266476	0	0.0783171787569908	0.0600412399759791	0	0	0.0273851085986347	0	0	0.0897525050899145	0.269433813750145	0.189403999736425	0	0.148927289786744	0	0	0.0847866995081889	0	0	0	0	0	0	0	0.0586809509553727	0	0	0	0.0537894997747215	0.0924852509372732	0.00090844809987431	0.198058606521341	0	0	0	0.000219833498664655	0.164364296801357	0.108766148093411	0.0903937333851993	0	0	0.114535215796534	0.0657730407682876	0	0	0.0857252400594779	0	0	0.139390038004087	0.115779300294907	0.0588765388300267	0.110353681087748	0.0173330094625136	0	0.0847468517939246	0.139660459703527	0	0.0618645163353457	0.0689237561968293	0	0	0	0.0635898223225947	0	0.0815507431539667	0	0	0.0746084715458978	0	0.0110487120806196	7.2645397098347e-19	0	0	0.0302209429640345	0.0811596397583831	0.0574673600367445	0	0	0.0299452713620201	0	0.166938159552426	0.0575325692569325	0	0.0755580780714249	0.037603105867227	0.162047596075434	0.0801703801856933	0.305679682617943	0	0.0814061083867821	0.0113142560359468	0	0	0	0	0	0	0.0225244955519359	0.296193668881543	0.120016004637064	0.191538959008955	0.170036627062091	0.168221531631462
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0.0154348352035709	0	0.0122755240414575	0	0	0	0.131444252312255	0	0	0	0	0	0	0	0	0	0	0	0.00924857003616373	0.0078364821199255	0	0	0	0.0124111034013227	0	0.0197213827975067	0	0	0	0	0	0.127859918950469	0	0.0654631972624651	0.00191918478968324	0	0	0.0503455865023417	0	0.0141248223957662	0	0	0	0	0	0.0166824362553291	0	0.0289358862065856	0	0	0	0	0	0	0	0	0	0	0	0	0.0188617007179009	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111755419308148	0	0.0094491710336726	0	0	0	0	0	0.0119709597752731	0	0	0	0	0.0151581102667895	0	0	0	0	0	0.0191195048213499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154663339779303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0947609834394806	0.00925554341267488	0	0	0	0.0205128948437614	0	0.0194288538918825	0.153015395510377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208399153434033	0	0	0.0201103835076331	0.0835111162710604	0	0	0	0	0	0	0	0	0	0	0.156366152890813	0	0	0	0.0171867426284113	0	0	0.0113410884250209	0	0	0	0	0	0	0	0	0	0	0	0	0.0628770442520092	0.00341339808232281	0	0.100034426261735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0205504765116788	0	0	0	0	0	0.0150415259922434	0	0	0.102974100144934	0.0329182430195253	0.0384433533185078	0.0193619274091364	0	0	0	0	0	0	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0.0505822021921255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0459716425000466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.278630103608299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00891700616944696	0	0	0	0.0784072483843038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204156680104825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315159336677292	0	0.0907303467133451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234305460216204	0	0	0	0	0	0	0	0	0.0021969628804541	0	0.000735271706929444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786837998543187	0	0	0.087015556835665	0	0	0	0	0.00271279327006171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0498518191477795	0	0	0	0	0	0	0	0	0	0	0.102868397382911	0	0	0	0	0	0	0
Capillary_endothelium	0.0659366198046016	0.0008229561095728	0	0	0	0.0515707437016305	0	0.0642209764049503	0	0	0.124060692706875	0.236457829130095	0	0	0	0.0201058541135249	0.0439209632089987	0.0977518160334084	0	0.105054894333129	0.143227724910079	0.0606055117250583	0.0776623735033349	0	0	0	0.0614210944802054	0	0.174380762289204	0.0967146325791056	0.136193352079319	0.0246799076723539	0.0893288472776722	0.169279120103241	0.0887459986758791	0	0	0.0422316988379363	0.0308561840057079	0	0	0.0761296634790807	0.113854348191966	0	0.211194778840274	0.172870452259853	0.0702572130811545	0	0.0851300117282913	0.0307240825525576	0	0.0461006641717448	0	0	0	0	0	0.0294756159635354	0.0224560427827791	0.0545420665724322	0	0	0	0.0609568984421732	0.154901107012413	0.0662827543621896	0.0232364095813196	0	0.150287050611967	0	0	0	0	0	0.0744169471529414	0.0602766973652235	0.0421431194616401	0.0487407066256657	0	0.0234096958125268	0.0791300386500143	0	0.0389533378183952	0	0	0	0	0	0	0	0	0.0512574372955368	0.0774088538080352	0.121275968136088	0.114723121878138	0.158107980781851	0.0758218163778402	0.0573918743568935	0.0712290020991456	0.0138032540808564	0	0	0.133089005337001	0.153303396393667	0.225762266285587	0.346796975169776	0	0	0	0	0	0.0516509101148361	0.100149722224523	0.0881906161432299	0.127926045776094	0.259244049786835	0.122045452722317	0.0509163404111839	0.0635051117506066	0.0153933352817946	0.0604691843800983	0.0329295673114852	0	0.123958564358847	0.0765877349158578	0.127133844927319	0	0.0281777057730153	0	0	0	0.357477283396227	0.0825555280592302	0.14462624476464	0.360860388305659	0.0442919218490736	0.0299477271720833	0.00757176847286954	0.0752090528953298	0.116974666578227	0	0.0165721843381403	0.0123736909388912	0.00957011629742991	0.173070318951455	0	0	0.0623293268282636	0	0	0.18549093303699	0.0726223444218345	0	0.104633367472388	0.0487475041646313	0.0359738098933792	0.104626133899145	0.0804666612363996	0	0.0261854032745173	0	0	0	0.226359701090009	0	0	0	0	0	0	0	0	0.0620569590054342	0.272307827031555	2.46097623995008e-05	0.195331439787588	0.128863202362887	0.236865203263498	0.202482776289836	0.00799198152235892	0.0264719963802837	0	0	0.149958188699394	0.0366689911088045	0	0.0449447161795282	0	0	0	0.0386822410508648	0.0649037358281526	0.161158387409099	0.0376926687386889	0	0.093142592474072	0.142058308649658	0	0.0661157761512931	0	0	0	0	0	0	0	0.0341970060944579	0	0.0787315308858058	0	0.0401659648342056	0.0589176563800228	0	0	0.070360547152599	0.0641972165020756	2.40078010764073e-19	0	0.0695050453870275	0.0374206905967558	0	0	0.0579186229819603	0.0273823873147025	0.0646021387979051	0	0	0.0704742726490183	0.0636300123539353	0	0.0345019751449848	0	0	0.0148010754804113	0	0
Erythrocytes_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000732360958686602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0539623570481935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108165656806266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0443801394087842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0508982198637806	0	0	0	0	0	0	0	0	0	0	0	0	0.064671742381601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0704214597423844	0	0	0	0	0	0	0	0	0	0.0774837874406478	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198868895361595	0.019256793246995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0610544079672208	0	0	0	0	0
