X18x10x10	X18x10x11	X18x10x12	X18x10x4	X18x10x5	X18x10x6	X18x10x7	X18x10x8	X18x10x9	X18x11x10	X18x11x11	X18x11x12	X18x11x3	X18x11x4	X18x11x5	X18x11x6	X18x11x7	X18x11x8	X18x11x9	X18x12x10	X18x12x11	X18x12x12	X18x12x13	X18x12x4	X18x12x5	X18x12x6	X18x12x7	X18x12x8	X18x12x9	X18x13x10	X18x13x11	X18x13x12	X18x13x13	X18x13x14	X18x13x19	X18x13x20	X18x13x21	X18x13x22	X18x13x23	X18x13x5	X18x13x6	X18x13x7	X18x13x8	X18x13x9	X18x14x10	X18x14x11	X18x14x12	X18x14x13	X18x14x14	X18x14x15	X18x14x18	X18x14x19	X18x14x20	X18x14x21	X18x14x22	X18x14x23	X18x14x24	X18x14x5	X18x14x6	X18x14x7	X18x14x8	X18x14x9	X18x15x10	X18x15x11	X18x15x12	X18x15x13	X18x15x14	X18x15x15	X18x15x18	X18x15x19	X18x15x20	X18x15x21	X18x15x22	X18x15x23	X18x15x24	X18x15x4	X18x15x5	X18x15x6	X18x15x7	X18x15x8	X18x15x9	X18x16x10	X18x16x11	X18x16x12	X18x16x13	X18x16x14	X18x16x15	X18x16x16	X18x16x17	X18x16x18	X18x16x19	X18x16x20	X18x16x21	X18x16x22	X18x16x4	X18x16x5	X18x16x6	X18x16x7	X18x16x9	X18x17x10	X18x17x11	X18x17x12	X18x17x13	X18x17x14	X18x17x15	X18x17x16	X18x17x17	X18x17x18	X18x17x19	X18x17x20	X18x17x21	X18x17x22	X18x17x5	X18x17x6	X18x17x7	X18x17x8	X18x17x9	X18x18x10	X18x18x11	X18x18x12	X18x18x13	X18x18x14	X18x18x15	X18x18x16	X18x18x17	X18x18x18	X18x18x19	X18x18x20	X18x18x21	X18x18x22	X18x18x23	X18x18x5	X18x18x6	X18x18x7	X18x18x8	X18x18x9	X18x19x10	X18x19x11	X18x19x13	X18x19x14	X18x19x15	X18x19x16	X18x19x17	X18x19x18	X18x19x19	X18x19x20	X18x19x21	X18x19x22	X18x19x23	X18x19x24	X18x19x6	X18x19x7	X18x19x8	X18x19x9	X18x20x10	X18x20x11	X18x20x12	X18x20x13	X18x20x14	X18x20x15	X18x20x16	X18x20x17	X18x20x18	X18x20x19	X18x20x20	X18x20x21	X18x20x22	X18x20x23	X18x20x7	X18x20x8	X18x20x9	X18x21x10	X18x21x11	X18x21x12	X18x21x13	X18x21x14	X18x21x16	X18x21x18	X18x21x19	X18x21x20	X18x21x21	X18x21x22	X18x21x8	X18x21x9	X18x22x10	X18x22x11	X18x22x12	X18x22x13	X18x22x14	X18x22x15	X18x22x16	X18x23x11	X18x23x12	X18x23x15	X18x8x6	X18x8x7	X18x8x8	X18x9x10	X18x9x11	X18x9x5	X18x9x6	X18x9x7	X18x9x8	X18x9x9
Erythrocytes_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0170579885676613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0563554676465532	0	0	0	0	0	0	0	0	0	0	0	0	0.0370152983050315	0.0268605470238396	0	0	0	0	0	0.0365570258766941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00704392216024121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0214479149557708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156719684676844	0	0	0	0.0253513309130727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160178288875934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141784366044531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161150477579228	0	0
Epicardium_derived_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417762746461778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10343285630808	0	0	0	0	0	0.136199424441123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320330715860693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109979994606113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast_like_1	0	0	0	0	0	0	0	0	0	0	0.106111197672698	0	0.0503633498067622	0	0	0.0431031190319744	0	0	0	0	0	0	0	0	0	0.0437805434899997	0	0	0	0.0542150510340237	0	0	0	0	0	0	0.0576265764412114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0959300729541475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265739579085915	4.41183532983555e-19	0	0	0	0	0	0	0	0	0	0.0443787204415887	0	0	0	0	0	0.252542506453111	0.535093091580863	0	0.0997299690420697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164418412003067	0.150128706787684	0	0	0	0	0	0	0.0159014095818073	0	0	0.116194570229836	0	0	0	0	0	0.17235640942191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259490929379273	0	0	0.0659780320359519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107434570801888	0	0	0	0.0384842321542447	0	0	0	0	0	0	0	0	0	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0.105947052296732	0.0311389141299283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0361844682079813	0.164422346932602	0.731188738525059	0.806744069129093	0.58767604632529	0.680049687440615	0	0	0	0	0	0	0	0	0	2.25164124014886e-19	0.386027113464703	0.65092092653763	0.866884151182292	0.989279653058254	0.751546703574522	0.921560260072269	0.47511844848097	0.65122532944069	0	0	0	0	0	0	0	0	0	0.102816912629509	0	0.619049357077353	0.93903684102341	0.910736253121356	0.568141688655156	0.758792864682543	0.588724426893531	1	0.0677284828508583	0	0	0.0583844390715861	0	0	0	0	0	0	0	0	0.494807950319034	0.793626301857513	0.787688763278868	0.971809745312642	0.833181160128423	0.79376697432764	0.774441557003605	0	0	0	0	0	0	0	0	0	0	0.0613961654534977	0.00587936465747374	0.660365178591877	0.586303439474101	0.737583489176126	0.814410645064857	0.610686211595922	0.93121637336058	0	0	0.0391569916915299	0	0	0	0	0	0	0	0	0.776031714028462	0.548555447480723	0.928402075625418	0.930113708996661	0.936806876376888	0.827646104421167	0.972971330508405	1	0.212460504997844	0	0	0	0	0	0	0	0	0.0368969273381786	0.183401503677805	0.9127476422714	0.614987680482208	0.698171390797717	0.59846474087582	0.876722914376714	0.824922410096501	0.866162106058473	0.955166800896431	0	0.00120080027009489	0	0	0	0	0	0	0	0	0.495837053458963	0.589163941152485	0.975244956297733	0.864141499731858	0.641944952938007	0.969772595450041	0.949259767828189	0.865881730301079	0	0	0.0423085993729971	0	0	0	0	0	0	0.63951710971906	0.816127794570299	0.816726345718606	0.887933634728796	0.636172569760124	0	0	0	0	0	0	0	0.0335288284131345	0.0170487302928523	0	0.100479675550065	0.113288797475833	0	0.000194250150607113	0	0	0	0	0	0	0	0
Fibroblast_like_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.83765379995864e-20	0.117623841485361	0	0	0	0	0	0	0	0	0	0	0	0.0620878436620769	0	0	0	0	0	0.108370666343609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01814404668416	4.3908233379389e-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221693535231387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208936762326369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0577402732277355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endothelium_pericytes_adventitia	-8.71176763866864e-20	0.00739489907929144	0.0537613537577109	0.112426078030292	0.011398789170399	0.143200519179122	0	0	0	0.0144251519576979	0.104791600285547	0.218199132025494	0.235363205331612	0	0.115114395485341	0.086738912219587	0	0	0	0	0.0600953009278132	0.206076627793195	0.075105867086311	0.0621770752209951	0.0184378532945331	0.0241110362051517	0	0	0	0	0.0638591804459184	0.121304515488346	0	0.102389474483742	0	0	0.0792738867831423	0	0.129172566738937	0.0709110526831339	0	0	0	0.141424265783544	0.0168248924473527	0.0171442209595238	0.0725655592941528	0.114441746117535	0.105272646564564	0.186709448326203	0.227141278783122	0.133115848817708	0	0.116496069850284	0	0	0	0	0.0506178781258163	0.0194276966809532	0.102289746605128	0.142995965902294	0.0373505728002201	0.055857820769563	0.0957406398917134	0.0880384064140675	0.145460404268267	0.454894410276403	0.244894125442636	0	0.0312042284411227	0.1295865384724	0	0	0	0.0873251003009425	0.0860833442885254	0	0	0	0.0364901255949112	0	0.0447684795654174	0	0.0319006339799299	0.0228905191678239	0.0403582684301248	0.206113575385096	0.0438679497587884	0.166634929191485	0	0	0.160110504409609	0.101780325003527	0.064508408448608	0	0.0248694866216218	0	0.0431324587736028	0.112159950092144	0.185563728715288	0.0766142154870936	0	0.0510018827298249	0.0881610384421042	0.113544665684131	0	0.10855468549823	0	0	0	0.0674269928776543	0.060385079419178	0	0	0	0	0.0528570885833898	0.0675408993859223	0	0	1.55692136230952e-20	0.102288854754602	0.0830586434970969	0	0	0	0	0.0765621687474301	0.027028669491595	0	0	0	0	0	0	0	0.0646246975825944	0.106871087033953	0.0506149480982548	0.120010189477463	0.09518366837786	0.0872523577285998	0	0.135945138359086	0.108577907395039	0	0	0.121170091912211	0.0352760727796644	0.0986918644276822	0	0	0.0506333545346372	0.0216078836332428	0	0.0881680475097823	0.0418775673343457	0.174394386282861	0.0626486039470133	0.234267975387511	0.116656640687945	0	0	0.208165077864599	0.0302274045499593	0	0	0.065245958818209	0	0.0662247786568247	0	0	0	0.175295802568289	0.168067656973686	0.0425066019739351	0.1463345858429	0	0	0.0211389782454273	0.247905468823669	0	0	0.122575225495309	0.0662955623174841	0.0332758662289418	0.0600573954184277	0.102639091143501	0	0	0	0.0833961848823617	0	0.0651078469536612	0.112911266970909	0	0.0205810129604416	0	0.270316509433013	0.0209408548776015	0.0217883523049165	0.0325093335277074	0
Myoz2_enriched_cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0.00991756348856773	0	0	0	0	0	0	0	0	0.0127200374348258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0193615562392113	0.0141488298092449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00797759663741741	0	0	0	0	0	0	0	0	0	0	0.0725830665809056	0	0	0	0	0	0	0.0146614430850733	0	0	0.0149735042605047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154823453085913	0	0	0	0	0	0	0	0	0	0	0.136657644503305	0	0	0	0	0.193794856184293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12089371080015	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336538712010454	0	0	0	0	0	0	0	0.194168682843992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138981752113352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0350708617816771	0	0	0	0	0	0	0	0	0.0126230365960023	0	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173599523156688	0	0	0	0	0	0	0	0	0	0	0.0122952612558153	0.268811261474941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0499929393328304	0	0	0	0	0	0	0	0	0	0	0	0.065121279971481	0.0486037499609602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120440971726141	0	0	0	0	0	0	0	0	0	0	0	0.0214263848718114	0	0	0	0	0	0.0715384659899339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119363383797278	1.58739491334449e-20	0.0910711876547017	0	0.0423849119525822	0	0.0901119435438727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0507402321718114	0.134118269698921	0	0	0	0	0	0	0	0	0	0	0	0.0348087847659509	0	0.0581816881884712	0	0	0	0	0	0	0.0261990123425278	0.0572695119135095	0	0	0	0	0.105057847030139	0	0	0	0	0	0	0	0	0
Capillary_endothelium	0.0844313207287298	0.0408364961492356	0.0730711636903623	0.0667704322608913	0.0421646588792645	0.026192559622705	0.128495717094215	0.0832020845765841	0.171814513164275	0.188813075858798	0	0	0	0.108813959785636	0.0339200600115735	0.198550484959821	0.13222161407379	0.134116910317096	0.196469271247231	0.0541035814792378	0.0466992185327545	0	0.0673590650329125	0.021797723453358	0.14361076872276	0.109998984811611	0.118690854092113	0.0971581102987737	0.0755682868910025	0	0.0787032469809475	0.0280054994330852	0.0682848564517435	0.179258612676338	0	0	0	0.364152928700393	0	0.0684339691470075	0.0774515779287697	0.0493589016186496	0	0.0231420114195682	0.0174267161253895	0.0499288477976784	0	0	0	0	0	0	0	0	1.2614525098295e-19	1.18345395724382e-18	0	0.122710744847456	0.0449455909606064	0.0268230782078584	0.0539473765765899	0.0524311092370788	0.0722776702906401	0	0	0	0	0.0319208080622531	0	0	0	0	0	0.0879367572421105	0	0.0840233918493509	0.0211855140751685	0.0642093008851829	0.0578286427551936	0.142336674888508	0.0283472526002113	0.0508348243165793	0.111975929234507	0	0.0869573557084541	0.0656959868176621	0.115209185510678	0	0	0	0	-4.7957104203101e-19	0	0.0687445403691671	0.0426074629131754	0.041732002609602	0.0802630161532897	0.104759821096416	0.0578787926737821	0.167240147409205	0.0276083019445846	0.0295483924383736	0.193853191522651	0.0757904046110916	0.0255666041553937	0.281894412940979	0.0483710395662814	0	0.0526496259455784	4.94682476868503e-19	0.0623928336193973	0	0.0981263984316445	0.06168063691995	0.187501511510929	0.0697148837534206	0.0974037940043301	0.171701851764429	0.08006544861377	0.171632363497103	0.13364153020675	0.0502730680656585	0.0739303660019164	0.124292614679058	0	5.94583846479252e-05	0	0	0	0	0	0	0.0629561788571968	0.110170247955324	0.0159851015785426	0.0542595122267117	0.135815621863856	0.284472625005215	0	0.0680588654059481	0.0201481877894755	0	0	0.202185212538705	0.151689631526704	0.00135087074767107	0	0	0	0	0.0453597634473017	0	0.0565113630623978	0.0862565710053954	0.171800561861193	0.108286461968209	0.0956723333735188	0.0834975739408601	0.0192375477004444	0.200485323605047	0	0	0	0.0610246074240536	0.0351322354638652	0	0	0	0.123103100203792	0.0365515457561481	0.043278670922686	0.162827862042029	0.118300535695905	0.0726840589004143	0	0.0461795289573478	0	0	0	0.0245473382239936	0	0	0.0962428328060806	0.0304437489463841	0.0551216839673368	0.0804830350792783	0.0404327781844926	0.0523502506901376	0.243299256575545	0.0774014244754888	0.0539273799737629	0	0	0.102792376645467	0.084083759294559	0	0.0779994982191731	0.0253712717690955	0.113511319285129	0.0892344638003634	0.0512085343940359	0.109647041692861	0.0282624616918189	0.0648540308563377
Erythrocytes_1	0	0	0	0	0	0	0	0.039194950368054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101696046216844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00560248592861441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117321621259832	0	0	0	0	0	0	0	0.037671306996606	0	0	0	0	0	0	0
