X19x10x10	X19x10x11	X19x10x12	X19x10x13	X19x10x14	X19x10x7	X19x10x8	X19x10x9	X19x11x10	X19x11x11	X19x11x12	X19x11x13	X19x11x14	X19x11x15	X19x11x7	X19x11x8	X19x11x9	X19x12x10	X19x12x11	X19x12x12	X19x12x13	X19x12x14	X19x12x15	X19x12x16	X19x12x21	X19x12x22	X19x12x23	X19x12x24	X19x12x25	X19x12x26	X19x12x6	X19x12x7	X19x12x8	X19x12x9	X19x13x10	X19x13x11	X19x13x12	X19x13x13	X19x13x14	X19x13x15	X19x13x16	X19x13x17	X19x13x20	X19x13x21	X19x13x22	X19x13x23	X19x13x24	X19x13x25	X19x13x26	X19x13x6	X19x13x7	X19x13x8	X19x13x9	X19x14x10	X19x14x11	X19x14x12	X19x14x13	X19x14x14	X19x14x15	X19x14x16	X19x14x17	X19x14x18	X19x14x20	X19x14x21	X19x14x22	X19x14x23	X19x14x24	X19x14x25	X19x14x7	X19x14x8	X19x14x9	X19x15x10	X19x15x11	X19x15x12	X19x15x13	X19x15x14	X19x15x15	X19x15x16	X19x15x17	X19x15x18	X19x15x19	X19x15x20	X19x15x21	X19x15x22	X19x15x23	X19x15x24	X19x15x25	X19x15x7	X19x15x8	X19x15x9	X19x16x10	X19x16x11	X19x16x12	X19x16x13	X19x16x14	X19x16x15	X19x16x16	X19x16x17	X19x16x18	X19x16x19	X19x16x20	X19x16x21	X19x16x22	X19x16x23	X19x16x24	X19x16x25	X19x16x7	X19x16x9	X19x17x10	X19x17x11	X19x17x12	X19x17x13	X19x17x14	X19x17x15	X19x17x16	X19x17x17	X19x17x18	X19x17x19	X19x17x20	X19x17x21	X19x17x22	X19x17x23	X19x17x24	X19x17x25	X19x17x7	X19x17x8	X19x17x9	X19x18x10	X19x18x11	X19x18x12	X19x18x13	X19x18x14	X19x18x15	X19x18x16	X19x18x17	X19x18x18	X19x18x19	X19x18x20	X19x18x21	X19x18x22	X19x18x23	X19x18x24	X19x18x25	X19x18x26	X19x18x7	X19x18x8	X19x18x9	X19x19x10	X19x19x11	X19x19x13	X19x19x14	X19x19x15	X19x19x16	X19x19x17	X19x19x18	X19x19x19	X19x19x20	X19x19x23	X19x19x24	X19x19x25	X19x19x7	X19x19x8	X19x19x9	X19x20x10	X19x20x11	X19x20x12	X19x20x13	X19x20x14	X19x20x15	X19x20x16	X19x20x17	X19x20x18	X19x20x19	X19x20x20	X19x20x21	X19x20x22	X19x20x23	X19x20x24	X19x20x8	X19x20x9	X19x21x10	X19x21x11	X19x21x12	X19x21x13	X19x21x14	X19x21x15	X19x21x16	X19x21x18	X19x21x21	X19x21x22	X19x21x23	X19x21x9	X19x22x11	X19x22x12	X19x22x13	X19x22x14	X19x22x15	X19x22x16	X19x22x17	X19x22x18	X19x23x13	X19x23x14	X19x23x15	X19x23x17	X19x23x18	X19x8x11	X19x8x12	X19x9x10	X19x9x11	X19x9x12	X19x9x13	X19x9x8	X19x9x9
Erythrocytes_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203700626960335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021759881681001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212122500131528	0.0258086593333542	0	0	0	0.0148699228161093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0349340316780766	0.0216069953846362	0	0	0.0203710309899763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0345654361651963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217685916148027	0	0	0	0	0.0637835741712984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0230496507487689	0	0	0	0	0.0212650731607452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epicardium_derived_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194193616881382	0.000793776148992912	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422882736935997	0.0453112374556579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0338330405982681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214690165313879	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134471609464322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164720677658943	0	0	0	0	0.0814410610569609	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177003376975065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140109783876192	0.505998127301461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast_like_1	0	0	0.0530967579484571	0	0.0470156035052564	0	0	0.0526718636250891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.15822165007372e-18	0	0	0	0	0	0	0	0.114296462607729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00980285147481041	0	0.0334962178560897	0.197362364300068	0.0251455387237986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165646689950274	0.327796138982401	0.00594552804472278	0	0.117243036160187	0	0.0824075801976063	0	0	0	0	0	0	0	0	0	0.162060491699521	0	0.04577438661263	0	0.840476197410124	0.160655194408021	0.152164547703277	0	0	0	0	0	0	0	0	0	0	0.0636249660440924	0	0	0	0	0.0624712343366819	0.18742476927522	0	0	0	0	0	0	0	0	0	0	0	0	0.189409647558102	0	0	0	0	0.181581353587726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.304864043528982	0	0	0.0171869059810249	0	0	0	0	0	0	0	0	0	0	0	0	0.053831195763589	1.98430202658267e-19	0	0	0	0	0	0	0	0	0.135521934913258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121402629356461	0	0	0	0	0	0	0	0	0	0	0.225815049237049	0
Smooth_muscle_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.558548265833385	0.746536442697262	0.666744175827608	0.79070767924135	0.587599285423134	0.747168711384372	0	0	0	0	0	0	0	0	0	0	0	0	0.192883635615034	0.885303967874566	0.842177238658691	0.914895211758145	0.997815076432697	0.712985992339848	0.705908506610741	0	0	0	0	0	0	0	0	0	0	0	0	0	0.518153296847516	0.903153246168745	0.806891224656972	1	0.949501698198738	0.528818271865414	0	0	0	0	0	0	0	0	0	0	0	0	0.361229826674011	0.624934992288315	0.770374321670656	0.958016839063526	0.69264503447665	0.846571226756147	0.55681182687433	0	0	0	0	0	0	0	0	0	0	0	0.0064454088970176	0.614417394731089	0.333951585940819	0.877962332938597	0.850112574169794	0.935913951079489	0.567049265443849	0.706135437560581	0	0	0	0	0	0	0	0	0	0	0.35586329408055	0.681113473636025	0.88786636360971	0.880922139695464	0.789379908948927	0.704776653888336	0.569501634676051	0.54036211361728	0	0	0	0	0	0	0	0	0	0	0	0.422112441464172	0.730760728799832	0.718252855186013	0.838009822737938	0.871607283113917	0.881639893726443	0.724898969662004	0.876949620246733	0.594722539474962	0	0	0	0	0	0	0	0	0	0	0.237601389064694	0.911255069363469	0.619390296952933	0.617188779075852	0.742908269075645	0.639358727174283	0	0	0	0	0	0	0	0	0	0	0	0.337237551060221	0.344387166425634	0.702766563921622	0.907047546415664	0.976723359107303	0.991865688936911	0.777844320305216	0	0	0	0	0	0	0	0	0	0	0.721356479190052	0.735127913897032	0.741184361936245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast_like_2	0.307112110987057	0	0	0	0	0.247190064560107	0	0	0	0	0	0	0	0	0	0	0	0.0513199613305101	0	0.108834835608456	0	0	0	0	0.215519632481742	0	0	0	0.0924594885289148	0.0235364518602177	0	0.142265845642979	0.0414197441978891	0.144036743642817	0	0.324833069228641	0	0	0	0.0154030286798435	0	0	0	0	0	0	1.11243916995399e-19	0	0	0	0.320259499298129	0.0975499363855781	0	0	0	0	0	0	0	0	0	0	0.0551715436777121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218941207116483	0.269458179307214	0	0	0.027878028621498	0	0.0919737468519767	0.0186892058171832	0.0688777078345296	0	0	0	0	0.0677577314137518	0	0	0	0	0	0	0.0899754088749261	0	0	0	0	0	0	0	0.113459368317118	0	0	0	0.148631379863483	0	0.203252225361515	0	0	0	0.000234298932232522	0	0	0.155948613242731	0	0	0.170377093692956	0	0	0.181856929883889	0	0.109067343287513	0	0	0	0.144262061035786	0	0	0	0	0	0	0	0	0	0	0	0	0.132253455118098	0.0444188953249693	0	0.147204327677699	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0876903790521342	0	0	0	0	0.0506463537692233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0400499983181071	0	0.155275946829039	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153343963806191	0	0	0	0	0.0807464550662632	0	0.0358819093430658
Endothelium_pericytes_adventitia	0.0250455859257303	0	0	0	0	0.12413043252072	0.0886289413272852	0	0	0.0209591936963605	0	0	0	0.133830245208718	0	0	0	0.0543808515034657	0.0261850067947326	0.0458962553973936	0	0	0	0.104169464639681	0.089020998639893	0	0	0.119220376889997	0	0.129447888510495	0	0.0957294838829681	0.0927347535271763	0	0	0.100897777745164	0	0	0	0.0939303392415776	0	0.265182205176645	0.1546030232112	0.0987035601917906	0	0.0851047882418548	0	0.0981647374165227	0.164879691684091	0	0	0.108118006095918	-2.86844003412864e-20	0.163206776050115	0	0	0	0	0	0.0893170728831838	0	0	0	0	0.114558867949029	0	0.0198595148730055	0.124054349183803	0	0.0432893293674835	0	0	0.0525276013259747	0	0.0171551717903542	0	0	0	0	0	0.1473946525719	0	0	0	0	0.153428773243852	0.136524260959815	0.0666030998217455	0.0659141901498844	0	0	0.0196620560945406	0	0.0348569640866035	0	0	0	0	0.153078393692858	0.13646156624165	0.0656841474865978	0	0.149853698001207	0.0640860489205112	0	0.102428741008527	0	0	0	0	0.080893089488934	0	0.0602613796033607	0	0.146700975373453	0	0.0627108304193067	0.131461757088755	0	0	0.0801886787391144	0.0950698013902489	0.0645302919503887	0.137893834120731	0.0268278899116133	0.0319552333029136	0	0	0	0.0485111437226775	0	0	0.172092170948598	0.244202632476731	0.0677636961908441	0.0480778559737608	0	0.0797370883315428	0.0498995708801847	0.0796018654348433	0.036919045216596	0.0492456077436925	0.0521705764938944	0.16336463506462	0	0.00790915977346026	0.0723020980949476	0.0745477824972595	0	0.0856776103180743	0.0743879075570006	0	0	0	0.128618815984239	0	0.126541038238662	0.208620384132559	0.0262752756807366	0	0	0	0.107401771036258	0.0900386726673849	0.159281895126352	0	0.145592780186022	0.0535805925498989	0.0692458970045854	0.0604131332483863	0	0.336568826032116	0.149614706272905	0.0206771787653567	0	0	0.00813431106308905	0	0	0	0	0	0.0463574111668309	0	0	0	0	0	0.0192883624318653	0	0.0647919239167203	0.0617618347250458	0	0	0.0434545072678788	0.0284455553403191	0	0.0611946769082745	0	0	0	0	0	0	0	0.167511694760019	0	0.130942222744248	0	0.0964073245321539	0.0405686802088403	0	0.14273723222387
Myoz2_enriched_cardiomyocytes	0	0.220591625387524	0.196048385683191	0.0140107529798828	0.0254627725031173	0	0	0	0	0	0.00973768705783633	0.0660721091046719	0	0	0	0.0158289392113563	0	0	0	0	0.015545430479211	0	0	0.184795676660118	0	0	0	0	0	0	0	0	0	0.00164889494050817	0	0	0	0	0.246424540917467	0	0.0201938176780174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146397785921242	0.307483958043707	0.0208021188065052	0	0.012343007340468	0	0	0	0	0	0	0	0	0	0	0	0.0126954860396402	0	0	0	0.0249443956177897	0.0168423956224395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0374415052008637	0	0	0	0.0340595504490352	0.0254146666093081	0	0	0	0	0	0	0	0	0	0.0158035898434031	0	0	0	0	0.235690807258371	0	0	0	0.134963284309174	0	0	0	0	0	0	0	0	0	0	0.0131391382705813	0	0.413431544632417	0	0.269581664798782	0.0184648913772275	0.00741278064146951	0.00833267158020055	0	0	0	0	0	0	0	0	0	0	0.0240821564707632	0	0	0.0136777978729149	0	0	0	0	0.0273310437751737	0.0210040914503987	0	0	0	0	0	0	0.0231277483974642	0.0229836617911479	0.0169702588683043	0	0	0	0	0	0	0	0.214846621494244	0	0	0	0	0	0	0	0.0621636966304629	0	0	0	0	0.0128118322529182	0	0	0	0.0230603282035503	0	0	0	0.0892602562898618	0.016435629020731	0.0172672847674963	0.146840665403634	0	0.0153652873079076	0.0143268417458981	0	0	0	0.0190826331640503	0.0246836220861013	0	0	0	0	0.0124761218088799	0	0	0.0184635250981648	0	0
Cardiac_neural_crest_cells	0	0	0	0	0	0	0	0.0305705953375176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0420127192732756	0	0	0.0998469482449155	0	0	0	0	0	0	0	0	0	0	0	0	0.193827331570974	0	0	0	0	0	0	0.0705446616935094	0	0	0	0	0	0.0342682937176415	0	0	0	0	0	0.0695156489815688	0	0	0	0	0.0157688641121474	0	0	0	0	0	0	0	0	0	0	0	0.0457217455204981	0	0.0377564537163094	0	-3.83970843195862e-19	0	0	0	0	0	0	0	0	0	0	0	0.0174187775384068	0	0	0	0	0.0680948136292629	0.0379414939567165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119077860304536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0401832977486949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capillary_endothelium	0	0	0.106324622624286	0	0.0566505738119928	0	0.0558329667835158	0.0559062261786939	0.0870415309997597	0.102091055039094	0.205928838988898	0.140886761681511	0	0.028888867493334	0.178995795355808	0	0.253633282626598	0	0	0	0	0	0	0	0	0.0398123943846329	0.0722062392970932	0	9.0883925547705e-05	0	0.206207605854009	0	0	0	0.0536490724525558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112720211907916	0	0	0.0562114987827566	0	0.0639408752005717	0.0963647032462746	0	0	0.0733124247035581	0.0788705016596534	0.094220377291649	0.246592346766121	0.255601096832223	0	0	0	0	0	0	0.0529095715460832	0.0539509242065319	0.10945658664596	0.111274104853037	0.120162422544083	0.106043158320586	0	0	0.0516891576135299	0	0.0281618962607854	0	0.00116161787029794	0	0	0.140467041583838	0	0	0	0	0.101550600538489	0.0770879943568307	0.151153197386594	0	0	0	0	0.0561803712181547	0.137288624738071	0	0	0.120351672105806	0.0247433927034345	0	0	0	0	0	0.061764964546816	0	0.0789492589875554	0.093301659163271	0.033413113248929	0	0.198779800619541	0	0.0803709111321553	0.195498148270579	0	0	0	0	0	0	0.0840341491421866	0	0.105998419685506	0.161031192509267	0	0	0	0.166237892567206	0	0	0	0.0983471511850854	0	0	0	0	0	0	0	0	0	0	0.0796650833576204	0	0	0.091095669976217	0	0.0375667257874964	0	0	0	0	0	0.117790548490431	0.0932203566392658	0	0	0	0	0	0	0	0.154100199528965	0	0.0973127111080965	0	0.0604859421512247	0.0358871165711246	0.0576705455644524	0	0.0173437715675438	0.0389188789775989	0	0	0	0	0	0.0603064364181952	0.0504155682119896	0.0736923418877968	0.119330524277819	0.0585834606764798	0.0411749748062752	0	0.116690615902036	0	0	0.162146660562431	0	0.0854369339086084	0	0.085274367960169	0.0327561312453665	0	0.0612018044782531	0	0	0.00326868659699767	0.0824064067275091	0.0483401172927017	0	0	0	0.0757704573145051	0	0	0	0	0	0
Erythrocytes_1	0	0	0	0	0	0	0	0	0	0.02771069945022	0	0	0	0	0	0	0	0	0	0	0.0433212309243711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0619285527666039	0	0	0	0	0	0	0	0	0	0	0	0	0.048927505123677	0	0	0	0	0.0438429186725503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0255175368054015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0341535123147412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
