celltype	iNeuron	eNeuron	OPC	Olig	astrocyte	endo_mural	microglia
1250_-1250	0.25	0.75	0	0	0	0	0
1250_-1750	0.230769230769231	0.692307692307692	0	0	0	0	0.0769230769230769
1250_-250	0.0769230769230769	0.769230769230769	0	0	0.0769230769230769	0.0769230769230769	0
1250_-750	0.0769230769230769	0.846153846153846	0	0	0	0	0.0769230769230769
1750_-1250	0	1	0	0	0	0	0
1750_-1750	0	1	0	0	0	0	0
1750_-250	0	0.857142857142857	0.142857142857143	0	0	0	0
1750_-750	0.222222222222222	0.666666666666666	0	0	0.111111111111111	0	0
2250_-1250	0.1	0.7	0	0	0.1	0.1	0
2250_-1750	0.142857142857143	0.714285714285714	0	0	0.142857142857143	0	0
2250_-250	0	0.75	0	0	0	0.25	0
2250_-750	0.0769230769230769	0.769230769230769	0	0	0	0.153846153846154	0
250_-1250	0.333333333333333	0	0	0	0.333333333333333	0.333333333333333	0
250_-1750	0	0	0	0	0	1	0
250_-250	0.333333333333333	0	0	0	0.333333333333333	0	0.333333333333333
250_-750	0	0	0.25	0	0.25	0.25	0.25
2750_-1250	0	0.8125	0	0	0	0.1875	0
2750_-1750	0.125	0.75	0	0	0	0.125	0
2750_-250	0	0.8	0	0	0.2	0	0
2750_-750	0	1	0	0	0	0	0
3250_-1250	0.125	0.75	0.125	0	0	0	0
3250_-1750	0	0.833333333333334	0	0	0.166666666666667	0	0
3250_-250	0	0.75	0	0	0	0.25	0
3250_-750	0	0.833333333333333	0.166666666666667	0	0	0	0
3750_-1250	0.4	0.4	0	0	0	0.2	0
3750_-1750	0.333333333333333	0.666666666666667	0	0	0	0	0
3750_-250	0.4	0.6	0	0	0	0	0
3750_-750	0.125	0.5	0	0.125	0	0.25	0
4250_-1250	0	0.555555555555555	0.222222222222222	0	0.111111111111111	0.111111111111111	0
4250_-1750	0.2	0.6	0	0	0	0.2	0
4250_-250	0.333333333333333	0.666666666666667	0	0	0	0	0
4250_-750	0.142857142857143	0.714285714285715	0	0	0.142857142857143	0	0
4750_-1250	0.0769230769230769	0.923076923076924	0	0	0	0	0
4750_-1750	0	0.666666666666666	0	0	0	0.333333333333333	0
4750_-250	0.2	0.8	0	0	0	0	0
4750_-750	0	0.714285714285714	0	0	0.142857142857143	0.142857142857143	0
5250_-1250	0	0.666666666666667	0	0	0	0.333333333333333	0
5250_-1750	0	0.875	0	0.125	0	0	0
5250_-250	1	0	0	0	0	0	0
5250_-750	0	0.666666666666667	0	0.0833333333333333	0.166666666666667	0.0833333333333333	0
5750_-1250	0.0909090909090909	0.727272727272728	0	0	0	0.181818181818182	0
5750_-1750	0.142857142857143	0.714285714285715	0	0	0	0.142857142857143	0
5750_-250	0	1	0	0	0	0	0
5750_-750	0	0.888888888888889	0	0	0	0.111111111111111	0
5750_1250	0	1	0	0	0	0	0
5750_250	0	1	0	0	0	0	0
5750_750	0	1	0	0	0	0	0
6250_-1250	0.181818181818182	0.636363636363637	0	0	0.0909090909090909	0.0909090909090909	0
6250_-1750	0.111111111111111	0.666666666666667	0	0.111111111111111	0.111111111111111	0	0
6250_-250	0.0588235294117647	0.529411764705882	0	0	0.117647058823529	0.176470588235294	0.117647058823529
6250_-750	0	0.833333333333333	0	0.0833333333333333	0	0.0833333333333333	0
6250_1250	0	1	0	0	0	0	0
6250_250	0.2	0.8	0	0	0	0	0
6250_750	0.0833333333333333	0.666666666666667	0	0.166666666666667	0	0	0.0833333333333333
6750_-1250	0.125	0.625	0	0	0	0.125	0.125
6750_-1750	0	0.333333333333333	0.333333333333333	0.333333333333333	0	0	0
6750_-250	0.111111111111111	0.555555555555556	0	0.111111111111111	0.111111111111111	0.111111111111111	0
6750_-750	0	0.6	0	0	0.2	0.1	0.1
6750_1250	0	0.8	0	0	0.2	0	0
6750_250	0	0.8	0.1	0.1	0	0	0
6750_750	0	0.6	0.1	0	0	0.2	0.1
7250_-250	0	0.5	0	0	0.166666666666667	0.333333333333333	0
7250_1250	0	0	0	0	1	0	0
7250_250	0	0.5	0	0.333333333333333	0.0833333333333333	0.0833333333333333	0
7250_750	0	0.416666666666667	0.0833333333333333	0.333333333333333	0.0833333333333333	0.0833333333333333	0
750_-1250	0.333333333333333	0.222222222222222	0	0	0.222222222222222	0.222222222222222	0
750_-1750	0	1	0	0	0	0	0
750_-250	0.2	0.7	0.1	0	0	0	0
750_-750	0.2	0.5	0.1	0.1	0.1	0	0
7750_250	0	0	0	0.5	0.5	0	0
7750_750	0	0	0	1	0	0	0
